paper,edition
MBase: Representing mathematical knowledge in a relational data base.,"Systems for Integrated Computation and Deduction, CALCULEMUS 1999, associated to FLoC '99, the 1999 Federated Logic Conference, Trento, Italy, July 11-12, 1999"
A Complete Model of the Deutsche Bahn - Prosim and Beyond.,"Workshop on Algorithmic MeThods and Models for Optimization of RailwayS, ATMOS 2001, Satellite Workshop of ICALP 2001, Crete, Greece, July 13, 2001"
Formal Analysis of Streaming Downloading Protocol for System Upgrading.,"Proceedings of the 4th International Workshop on Quantitative Aspects of Programming Languages, QAPL 2006, Vienna, Austria, April 1-2, 2006"
Security Policies as Membranes in Systems for Global Computing.,"Proceedings of the Workshop 3rd on the Foundations of Global Ubiquitous Computing, FGUC 2004, London, UK, September 3-4, 2004"
Impact of Evolution of Concerns in the Model-Driven Architecture Design Approach.,"Proceedings of the Second International Workshop on Aspect-Based and Model-Based Separation of Concerns in Software Systems, ABMB 2006, Bilbao, Spain, July 10, 2006"
Model checking Erlang programs - abstracting the context-free structure.,"Workshop on Software Model Checking 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
A Framework for Engineering Interactions in Java-based Component Systems.,"Proceedings of the 4th International Workshop on the Foundations of Coordination Languages and Software Architectures, FOCLASA 2005, San Francisco, CA, USA, August 27, 2005"
Towards a Readable Formalisation of Category Theory.,"Proceedings of Computing: The Australasian Theory Symposium, CATS 2004, Dunedin, New Zealand, January 19-20, 2004"
Simulation Reduction as Constraint.,"11th International Workshop on Functional and (Constraint) Logic Programming, WFLP 2002, Grado, Italy, June 20-22, 2002"
Bounds and Fixed-Parameter Algorithms for Weighted Improper Coloring.,"Proceedings of the 16th Italian Conference on Theoretical Computer Science, ICTCS 2015, Firenze, Italy, September 9-11, 2015"
An Abstract Equivalence Notion for Object Models.,"Proceedings of the Seventh Brazilian Symposium on Formal Methods, SBMF 2004, Recife, Pernambuco, Brazil, November 29 - December 1, 2004"
Preface.,"Proceedings of the 4th International Workshop on the Foundations of Coordination Languages and Software Architectures, FOCLASA 2005, San Francisco, CA, USA, August 27, 2005"
Heuristics for railway infrastructure saturation.,"Workshop on Algorithmic MeThods and Models for Optimization of RailwayS, ATMOS 2001, Satellite Workshop of ICALP 2001, Crete, Greece, July 13, 2001"
Preface.,"Category Theory and Computer Science, CTCS 2002, Ottawa, Canada, August 15-17, 2002"
Interfaces: A Game-Theoretic Framework for Reasoning About Component-Based Systems.,"Proceedings of FOCLASA 2003, the Foundations of Coordination Languages and Software Architectures, a satellite event of CONCUR 2003, Marseille, France, September 2, 2003"
Quantifier-free logic for multialgebraic theories.,"10th Workshop on Logic, Language, Information and Computation, WoLLIC 2003, Ouro Preto, Minas Gerais, Brazil, July 29 - August 1, 2003"
Probabilistic Guarded Commands Mechanized in ,"Proceedings of the Second Workshop on Quantitative Aspects of Programming Languages, QAPL 2004, Barcelona, Spain, March 27-28, 2004"
A Mathematical Model of Dialog.,"Proceedings of the Workshop on the Foundations of Interactive Computation, FInCo@ETAPS 2005, Edinburgh, UK, April 9, 2005"
"(Omega, Xi)-Logic: On the Algebraic Extension of Coalgebraic Specifications.","Coalgebraic Methods in Computer Science, CMCS 1999, Amsterdam, The Netherlands, March 20-21, 1999"
Preface.,"Proceedings of the Workshop on Graph Transformation for Concurrency and Verification, GT-VC@CONCUR 2006, Bonn, Germany, August 31, 2006"
On Regular Paths with Counting and Data Tests.,"Selected Papers of the Tenth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning, LANMR 2016, Puebla, Mexico, August 15, 2016"
A Calculus for Team Automata.,"Proceedings of the Brazilian Symposium on Formal Methods, SBMF 2006, Natal, Rio Grande de Norte, Brazil, September 17-23, 2006"
On the Expressiveness of Timed Coordination via Shared Dataspaces.,"Proceedings of the Third International Workshop on Foundations of Coordination Languages and Software Architectures, FOCLASA 2004, London, UK, August 30, 2004"
Visual Patterns Associated to Abstract Trees.,"Proceedings of the School of SegraVis Research Training Network on Foundations of Visual Modelling Techniques, FoVMT 2004, Dagstuhl, Germany, May 3-7, 2004"
"Induction, Coinduction, and Adjoints.","Category Theory and Computer Science, CTCS 2002, Ottawa, Canada, August 15-17, 2002"
Formal Synthesis of Real-Time Embedded Software by Time-Memory Scheduling of Colored Time Petri Nets.,"Theory and Practice of Timed Systems, Satellite Event of ETAPS 2002, Grenoble, France, April 6-7, 2002"
Strategies for Solving Constraints in Type and Effect Systems.,"Proceedings of the 3rd International Workshop on Views On Designing Complex Architectures, VODCA@FOSAD 2008, Bertinoro, Italy, August 30-31, 2008"
Interactions Between PVS and Maple in Symbolic Analysis of Control Systems.,"Proceedings of the 12th Symposium on the Integration of Symbolic Computation and Mechanized Reasoning, Calculemus 2005, Newcastle-upon-Tyne, UK, July 18-19, 2005"
The Algebra of Partial Equivalence Relations.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
Transformations of Petri Nets.,"Proceedings of the School of SegraVis Research Training Network on Foundations of Visual Modelling Techniques, FoVMT 2004, Dagstuhl, Germany, May 3-7, 2004"
Correct Microkernel Primitives.,"Proceedings of the 3rd International Workshop on Systems Software Verification, SSV 2008, Sydney, Australia, February 25-27, 2008"
CTL-Property Transformations Along an Incremental Design Process.,"Proceedings of the Fouth International Workshop on Automated Verification of Critical Systems, AVoCS 2004, London, UK, September 4, 2004"
Families of Induced Trees and Their Intersection Graphs.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Extending Timed Automata for Compositional Modeling Healthy Timed Systems.,"Proceedings of the International Workshop on Models for Time-Critical Systems, MTCS 2001, Satellite Event of CONCUR 2001, Aalborg, Denmark, August 25, 2001"
Strongly Semicontinuous Lattices.,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
Mothers of Pipelines.,"Combined Proceedings of the Fourth Workshop on Pragmatics of Decision Procedures in Automated Reasoning (PDPAR 2006) and the First International Workshop on Probabilistic Automata and Logics (PaUL 2006), Parts of FloC 2006, Seattle, WA, USA, August 2006"
Preface.,"8th International Workshop on Combinatorial Image Analysis, IWCIA 2001, Philadelphia, PA, USA, August 23-24, 2001"
An Integer Programming Approach for the 2-class Single-group Classification Problem.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
A Verifier for Region-Annotated Java Bytecodes.,"Proceedings of the First Workshop on Bytecode Semantics, Verification, Analysis and Transformation, Bytecode@ETAPS 2005, Edinburgh, UK, April 9, 2005"
Specification and Runtime Verification of Java Card Programs.,"Proceedings of the Eleventh Brazilian Symposium on Formal Methods, SBMF 2008, Salvador, Brazil, August 26-29, 2008"
Model Transformation From VisualOCL to OCL Using Graph Transformation.,"Proceedings of the International Workshop on Graph and Model Transformation, GraMoT@GPCE 2005, Tallinn, Estonia, September 28, 2005"
Computing the Clique-width of Cactus Graphs.,"Selected Papers of the Tenth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning, LANMR 2016, Puebla, Mexico, August 15, 2016"
Bisimulation and Simulation Relations for Markov Chains.,"Proceedings of the Workshop ""Essays on Algebraic Process Calculi"", APC 25, Bertinoro, Italy, August 1-5, 2005"
Recursive Coalgebras from Comonads.,"Proceedings of the Workshop on Coalgebraic Methods in Computer Science, CMCS 2004, Barcelona, Spain, March 27-29, 2004"
Practical Datatype Specializations with Phantom Types and Recursion Schemes.,"Proceedings of the ACM-SIGPLAN Workshop on ML, ML 2005, Tallinn, Estonia, September 29, 2005"
Theoretical Aspects of Communication-Centred Programming.,"Proceedings of the LIX Colloquium on Emerging Trends in Concurrency Theory, LIX 2006, Paris, France, November 13-15, 2006"
Modal Predicates and Co-equations.,"Coalgebraic Methods in Computer Science, CMCS 2002, Satellite Event of ETAPS 2002, Grenoble, France, April 6-7, 2002"
Design of Architectures for Proximity-aware Services: Experiments in Context-based Authentication with Subjective Logic.,"Proceedings of the 3rd International Workshop on Views On Designing Complex Architectures, VODCA@FOSAD 2008, Bertinoro, Italy, August 30-31, 2008"
Relational Concurrent Refinement with Internal Operations.,"Proceedings of the 11th Refinement Workshop, Refine@ICFEM 2006, Macao, October 31, 2006"
Process Algebra as Modelling.,"Proceedings of the Workshop ""Essays on Algebraic Process Calculi"", APC 25, Bertinoro, Italy, August 1-5, 2005"
A Quantified Logic of Evidence.,"Proceedings of the 12th Workshop on Logic, Language, Information and Computation, WoLLIC 2005, Florianópolis, Santa Catarina, Brazil, July 19-22, 2005"
Coordination by Timers for Channel-Based Anonymous Communications.,"Proceedings of the Fifth International Workshop on the Foundations of Coordination Languages and Software Architectures, FOCLASA 2006, Bonn, Germany, August 31, 2006"
An Adaptation-based Approach to Incrementally Build Component Systems.,"Proceedings of the Third International Workshop on Formal Aspects of Component Software, FACS 2006, Prague, Czech Republic, September 20-22, 2006"
A Library for Self-Adjusting Computation.,"Proceedings of the ACM-SIGPLAN Workshop on ML, ML 2005, Tallinn, Estonia, September 29, 2005"
j-POST: a Java Toolchain for Property-Oriented Software Testing.,"Proceedings of the Fourth Workshop on Model Based Testing, MBT@ETAPS 2008, Budapest, Hungary, March 30, 2008"
"Extensions of Standard Weak Bisimulation Machinery: Finite-state General Processes, Refinable Actions, Maximal-progress and Time.","Proceedings of the LIX Colloquium on Emerging Trends in Concurrency Theory, LIX 2006, Paris, France, November 13-15, 2006"
Non Truth-Functional Many-Valuedness.,"9th Workhop on Logic, Language, Information and Computation, WoLLIC 2002, Rio de Janeiro, Brazil, July 30 - August 2, 2002"
A Formal Approach to Service Specification and Matching based on Graph Transformation.,"Proceedings of the First International Workshop on Web Services and Formal Methods, WSFM 2004, Pisa, Italy, February 23-24, 2004"
Solving Equations by Graph Transformation.,"GETGRATS Closing Workshop 2001, Bordeaux, France, June 22-23, 2001"
Preface.,"Proceedings of the Second Workshop on Structural Operational Semantics, SOS@ICALP 2005, Lisbon, Portugal, July 10, 2005"
Validating Component Integration with C-TILCO: A Case Study.,"Proceedings of the International Workshop on Test and Analysis of Component Based Systems, TACoS 2004, Barcelona, Spain, March 27-28, 2004"
A Predicate/State Transformer Semantics for Bayesian Learning.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
Formal Verification of the IEEE 802.1D Spanning Tree Protocol Using Extended ,"Proceedings of the First IPM International Workshop on Foundations of Software Engineering, FSEN 2005, Tehran, Iran, October 1-3, 2005"
Enhancements of a clock-controlled running key generator.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Closure of Tree Automata Languages under Innermost Rewriting.,"Proceedings of the 8th International Workshop on Reduction Strategies in Rewriting and Programming, WRS@RTA 2008, Hagenberg, Austria, July 14, 2008"
EufDpll - A Tool to Check Satisfiability of Equality Logic Formulas.,"Proceedings of the Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2006, Cork, Ireland, August 1-5, 2006"
Specifying and verifying reactive systems in a multi-language environment.,"Theory of Concurrency, Higher Order Languages and Types, TOSCA 2001, Udine, Italy, November 19-21, 2001"
Multi-paradigm Models as Source for Automated Test Construction.,"Proceedings of the Workshop on Model Based Testing, MBT 2004, Barcelona, Spain, March 27-28, 2004"
Model Checking Temporal Aspects of Inconsistent Concurrent Systems Based on Paraconsistent Logic.,"Proceedings of the Third International Workshop on Software Verification and Validation, SVV@ICFEM 2005, Manchester, UK, October 31, 2005"
Towards a Rigorous Approach to UML-Based Development.,"Proceedings of the Seventh Brazilian Symposium on Formal Methods, SBMF 2004, Recife, Pernambuco, Brazil, November 29 - December 1, 2004"
A Formal Approach for the Evaluation of Network Security Mechanisms Based on RBAC Policies.,"Proceedings of the 2nd International Workshop on Security Issues with Petri Nets and other Computational Models, WISP@ICATPN 2004, Bologna, Italy, June 26, 2004"
An Illustrative Use Case of the DIVERSITY Platform based on UML Interaction Scenarios.,"1st Workshop on Uses of Symbolic Execution, USE@FM 2015, Oslo, Norway, June 23-25, 2015"
Applying Light-Weight Theorem Proving to Debugging and Verifying Pointer Programs.,"4th International Workshop on First-Order Theorem Proving, FTP 2003, in connection with RDP 2003, Federated Conference on Rewriting, Deduction and Programming, Valencia, Spain, June 12-14, 2003"
The Approximate Correctness of Systems Based on δ-bisimulation.,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
Deriving Event-Based Document Transformers from Tree-Based Specifications.,"First Workshop on Language Descriptions, Tools and Applications, LDTA 2001, a Satellite Event of ETAPS 2001, Genova, Italy, April 7, 2001"
Encoding Catalytic P Systems in pi@.,"Proceedings of the First Workshop on Membrane Computing and Biologically Inspired Process Calculi, MeCBIC@ICALP 2006, Venice, Italy, July 9, 2006"
A Calculus for Data Mapping.,"Proceedings of the International Workshop on Database Interoperability, InterDB@COORDINATION 2005, Namur, Belgium, April 23, 2005"
A Framework for Managing Requirements of Software Product Lines.,"XLIII Latin American Computer Conference - Selected Papers, CLEI 2017 Selected Papers, Cordoba, Argentina, September 4-8, 2017"
Compositional Properties of Sequential Processes.,"Proceedings of the International Workshop on Software Verification and Validation, SVV@ICLP 2003, Mumbai, India, December 14, 2003"
Statistics of implicational logic.,"10th Workshop on Logic, Language, Information and Computation, WoLLIC 2003, Ouro Preto, Minas Gerais, Brazil, July 29 - August 1, 2003"
From UML models to automatic generated tests for the dotLRN e-learning platform.,"Proceedings of the International Workshop on Test and Analysis of Component Based Systems, TACoS 2004, Barcelona, Spain, March 27-28, 2004"
A New Machine-checked Proof of Strong Normalisation for Display Logic.,"Computing: the Australasian Theory Symposiumm, CATS 2003, Adelaide, SA, Australia, February 4-7, 2003"
General Secret Sharing Based on the Chinese Remainder Theorem with Applications in E-Voting.,"Proceedings of the First Workshop in Information and Computer Security, ICS@SYNASC 2006, Timisoara, Romania, September 30, 2006"
Broadcast Calculus Interpreted in CCS upto Bisimulation.,"8th International Workshop on Expressiveness in Concurrency, EXPRESS 2001, Satellite Workshop from CONCUR 2001, Aalborg, Denmark, August 20, 2001"
Abductive Network Action Inference for Targeted Therapy Discovery.,"Proceedings of SASB 2018, the 7th International Workshop on Static Analysis and Systems Biology, University of Edinburgh, September 7, 2016"
Software Evolution through Transformations.,"Workshop on Software Evolution Through Transformations 2002 - Toward Uniform Support Throughout the Software Life-Cycle, Barcelona, Spain, 2002"
PSPACE-hardness of Two Graph Coloring Games.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
A Rewrite Framework for Language Definitions and for Generation of Efficient Interpreters.,"Proceedings of the 6th International Workshop on Rewriting Logic and its Applications, WRLA 2006, Vienna, Austria, April 1-2, 2006"
Predicting Incompatibility of Transformations in Model-driven Development.,"Proceedings of the Workshop on Software Evolution through Transformations: Model-based vs. Implementation-level Solutions, SETra@ICGT 2004, Rome, Italy, October 2, 2004"
Space-Profiling Semantics of the Call-by-Value Lambda Calculus and the CPS Transformation.,"Third Workshop on Higher-Order Operational Techniques in Semantics, HOOTS 1999, Paris, France, September 30 - October 1, 1999"
Integrating Component Tests to System Tests.,"Proceedings of the 5th International Workshop on Formal Aspects of Component Software, FACS 2008, Malaga, Spain, September 10-12, 2008"
Extending Propositional Dynamic Logic for Petri Nets.,"Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Reasoning in Abella about Structural Operational Semantics Specifications.,"Proceedings of the International Workshop on Logical Frameworks and Metalanguages: Theory and Practice, LFMTP@LICS 2008, Pittsburgh, PA, USA, June 23, 2008"
On the Complexity of RSRL.,"Proceedings of the joint meeting of the 6th Conference on Formal Grammar (FG) and the 7th Conference on Mathematics of Language (MOL), FGMOL 2001, Helsinki, Finland, August 10-12, 2001"
On Computable Compact Operators on Banach Spaces.,"Proceedings of the Third International Conference on Computability and Complexity in Analysis, CCA 2006, November 1-5, 2006, University of Florida, Gainesville, USA"
Graph-Based Tools (GraBaTs 2002).,"International Workshop on Graph-Based Tools, GraBaTs@ICGT 2002, Barcelona, Spain, October 7-8, 2002"
Towards Model Transformation in Generated Eclipse Editor Plug-Ins.,"Proceedings of the International Workshop on Graph and Model Transformation, GraMoT@GPCE 2005, Tallinn, Estonia, September 28, 2005"
Healthiness Conditions for Predicate Transformers.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Visualization of Spatial Data Structures on Different Levels of Abstraction.,"Proceedings of the Fourth Program Visualization Workshop, PVW 2006, Florence, Italy, June 28-29, 2006"
Algorithmic Techniques for Maintaining Shortest Routes in Dynamic Networks.,"Proceedings of the Second Workshop on Cryptography for Ad-hoc Networks, WCAN@ICALP 2006, Venice, Italy, July 16, 2006"
Analogy and Formal Languages.,"Proceedings of the joint meeting of the 6th Conference on Formal Grammar (FG) and the 7th Conference on Mathematics of Language (MOL), FGMOL 2001, Helsinki, Finland, August 10-12, 2001"
Preface.,"Proceedings of the 15th Workshop on Expressiveness in Concurrency, EXPRESS 2008, Toronto, ON, Canada, August 23, 2008"
The Impact of Linearity Information on the Performance of TyCO.,"International Workshop in Types in Programming, TIP@MPC 2002, Dagstuhl, Germany, July 8, 2002"
Additive Consolidation with Maximal Change.,"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006"
Rational Unification in 28 Characters.,"Proceedings of the 2nd International Workshop on Term Graph Rewriting, TERMGRAPH 2004, Rome, Italy, October 2, 2004"
Preface.,"Proceedings of the Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2006, Cork, Ireland, August 1-5, 2006"
Maximal Introspection of Agents.,"Computational Logic in Multi-Agent Systems, CLIMA 2002, FLoC Satellite Event, Copenhagen, Denmark, August 1, 2002"
Preface.,"Proceedings of the International Workshop on Automated Specification and Verification of Web Sites, WWV 2005, Valencia, Spain, March 14-15, 2005"
Frameworks Based on Templates for Rigorous Model-driven Development.,"Proceedings of the Doctoral Symposium affiliated with the Fifth Integrated Formal Methods Conference, IFM Doctoral Symposium 2005, Eindhoven, The Netherlands, November 29, 2005"
Model-Based Test Case Generation for Smart Cards.,"Eighth International Workshop on Formal Methods for Industrial Critical Systems, FMICS 2003, Roros, Norway, June 5-7, 2003"
Refined Bounds on Kolmogorov Complexity for omega-Languages.,"Proceedings of the Fifth International Conference on Computability and Complexity in Analysis, CCA 2008, Hagen, Germany, August 21-24, 2008"
On Fair Cost Facility Location Games with Non-singleton Players.,"XLIV Latin American Computer Conference - Selected Papers, CLEI 2018 Selected Papers, São Paulo, Brazil, October 1-5, 2018"
Preface.,"Proceedings of the Sixth International Workshop on Reduction Strategies in Rewriting and Programming, WRS@FLoC 2006, Seattle, WA, USA, August 11, 2006"
Separating concerns in a high-level component-based context.,"Workshop on Software Composition, SC 2002, Satellite Event of ETAPS 2002, Grenoble, France, April 7, 2002"
The Typed Bohm Theorem.,"Bohm's theorem: applications to Computer Science Theory, BOTH 2001, Satellite Workshop of ICALP 2001, Crete, Greece, July 13, 2001"
A Logic for Reasoning about Generic Judgments.,"Proceedings of the First International Workshop on Logical Frameworks and Meta-Languages: Theory and Practice, LFMTP@FLoC 2006, Seattle, WA, USA, August 16, 2006"
An Efficient Nelson-Oppen Decision Procedure for Difference Constraints over Rationals.,"Proceedings of the Third Workshop on Pragmatics of Decision Procedures in Automated Reasoning, PDPAR@CAV 2005, Edinburgh, UK, July 12, 2005"
Biomolecular Agents as Multi-behavioural Concurrent Objects.,"Proceedings of the First International Workshop on Methods and Tools for Coordinating Concurrent, Distributed and Mobile Systems, MTCoord@COORDINATION 2005, Namur, Belgium, April 23, 2005"
LCF-style Platform based on Multiway Decision Graphs.,"Proceedings of the 17th International Workshop on Functional and (Constraint) Logic Programming, WFLP 2008, Siena, Italy, July 3-4, 2008"
A Categorical and Graphical Treatment of Closure Conversion.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
Approximations for Strategies and Termination.,"2nd International Workshop on Reduction Strategies in Rewriting and Programming, WRS 2002, FLoC Satellite Event, Copenhagen, Denmark, July 21, 2002, Final Proceedings"
Developing High-Performance Server Applications in Haskell - Case Study: A Haskell Web Server.,"Proceedings of the 2000 ACM SIGPLAN Workshop on Haskell, Haskell 2000, Satellite Event of PLI 2000, Montreal, Canada, September 17, 2000"
A Program Result Checker for the Lexical Analysis of the GNU C Compiler.,"Proceedings of the 3rd International Workshop on Compiler Optimization Meets Compiler Verification, COCV@ETAPS 2004, Barcelona, Spain, April 3, 2004"
A Denotational Semantics for SPARC TSO.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
"Design, Analysis and Performance Evaluation of Group Key Establishment in Wireless Sensor Networks.","Proceedings of the Second Workshop on Cryptography for Ad-hoc Networks, WCAN@ICALP 2006, Venice, Italy, July 16, 2006"
Coordinated Distributed Diagram Transformation for Software Evolution.,"Workshop on Software Evolution Through Transformations 2002 - Toward Uniform Support Throughout the Software Life-Cycle, Barcelona, Spain, 2002"
Inference of Timed Transition Systems.,"Proceedings of the 6th International Workshop on Verification of Infinite-State Systems, INFINITY 2004, London, UK, September 4, 2004"
Formalization and Verification of REST on HTTP Using CSP.,"Proceedings of the Sixth International Workshop on Harnessing Theories for Tool Support for Software, TTSS 2013, Jiangxi Normal University, Nanchang, China, October 27, 2013"
A Prospectus for Mobile Broadcasting Systems.,"Proceedings of the Workshop ""Essays on Algebraic Process Calculi"", APC 25, Bertinoro, Italy, August 1-5, 2005"
Regularity Results for FIFO Channels.,"Proceedings of the Fouth International Workshop on Automated Verification of Critical Systems, AVoCS 2004, London, UK, September 4, 2004"
Dynamic Event Generation for Runtime Checking using the JDI.,"Runtime Verification 2002, RV 2002, FLoC Satellite Event, Copenhagen, Denmark, July 26, 2002"
Modal Logic Characterization of Markovian Testing and Trace Equivalences.,"Proceedings of the Workshop on Logic, Models and Computer Science, LMCS 2006, Camerino, Italy, April 20-22, 2006"
Deconstructing Alice and Bob.,"Proceedings of the Second Workshop on Automated Reasoning for Security Protocol Analysis, ARSPA@ICALP 2005, Lisbon, Portugal, July 16, 2005"
Attacking Group Multicast Key Management Protocols Using Coral.,"Proceedings of the Workshop on Automated Reasoning for Security Protocol Analysis, ARSPA@IJCAR 2004, Cork, Ireland, July 4, 2004"
Memory Requirements of Java Bytecode Verification on Limited Devices.,"Proceedings of the 3rd International Workshop on Compiler Optimization Meets Compiler Verification, COCV@ETAPS 2004, Barcelona, Spain, April 3, 2004"
Towards a Notion of Lambda Monoid.,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
Preface.,"Proceedings of the 3rd International Workshop on Quantum Programming Languages, QPL 2005, DePaul University, Chicago, USA, June 30 - July 1, 2005"
On Interpolation Problem in Paraconsistent Extensions of the Minimal Logic.,"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006"
Monte Carlo Methods for Process Algebra.,"Proceedings of the Workshop ""Essays on Algebraic Process Calculi"", APC 25, Bertinoro, Italy, August 1-5, 2005"
Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.,"2nd International Workshop on Parallel and Distributed Model Checking, PDMC 2003, Satellite Workshop of CAV 2003, Boulder, Colorado, USA, July 13, 2003"
Preface.,"Proceedings of the First International Workshop on Coordination and Organisation, CoOrg@COORDINATION 2005, Namur, Belgium, April 23, 2005"
An Algebraic Approach to Population-Based Evolutionary Algorithm Generation.,"Proceedings of the Sixth International Workshop on Harnessing Theories for Tool Support for Software, TTSS 2013, Jiangxi Normal University, Nanchang, China, October 27, 2013"
Bounded Model Checking for Deontic Interpreted Systems.,"Proceedings of the 2nd International Workshop on Logic and Communication in Multi-Agent Systems, LCMAS 2004, Nancy, France, August 16-20, 2004"
On the Evolution Complexity of Design Patterns.,"Proceedings of the Workshop on Software Evolution through Transformations: Model-based vs. Implementation-level Solutions, SETra@ICGT 2004, Rome, Italy, October 2, 2004"
A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.,"Proceedings of the Third International Workshop on Term Graph Rewriting, TERMGRAPH@ETAPS 2006, Vienna, Austria, 2006"
Model-based Evaluation of Scalability and Security Tradeoffs: a Case Study on a Multi-Service Platform.,"Proceedings of the Seventh International Workshop on the Practical Application of Stochastic Modelling, PASM 2014, Newcastle-upon-Tyne, UK, May 2014"
DynaMICs: Comprehensive Support for Run-Time Monitoring.,"Workshop on Runtime Verification, RV 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
Building Interpreters with Rewriting Strategies.,"Second Workshop on Language Descriptions, Tools and Applications, LDTA 2002, Satellite Event of ETAPS 2002, Grenoble, France, April 13, 2002"
Remarks on an Edge-coloring Problem.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
A Framework for Establishing Formal Conformance between Object Models and Object-Oriented Programs.,"Proceedings of the Brazilian Symposium on Formal Methods, SBMF 2006, Natal, Rio Grande de Norte, Brazil, September 17-23, 2006"
Interactions in Transport Networks.,"Proceedings of the Workshop on the Foundations of Interactive Computation, FInCo@ETAPS 2005, Edinburgh, UK, April 9, 2005"
Introduction - Graph Transformation and Visual Modeling Techniques - GT-VMT 2001.,"International Workshop on Graph Transformation and Visual Modeling Techniques, GT-VMT 2001, Satellite Workshop of ICALP 2001, Crete, Greece, July 12-13, 2001"
Preface.,"Fourth Workshop on Tools for Automatic Program Analysis, TAPAS@SAS 2013, Seattle, Washington, USA, June 19, 2013"
Local Realizability Toposes and a Modal Logic for Computability.,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
An Aspect-Oriented Adaptation Framework for Dynamic Component Evolution.,"Proceedings of the Third International Workshop on Coordination and Adaption Techniques for Software Entities, WCAT@ECOOP 2006, Nantes, France, July 4, 2006"
Automated Theorem Proving with Spider Diagrams.,"Proceedings of Computing: The Australasian Theory Symposium, CATS 2004, Dunedin, New Zealand, January 19-20, 2004"
Producing Proofs from an Arithmetic Decision Procedure in Elliptical LF.,"International Workshop on Logical Frameworks and Meta-Languages, LFM 2002, FLoC Satellite Event, Copenhagen, Denmark, July 26, 2002"
Information Systems Research and Development at CCLRC: Accelerating Innovation through Technology Transfer.,"Eighth International Workshop on Formal Methods for Industrial Critical Systems, FMICS 2003, Roros, Norway, June 5-7, 2003"
Where Do Bugs Come From?,"Proceedings of the Workshop on Verification and Debugging, V&D@FLoC 2006, Seattle, WA, USA, August 21, 2006"
Lattice algorithms for compression color space estimation in JPEG images.,"8th International Workshop on Combinatorial Image Analysis, IWCIA 2001, Philadelphia, PA, USA, August 23-24, 2001"
"Vague Domains, S-Unification, Logic Programming.","Unification in Non-Classical Logics, UNCL 2002, ICALP 2002 Satellite Workshop, Málaga, Spain, July 12-13, 2002"
Towards a theory of mathematical operational semantics.,"6th International Workshop on Coalgebraic Methods in Computer Science, CMCS 2003, Satellite Event for ETAPS 2003, Warsaw, Poland, April 5-6, 2003"
"Model Theoretic Syntax, Parsing: An Application to Temporal Logic.","Proceedings of the joint meeting of the 6th Conference on Formal Grammar (FG) and the 7th Conference on Mathematics of Language (MOL), FGMOL 2001, Helsinki, Finland, August 10-12, 2001"
