author_id,affiliation
Jiji Zhang,MIDWIVES COLLEGE OF UTAH
Andreas Wendemuth,UNIVERSITY OF MEMPHIS
Edin Andelic,ELON UNIVERSITY
Marcel Katz,SAINT ANTHONY COLLEGE OF NURSING
Martin Schafföner,PHILLIPS THEOLOGICAL SEMINARY
Sven E. Krüger,PENNSYLVANIA STATE UNIVERSITY-PENN STATE DUBOIS
Margareta Ackerman,UNIVERSITY OF MISSISSIPPI
Huan Liu 0001,THE GENERAL THEOLOGICAL SEMINARY
Zheng Zhao 0002,ST. MARY'S COLLEGE OF MARYLAND
András Millinghoffer,LINDENWOOD UNIVERSITY
Paul Kidwell,OREGON STATE UNIVERSITY
Ryan Hafen,WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE
Saptarshi Guha,DES MOINES UNIVERSITY-OSTEOPATHIC MEDICAL CENTER
William S. Cleveland,UNIVERSITY OF MAINE AT MACHIAS
Peter V. Gehler,WESTMINSTER THEOLOGICAL SEMINARY
Chia-Hsuan Wang,CONGREGATION TALMIDEI MESIVTA TIFERES SHMIEL ALEKSANDER
Cho-Jui Hsieh,PENNSYLVANIA STATE UNIVERSITY-COLLEGE OF MEDICINE
Hsiang-Fu Yu,PRESENTATION COLLEGE
Hung-Che Lai,UNIVERSITY OF RHODE ISLAND
Hung-Yi Lo,UNIVERSITY OF NORTH FLORIDA
Kai-Wei Chang,COLUMBUS COLLEGE OF ART AND DESIGN
Ken-Yi Lin,HARTFORD SEMINARY
Shang-Tse Chen,MARYLAND INSTITUTE COLLEGE OF ART
Tsung-Hsien Chiang,FAMILY OF FAITH CHRISTIAN UNIVERSITY
Yi-Kuang Ko,UNIVERSITY OF MINNESOTA-TWIN CITIES
Jin Yu,AMERICAN COLLEGE OF THE BUILDING ARTS
Nicol N. Schraudolph,WESTERN MICHIGAN UNIVERSITY HOMER STRYKER M.D. SCHOOL OF MEDICINE
Simon Günter,AUSTIN GRADUATE SCHOOL OF THEOLOGY
Ben Taskar,YESHIVA OF THE TELSHE ALUMNI
Shenghuo Zhu,MISSISSIPPI STATE UNIVERSITY
Yuanqing Lin,STEVENS-HENAGER COLLEGE
Gregory Druck,HUSTON-TILLOTSON UNIVERSITY
Mukund Narasimhan,YESHIVA GEDOLAH OF GREATER DETROIT
Paul A. Viola,WHITTIER COLLEGE
Pierre-Antoine Manzagol,MOUNT MERCY UNIVERSITY
Samy Bengio,MONTANA TECHNOLOGICAL UNIVERSITY
Pierre Geurts,MASSACHUSETTS COLLEGE OF ART AND DESIGN
Vân Anh Huynh-Thu,ROCKHURST UNIVERSITY
Mingjun Zhong,TRINITY INTERNATIONAL UNIVERSITY-ILLINOIS
Henri Maître,ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS
Ivan O. Kyrgyzov,YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE
Marine Campedel,EVANGEL UNIVERSITY
Jochen Trumpf,CONWAY SCHOOL OF LANDSCAPE DESIGN
Min Yang,WON INSTITUTE OF GRADUATE STUDIES
Artin Armagan,BRENAU UNIVERSITY
Ameet Talwalkar,LOUISIANA DELTA COMMUNITY COLLEGE
Sanjiv Kumar,AMERICAN CONSERVATORY THEATER
Arun C. Surendran,UNIVERSITY OF PORTLAND
John C. Platt,LONGWOOD UNIVERSITY
Andrew McGregor 0001,MASSACHUSETTS SCHOOL OF LAW
Sudipto Guha,GEORGIAN COURT UNIVERSITY
Hyekyoung Lee,HASKELL INDIAN NATIONS UNIVERSITY
Seungjin Choi,MOUNT HOLYOKE COLLEGE
Andrew B. Goldberg,CHAMBERLAIN UNIVERSITY-MICHIGAN
Stephen J. Wright 0001,OAK HILLS CHRISTIAN COLLEGE
Xiaojin Zhu 0001,FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS
Blake Shaw,BERKELEY SCHOOL OF THEOLOGY
Ewout van den Berg,ITHACA COLLEGE
Michael P. Friedlander,MARYMOUNT MANHATTAN COLLEGE
Jieping Ye,IDAHO STATE UNIVERSITY
Tao Xiong,SAINT FRANCIS UNIVERSITY
Aleksey Polovinkin,POLYTECHNIC UNIVERSITY OF PUERTO RICO-ORLANDO
Victor Eruhimov,FAITH THEOLOGICAL SEMINARY
Vladimir Martyanov,THE CATHOLIC UNIVERSITY OF AMERICA
Petri Kontkanen,PLAZA COLLEGE
Xiaotong Shen,GODS BIBLE SCHOOL AND COLLEGE
Yevgeny Seldin,GOLDEN GATE UNIVERSITY-SAN FRANCISCO
Joshua V. Dillon,PATHWAYS COLLEGE
Nicolas Le Roux,NEW ENGLAND CULINARY INSTITUTE
David A. Van Dyk,ARLINGTON BAPTIST UNIVERSITY
Yongxin Taylor Xi,CAMPBELLSVILLE UNIVERSITY
Zhen James Xiang,SAINT MARTIN'S UNIVERSITY
Jesús S. Aguilar-Ruiz,STRAYER UNIVERSITY-TEXAS
José C. Riquelme,UNION INSTITUTE & UNIVERSITY
Roberto Ruiz,STRATFORD UNIVERSITY
Frederik Eaton,ELON UNIVERSITY
Hao Shen,CALUMET COLLEGE OF SAINT JOSEPH
Stefanie Jegelka,MILES COLLEGE
Rich Caruana,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT
Yin-Wen Chang,TEXAS A&M UNIVERSITY-SAN ANTONIO
Bastian Wemmenhove,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ABINGTON
Bert Kappen,UTAH STATE UNIVERSITY
Tommaso Rizzo,POST UNIVERSITY
David Kempe 0001,PALMER COLLEGE OF CHIROPRACTIC
Mohammad R. Salavatipour,FROSTBURG STATE UNIVERSITY
Omid Madani,GLASGOW CALEDONIAN NEW YORK COLLEGE
Wiley Greiner,PACIFIC COLLEGE OF HEALTH SCIENCE-CHICAGO
Grace Wahba,UNIVERSITY OF DETROIT MERCY
Héctor Corrada Bravo,CALDWELL UNIVERSITY
Kevin H. Eng,KENTUCKY STATE UNIVERSITY
Sündüz Keles,LOUISIANA STATE UNIVERSITY-SHREVEPORT
Arne Mauser,RABBINICAL COLLEGE OHR YISROEL
Christian Buck,COLLEGE OF SAINT MARY
Christian Oberdörfer,THE UNIVERSITY OF TENNESSEE SYSTEM OFFICE
Jens Forster,HAMILTON COLLEGE
Johannes Laudenberg,XAVIER COLLEGE SCHOOL OF NURSING
Michael Kramp,YESHIVA OF OCEAN
Niklas Hoppe,STEPHEN F AUSTIN STATE UNIVERSITY
Pascal Steingrube,CALIFORNIA UNIVERSITY OF SCIENCE AND MEDICINE
Patrick Doetsch,TRINITY WASHINGTON UNIVERSITY
Pavlo Golik,WEST COAST UNIVERSITY-DALLAS
Xiao Li 0006,YALE UNIVERSITY
Nicolas Vayatis,MORNINGSIDE COLLEGE
Stéphan Clémençon,CURTIS INSTITUTE OF MUSIC
Gerald Tesauro,UNIVERSITY OF NORTH TEXAS AT DALLAS
Bhushan Mandhani,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-PRESCOTT
Alexander L. Strehl,YESHIVA DERECH CHAIM
James Petterson,EASTERN ILLINOIS UNIVERSITY
Qinfeng Shi,FRAMINGHAM STATE UNIVERSITY
Vishy Vishwanathan,UNIVERSITY OF MARYLAND-BALTIMORE COUNTY
Christopher K. I. Williams,DES MOINES UNIVERSITY-OSTEOPATHIC MEDICAL CENTER
Edwin V. Bonilla,BRYN ATHYN COLLEGE OF THE NEW CHURCH
Brent Bryan,CUMBERLAND UNIVERSITY
Varun Kanade,CALIFORNIA HEALTH SCIENCES UNIVERSITY
Anind K. Dey,ST. ANDREWS UNIVERSITY
Brian D. Ziebart,THE JUILLIARD SCHOOL
Kevin M. Peterson,SH'OR YOSHUV RABBINICAL COLLEGE
Martial Hebert,IRELL & MANELLA GRADUATE SCHOOL OF BIOLOGICAL SCIENCES AT CITY OF HOPE
Siddhartha S. Srinivasa,ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE
Minyoung Kim,GEORGETOWN UNIVERSITY
Vladimir Pavlovic 0001,LAWRENCE UNIVERSITY
Chong Wang 0002,COLEGIO UNIVERSITARIO DE SAN JUAN
Christopher Meek,COLLEGE OF BIBLICAL STUDIES-HOUSTON
Jarkko Venna,PROVIDENCE COLLEGE
Zhiting Xu 0001,THE BAPTIST COLLEGE OF FLORIDA
Hui Zou,STONY BROOK UNIVERSITY
Maxim Raginsky,VERMONT LAW SCHOOL
Svetlana Lazebnik,BACONE COLLEGE
John Aldo Lee,UNIVERSITY OF NORTHERN IOWA
Michel Verleysen,DALLAS BAPTIST UNIVERSITY
Carlos M. Carvalho,PHILLIPS THEOLOGICAL SEMINARY
James G. Scott,XAVIER UNIVERSITY
Nicholas G. Polson,FARMINGDALE STATE COLLEGE
Yang Xu 0023,MAYO CLINIC COLLEGE OF MEDICINE AND SCIENCE
Bart De Moor,UNIVERSITY OF THE POTOMAC-VA CAMPUS
Johan A. K. Suykens,THE UNIVERSITY OF VIRGINIA'S COLLEGE AT WISE
Kristiaan Pelckmans,URSULINE COLLEGE
Rong Jin 0001,CHARLESTON SCHOOL OF LAW
Christoph Lippert,SUNY COLLEGE AT GENESEO
Oliver Stegle,THE UNIVERSITY OF TEXAS AT AUSTIN
Adolfo Ballester-Bolinches,WILLIAM PATERSON UNIVERSITY OF NEW JERSEY
Enric Cosme-Llópez,COLLEGE FOR CREATIVE STUDIES
Jan Rutten,UNIVERSITY OF CALIFORNIA-LOS ANGELES
Aditya Kanade,UNIVERSITY OF THE WEST
Amitabha Sanyal,PENNSYLVANIA ACADEMY OF THE FINE ARTS
Uday P. Khedker,AMERICAN COLLEGE OF THE BUILDING ARTS
José Carlos Bacelar Almeida,UNIVERSITY OF WISCONSIN-PARKSIDE FLEX
Marcus V. M. Ramos,MILLIKIN UNIVERSITY
Nelma Moreira,VILLANOVA UNIVERSITY
Ruy J. G. B. de Queiroz,ATLANTIS UNIVERSITY
Dirk Janssens,EASTERN KENTUCKY UNIVERSITY
Serge Demeyer,TRI-STATE BIBLE COLLEGE
Tom Mens,UNIVERSITY OF SOUTH FLORIDA
Joseph Vanderwaart,UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS
Karl Crary,NEW ENGLAND INSTITUTE OF TECHNOLOGY
Hugo Torres Vieira,SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE
Luís Caires,UNION BIBLE COLLEGE
Mark-Oliver Stehr,SOUTH DAKOTA STATE UNIVERSITY
Luca Macchiarulo,WASHINGTON STATE UNIVERSITY
Mario R. Casu,WILLIAM WOODS UNIVERSITY
Fabio Gadducci,THE UNIVERSITY OF MONTANA-WESTERN
Marino Miculan,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH
Ugo Montanari,EASTERN ILLINOIS UNIVERSITY
David Delahaye,SAINT VINCENT DE PAUL REGIONAL SEMINARY
Micaela Mayero,LEXINGTON THEOLOGICAL SEMINARY
Assalé Adjé,SUFFOLK UNIVERSITY
Arnab Ray,CINCINNATI COLLEGE OF MORTUARY SCIENCE
Rance Cleaveland,UNIVERSITY OF WEST GEORGIA
Gian-Luigi Ferrari 0002,CUNY GRADUATE SCHOOL AND UNIVERSITY CENTER
Jesper Bengtson,SOUTH COLLEGE
Michael Baldamus,WARTBURG COLLEGE
Roberto Raggi,SEATTLE UNIVERSITY
Lars Gesellensetter,DAVENPORT UNIVERSITY
Sabine Glesner,CLARK ATLANTA UNIVERSITY
Ana Teresa C. Martins,COLLEGE UNBOUND
Francicleber Martins Ferreira,AVE MARIA UNIVERSITY
Márcia Farias,WALSH UNIVERSITY
Corina Cîrstea,EDP UNIVERSITY OF PUERTO RICO INC-SAN JUAN
Lukasz Ziarek,DUQUESNE UNIVERSITY
Philip Schatz,TEXAS WOMAN'S UNIVERSITY
Suresh Jagannathan,FRANKLIN COLLEGE
Afonso Sales,WESTMINSTER THEOLOGICAL SEMINARY IN CALIFORNIA
Leonardo Brenner,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT
Lucas Baldo,CENTRAL BAPTIST COLLEGE
Luiz Gustavo Fernandes,CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGICAL SEMINARY
Paulo Fernandes 0001,SUNY ONEONTA
Chengjie Shen,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES
Jun Chen,PURDUE UNIVERSITY-MAIN CAMPUS
Naiyong Jin,ARKANSAS BAPTIST COLLEGE
Taoyong Ni,GONZAGA UNIVERSITY
Derek Bodin,SOUTHERN OREGON UNIVERSITY
Eric Van Wyk,TRI-STATE BIBLE COLLEGE
Jimin Gao,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT CHICAGO
Lijesh Krishnan,ATLANTIC UNIVERSITY COLLEGE
John Power,DEVRY UNIVERSITY-ARIZONA
Martin Hyland,HAMPDEN-SYDNEY COLLEGE
Lars Birkedal,BUENA VISTA UNIVERSITY
Essi Lahtinen,GRACE CHRISTIAN UNIVERSITY
Tuukka Ahoniemi,BAYLOR UNIVERSITY
Gianluigi Zavattaro,MARIAN UNIVERSITY
Nadia Busi,THE UNIVERSITY OF TENNESSEE SYSTEM OFFICE
Claudia Faggian,INTER AMERICAN UNIVERSITY OF PUERTO RICO-METRO
Mauro Piccolo,UNIVERSITY OF NORTH DAKOTA
Julian Rathke,SOUTHEASTERN FREE WILL BAPTIST BIBLE COLLEGE
Nelson S. Rosa,RINGLING COLLEGE OF ART AND DESIGN
Paulo Roberto Freire Cunha,UNIVERSIDAD ANA G. MENDEZ-ONLINE CAMPUS
Nicolas Peltier,NORTHWEST MISSOURI STATE UNIVERSITY
Don Syme,UNIVERSITY OF THE PEOPLE
Jean-Louis Giavitto,BALL STATE UNIVERSITY
Pierre-Etienne Moreau,UNIVERSITY OF THE OZARKS
Alan Jeffrey,UNIVERSITY OF SAINT FRANCIS-FORT WAYNE
Alexander V. Lyaletski,THOMAS AQUINAS COLLEGE
Marina Morokovets,CLAREMONT SCHOOL OF THEOLOGY
Alberto Lluch-Lafuente,MAYVILLE STATE UNIVERSITY
Dan Hirsch,CONCORDIA UNIVERSITY-WISCONSIN
Emilio Tuosto,PRESBYTERIAN THEOLOGICAL SEMINARY IN AMERICA
Guillem Marpons-Ucero,SAINT VLADIMIRS ORTHODOX THEOLOGICAL SEMINARY
Juan José Moreno-Navarro,YESHIVA OF OCEAN
Julio Mariño,TRINITY UNIVERSITY
Lars-Åke Fredlund,ST LAWRENCE UNIVERSITY
Manuel Carro,SAYBROOK UNIVERSITY
Álvaro Polo,BELOIT COLLEGE
Ángel Herranz-Nieva,RHODE ISLAND SCHOOL OF DESIGN
Mark Braverman,WEBB INSTITUTE
Luc Engelen,CALIFORNIA STATE UNIVERSITY-CHANNEL ISLANDS
Mark van den Brand,MCPHERSON COLLEGE
Hélène Jacquet,UNIVERSIDAD DEL SAGRADO CORAZON
Michel Bauderon,GUIDANCE COLLEGE
Renate Klempien-Hinrichs,UNIVERSITY OF PHOENIX-WASHINGTON
João Marques-Silva 0001,LANCASTER BIBLE COLLEGE
Andrej Bauer,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL
Michael W. Mislove,WONGU UNIVERSITY OF ORIENTAL MEDICINE
Kai Engelhardt,FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY
Gheorghe Stefanescu,TABOR COLLEGE
Gopal Gupta 0001,NEW ENGLAND COLLEGE OF OPTOMETRY
Qian Wang 0024,BON SECOURS MEMORIAL COLLEGE OF NURSING
Dexter Kozen,SAINT VINCENT SEMINARY
Prakash Panangaden,LAKE FOREST GRADUATE SCHOOL OF MANAGEMENT
Radu Mardare,CALUMET COLLEGE OF SAINT JOSEPH
Martin C. Rinard,WHITWORTH UNIVERSITY
Igor Walukiewicz,SOUTHWEST UNIVERSITY OF VISUAL ARTS-TUCSON
Norbert Th. Müller,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA
Ana Paula dos Santos Dantas,KANSAS CITY ART INSTITUTE
Cid Carvalho de Souza,UNIVERSITY OF PUERTO RICO-ARECIBO
Zanoni Dias,MEREDITH COLLEGE
Abubakar Hassan,MOREHOUSE SCHOOL OF MEDICINE
Ian Mackie,APPALACHIAN COLLEGE OF PHARMACY
Shinya Sato,BRIAR CLIFF UNIVERSITY
Anne Martens,COLLEGE UNBOUND
Heiko Koziolek,LAGUNA COLLEGE OF ART AND DESIGN
Juan de Lara,SENTARA COLLEGE OF HEALTH SCIENCES
Pedro Pablo Pérez Velasco,UNIVERSITY OF CALIFORNIA-SANTA BARBARA
Bart Preneel,PONTIFICAL FACULTY OF THE IMMACULATE CONCEPTION AT THE DOMINICAN HOUSE OF STUDIES
Brecht Wyseur,HEBREW THEOLOGICAL COLLEGE
Dries Schellekens,UNIVERSITY OF WISCONSIN-WHITEWATER
Ernesto Pimentel 0001,CENTRAL CONNECTICUT STATE UNIVERSITY
María-del-Mar Gallardo,VIRGINIA UNIVERSITY OF LYNCHBURG
Pedro Merino 0001,CONCORDIA THEOLOGICAL SEMINARY
Fairouz Kamareddine,UNIVERSITY OF LOUISIANA AT LAFAYETTE
Kent Lee,ARKANSAS COLLEGES OF HEALTH EDUCATION
Fredrik Lindblad,WEST VIRGINIA UNIVERSITY
Pieter Collins,INTER AMERICAN UNIVERSITY OF PUERTO RICO-PONCE
Benedetto Intrigila,CONCORDIA UNIVERSITY-CHICAGO
Enrico Tronci,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL
Giuseppe Della Penna,WESTERN CONNECTICUT STATE UNIVERSITY
Marisa Venturini Zilli,NORTHWOOD UNIVERSITY
Roberto Bruni,UNIVERSITY OF MASSACHUSETTS-AMHERST
Héctor Cancela 0001,BERGIN UNIVERSITY OF CANINE STUDIES
José Aguilar 0001,WALSH COLLEGE
David Coeurjolly,GRACE COLLEGE OF DIVINITY
Jean-Pierre Reveillès,ARIZONA COLLEGE-MESA
Laure Tougne,THOMAS MORE COLLEGE OF LIBERAL ARTS
Yan Gérard,NATIONAL UNIVERSITY
Jeremy T. Bradley,HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY
Nigel Thomas,UNION COLLEGE
William J. Knottenbelt,DENISON UNIVERSITY
Jiang Guo,HARRIS-STOWE STATE UNIVERSITY
Andrew Moran,OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS
Simon L. Peyton Jones,TOURO UNIVERSITY CALIFORNIA
Søren B. Lassen,RINGLING COLLEGE OF ART AND DESIGN
Frank Pfenning,LEE UNIVERSITY
William Lovas,DONNELLY COLLEGE
Carlos Canal,NORFOLK STATE UNIVERSITY
Gwen Salaün,UNIVERSITY OF UTAH
Javier Cámara,UNIVERSITY OF SAINT KATHERINE
Franz-Josef Rammig,GEORGIA SOUTHERN UNIVERSITY
Martin Kardos,THE PENNSYLVANIA STATE UNIVERSITY
Simon Oberthür,DEVRY UNIVERSITY-ILLINOIS
Yuhong Zhao 0001,MUSICIANS INSTITUTE
David Clark 0001,TENNESSEE WESLEYAN UNIVERSITY
Kelly Androutsopoulos,MEADVILLE LOMBARD THEOLOGICAL SCHOOL
Kevin Lano,YESHIVA OHR NAFTOLI
Andreas Griesmayer,HUNTINGDON COLLEGE
Andries Stam,MORNINGSIDE COLLEGE
Bernhard K. Aichernig,UNIVERSITY OF MISSOURI-KANSAS CITY
Christel Baier,PENNSYLVANIA COLLEGE OF TECHNOLOGY
Einar Broch Johnsen,LEE UNIVERSITY
Frank S. de Boer,SOUTHWESTERN LAW SCHOOL
Immo Grabe,STEVENS-HENAGER COLLEGE
Joachim Klein 0001,OHIO UNIVERSITY-MAIN CAMPUS
Liang Xuedong,MEREDITH COLLEGE
Marcel Kyas,BELLEVUE UNIVERSITY
Martin Steffen,BYZANTINE CATHOLIC SEMINARY OF SAINTS CYRIL AND METHODIUS
Mohammad Mahdi Jaghoori,CLARKS SUMMIT UNIVERSITY
Rudolf Schlatte,UNIVERSITY OF CALIFORNIA-RIVERSIDE
Sascha Klüppelholz,CORNELL COLLEGE
Simon Tschirner,STRAYER UNIVERSITY-DISTRICT OF COLUMBIA
Tobias Blechmann 0001,WICHITA STATE UNIVERSITY
Wang Yi 0001,FLORIDA INSTITUTE OF TECHNOLOGY-ONLINE
Wolfgang Leister,SUNY MORRISVILLE
Alexander Kurz 0001,GEORGIA SOUTHWESTERN STATE UNIVERSITY
Clemens Kupke,UNITED STATES COAST GUARD ACADEMY
Dirk Pattinson,NORTHWEST UNIVERSITY-COLLEGE OF ADULT AND PROFESSIONAL STUDIES
Bruno Xavier,MECHON L'HOYROA
Carlos Olarte,MORRIS COLLEGE
Giselle Reis,OTTAWA UNIVERSITY-ONLINE
Vivek Nigam,VIRGINIA UNION UNIVERSITY
Bartlomiej Bosek,DEVRY UNIVERSITY-TEXAS
Piotr Micek,TRI-STATE BIBLE COLLEGE
Paul Blain Levy,KEISER UNIVERSITY-FT LAUDERDALE
Weng Kin Ho,TEXAS A&M UNIVERSITY-SAN ANTONIO
Guido Boella,WESTERN ILLINOIS UNIVERSITY
Joris Hulstijn,WAYNE STATE COLLEGE
Leendert W. N. van der Torre,RESEARCH COLLEGE OF NURSING
Jarle Hulaas,SAINT LOUIS UNIVERSITY
Walter Binder,YESHIVA KOLLEL TIFERETH ELIZER
Armin Biere,FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS
Edmund M. Clarke,YESHIVA SHAAR EPHRAIM
Yunshan Zhu,CUNY MEDGAR EVERS COLLEGE
Darío Álvarez,LE MOYNE COLLEGE
Marián D. Fondón,YESHIVAS BE'ER YITZCHOK
Miguel Riesco,CUNY BERNARD M BARUCH COLLEGE
Michael W. Shields,OHIO STATE UNIVERSITY-MANSFIELD CAMPUS
Paul J. Krause,NEW JERSEY INSTITUTE OF TECHNOLOGY
Sotiris Moschoyiannis,BRIDGEWATER COLLEGE
Irith Pomeranz,MACALESTER COLLEGE
Sudhakar M. Reddy,FONTBONNE UNIVERSITY
Martín Hötzel Escardó,WILMINGTON COLLEGE
Arnd Poetzsch-Heffter,YESHIVA GEDOLAH OF WOODLAKE VILLAGE
Ursula Scheben,HEBREW COLLEGE
Abdessamad Imine,MUSICIANS INSTITUTE
Gillian Dobbie,SHORTER UNIVERSITY
Jing Sun 0002,HODGES UNIVERSITY
Scott Uk-Jin Lee,LAUREL TECHNICAL INSTITUTE
Yuan-Fang Li,NEVADA STATE COLLEGE
Carlos Areces,EASTERN NAZARENE COLLEGE
Dmitry Sustretov,DEVRY UNIVERSITY-TENNESSEE
Guillaume Hoffmann 0001,UNIVERSITY OF MAINE AT FARMINGTON
Patrick Blackburn,WEST VIRGINIA STATE UNIVERSITY
Francisco Javier López-Fraguas,SUNY COLLEGE OF TECHNOLOGY AT DELHI
Mario Rodríguez-Artalejo,OTIS COLLEGE OF ART AND DESIGN
Rafael del Vado Vírseda,DEVRY UNIVERSITY-TEXAS
Pawel Waszkiewicz,FLAGLER COLLEGE
Horst Reichel,NORTHEASTERN UNIVERSITY LIFELONG LEARNING NETWORK
Alexander Knapp,LAWRENCE TECHNOLOGICAL UNIVERSITY
Rolf Hennicker,MISSISSIPPI COLLEGE
Stephan Janisch,PAINE COLLEGE
Kazuhiro Ogata 0001,YESHIVA OF THE TELSHE ALUMNI
Kokichi Futatsugi,THE ART INSTITUTE OF AUSTIN
Min Zhang 0002,WABASH COLLEGE
Axel Martens,ASHFORD UNIVERSITY
Bernd-Holger Schlingloff,UNIVERSITY OF WISCONSIN-EAU CLAIRE
Karsten Schmidt 0004,COLLEGE OF MOUNT SAINT VINCENT
Adam Chlipala,KANSAS WESLEYAN UNIVERSITY
Klaus Reinhardt,OHIO VALLEY UNIVERSITY
Dana S. Scott,TOURO COLLEGE
Emanuela Merelli,SOUTHWESTERN OKLAHOMA STATE UNIVERSITY
Francesco Vaccarino,OKLAHOMA PANHANDLE STATE UNIVERSITY
Giovanni Petri,UNIVERSITY OF DENVER
Jacopo Binchi,FLORIDA INSTITUTE OF TECHNOLOGY-ONLINE
Matteo Rucco,CHAMBERLAIN UNIVERSITY-MICHIGAN
Jesse Hughes,BRIDGEWATER COLLEGE
Dilia E. Rodríguez,UNIVERSITY OF DALLAS
Reinhold Heckmann,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS
Moshe Y. Vardi,TEXAS SOUTHERN UNIVERSITY
Andrew W. Appel,YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE
Xavier Leroy,TRINITY COLLEGE OF FLORIDA
Philippe Gaucher,OHIO NORTHERN UNIVERSITY
Anindya Banerjee 0001,METHODIST COLLEGE
Isabella Mastroeni,OUACHITA BAPTIST UNIVERSITY
Roberto Giacobazzi,WORCESTER STATE UNIVERSITY
Alberto Verdejo,EMMANUEL COLLEGE
Christiano Braga,CITY UNIVERSITY OF SEATTLE
Isaac Agudo,THE UNIVERSITY OF TENNESSEE-CHATTANOOGA
Javier López 0001,CATHOLIC DISTANCE UNIVERSITY
M. Carmen Fernández Gago,CHAMBERLAIN UNIVERSITY-NEW JERSEY
Jiri Barnat,PROVIDENCE COLLEGE
Petr Rockai,SOUTHWEST MINNESOTA STATE UNIVERSITY
Andrea Maggiolo-Schettini,CHICAGO STATE UNIVERSITY
Ruggero Lanotte,UNIVERSIDAD ANA G. MENDEZ-CUPEY CAMPUS
Simone Tini,TUSCULUM UNIVERSITY
Leonid Libkin,LYON COLLEGE
Paul Taylor 0002,WEST COAST UNIVERSITY-LOS ANGELES
Andrea Y. Weiße,OTTAWA UNIVERSITY-ONLINE
Andreea Beica,EMORY & HENRY COLLEGE
Guillaume Terradot,HUMBOLDT STATE UNIVERSITY
Vincent Danos,UNION THEOLOGICAL SEMINARY IN THE CITY OF NEW YORK
José Meseguer 0001,MIDWIVES COLLEGE OF UTAH
Peter Csaba Ölveczky,CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO
Cheng Feng 0004,OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES
Jane Hillston,EASTERN MENNONITE UNIVERSITY
Marco Gribaudo,SHEPHERDS THEOLOGICAL SEMINARY
Catuscia Palamidessi,NEW ENGLAND CULINARY INSTITUTE
Samson Abramsky,WARNER UNIVERSITY
Stephan Flake,HOUSTON BAPTIST UNIVERSITY
Wolfgang Müller 0003,MCPHS UNIVERSITY
Julia Reznik,LOGAN UNIVERSITY
Rudolf Schreiner,INTERDENOMINATIONAL THEOLOGICAL CENTER
Tom Ritter,CHARLESTON SCHOOL OF LAW
Ulrich Lang 0001,WILSON COLLEGE
Aart Middeldorp,MISSISSIPPI STATE UNIVERSITY
René Thiemann,PONCE HEALTH SCIENCES UNIVERSITY-ST LOUIS
Bernd Finkbeiner,SOUTHERN COLLEGE OF OPTOMETRY
Henny B. Sipma,ST. ANDREWS UNIVERSITY
Howard Barringer,UNIVERSITY OF LA VERNE
Yuri Gurevich,COLORADO MESA UNIVERSITY
Gabriel Coutinho,LANGSTON UNIVERSITY
Sebastián Urrutia,CASTLETON UNIVERSITY
Vinícius Fernandes dos Santos,THE UNIVERSITY OF TENNESSEE-CHATTANOOGA
Yoshiharu Kohayakawa,VIRGINIA UNION UNIVERSITY
Alessandra Di Pierro,UNIVERSITY OF THE POTOMAC-WASHINGTON DC CAMPUS
Chris Hankin,BARD COLLEGE AT SIMON'S ROCK
Herbert Wiklicky,CLAYTON STATE UNIVERSITY
Dániel Varró,SAN FRANCISCO ART INSTITUTE
Christopher P. Hesketh,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF OPTOMETRY
Cesare Tinelli,NORTHWEST COLLEGE OF ART & DESIGN
Hans de Nivelle,CORNELL COLLEGE
Peter Baumgartner 0001,CALIFORNIA STATE UNIVERSITY-MONTEREY BAY
