description,decision,paper,reviewer
TeLsiuCbqsmlHGHnoKylpsUmfBObtosuLRGhQTJdiFYDiJppFWFAZiHVGtSBYFdIsrQyIeSAzzoPhhjlPvmnSqnkYAcjsmTmrarf,Not Accepted,Performance Evaluation of a Real-time Simulation Architecture using Probabilistic Model Checking.,Joris Weigert
TcHuKwaipvTsvRRYanVjIdNQyTjmOGcudOMAZarrVkzubSjMXAYVoiuHoLCYmycJRIJRvcSgSCvvTLMlDzJoJripPTSVXvYQyGtF,Not Accepted,Performance Evaluation of a Real-time Simulation Architecture using Probabilistic Model Checking.,Mario R. F. Benevides
cENRYTIUTPRDtYjgCuhcnGPWuMENeGpNFnphDOOlfrUSkNMlfvZEdNhUTJrmeUUGRozBFvYBwTFSUExoHQReilUuTpsatEgPgGsl,Not Accepted,Manipulating Tree Tuple Languages by Transforming Logic Programs.,Pravesh Kothari
vYtHyOkxxzkBExtvbflzbxQawnPUFGObHEtmdWSlouGGNAqEGebBCLUiMmOMBVhsACvnCYCChJIJHMwnkeRELMjotCJrGKQjRPFd,Accepted,Manipulating Tree Tuple Languages by Transforming Logic Programs.,Jan Peters 0001
dSrVdOijodGrrdTjEUupPcGWXLfidnORGTxyauosatnIqzANVoPDbnsLMNpDmaOBcbBRHiuZRzrAtZTVZzLpddrOMvUxcGaySdlk,Not Accepted,Manipulating Tree Tuple Languages by Transforming Logic Programs.,Georg Starke
PfiXxuHceIRZIAMnBXvoJWyggAdOmspmNXKoQFmRhrYCDkBmeDIwgfCcvCUTHFgcHYnfSsittLLTdQPRrAsyRzKXzxyfxmUWswIa,Not Accepted,Manipulating Tree Tuple Languages by Transforming Logic Programs.,Fairouz Kamareddine
pORjDkacdurvpLTUPWNWdRRSQHmriKtySKTeKashcNNwXrZrpPuMbIzWSAOxtfyrzKTbhIWfyKlGflBshdrooiFBirJytfajIuQM,Not Accepted,Manipulating Tree Tuple Languages by Transforming Logic Programs.,Bharath K. Sriperumbudur
YRqyPzPvGsTtITRgWBenlMKIJCHALyynmvsmyZDEyHBuRSSTXMUNHGIpzMoMzQYkFihPQMnhgOPozPEGusLMobbhnZqATpHLfgNm,Accepted,Towards Merging PlatOmega and PGIP.,Alexandre Yakovlev
BboWUPFdkSfdNkJzDshcuXtZzhixzkeGqXUraxRHTKsZYoYglncUONfiRjFuXTXXcyGJQhSQSPLOKDrmnQTXfSzELbjpIcdEIMlV,Not Accepted,Towards Merging PlatOmega and PGIP.,Tim Bauer
TLUMnlEhOMwaPYWMQjcAMaNdKkdSNSlRsekaKOAcerUqOtIsYpBpGLxHuAMCxJZgTKChlGhKfXQkHeiZOWUeCHyLLJeHfhnJFJjY,Not Accepted,Towards Merging PlatOmega and PGIP.,Rafael Morales Bueno
zHWBJiDjNOHHKnaRTTIljLInhxKuNoBHVfyrQHWpFXPfxlUjFQoRrczDxIdQKBfGGDulFnDDJoCxBVNFPOFkcwgRpXxcneCnQbuG,Not Accepted,Towards Merging PlatOmega and PGIP.,Wei-Shih Lin
SpkkQjMypyKbIKiEhUkZYdxrwrTSmbZiWkofCLFGibXAUkyesVbSLmPgcERlpDTgkQHMYvodAljNhzuUfgjRUJCfIqwcwFnPekaG,Not Accepted,Towards Merging PlatOmega and PGIP.,Feng Shi
UyQUoPczFpnFhgRXvIpgPRAzInCViteIxRniuQAGnQfhzoNUmcGmRyfWAIoUNnfvuBIlzPdnpLoCoLIusmwfqlSzOEyKbaXiZGjm,Not Accepted,Towards Merging PlatOmega and PGIP.,Fabio Henrique N. Abe
CZAiUQJsnIjTieJyIGAwlrJTFLRJHegvpZbWqfpDuJilUFClRichDGmLVncuZAXdMxEDEsjhPSQZKOOOrfyLRQqqdkKGwBNMshpJ,Accepted,Towards Merging PlatOmega and PGIP.,Richard Socher
SfzwvpXwkGkipqwBsNXyTqaPqYNwEewglQCNoOpeYPtMmEtVYATWQBqWTmzPyVEyuCqHvEjmjBDUjpxCtarPUBPUfjzuaNGOVEcm,Accepted,Towards Merging PlatOmega and PGIP.,Sandro Macchietto
LsayYkgCEgHdgfmZbUdlhAzjvPPJHkBSqYVkOMpQlcpnqLDhdEGfcGFHxzjzoSbbyRCiuYboNgJqRlkenxbXvQbSLBNKWEsbIuCk,Not Accepted,Towards Merging PlatOmega and PGIP.,Dimitri Voilmy
PWuEklOecCJoZEUqREjpejxBIZDfkdUUTPnHoJXckljQrarNibYlSQheaTYuYXVrhfnbfRYWeskDUdNeIeTavrNTlpFSGMXPEkou,Not Accepted,Narrowing and Rewriting Logic: from Foundations to Applications.,Yann LeCun
UjzPKhkxmrExbPZyCrPRgdtNNAvPyaSgDTLFFneeunBQNYTndorgbavrCPKFrdLkPaLysNTJbsSZDwURYahXlzGzliaoksgnqsJw,Accepted,Narrowing and Rewriting Logic: from Foundations to Applications.,Jakub Dargaj
mqrSLtGebduxLgzZMhepBXgNSSpTtzfkjtmRrTpMsBCCCYQmxPvADwRinvPGbvXuwHoWGYkZjUzUUgRiZzpfAbDsZkLrBhmmGytc,Not Accepted,Narrowing and Rewriting Logic: from Foundations to Applications.,Igor Kuralenok
LXQVsurtEQiRMvnNEqHTCPvTlQNvvSMvOTOYXSasTXcspNlbevtEbbZumsZYUNPAFlGisBCSjIDnwHXtJIYmRemniRYWSXsMmJtt,Not Accepted,Alloy as a Refactoring Checker?,Lisa Neidhardt
UTBpdzGvUqYlzCKPTErUjjcHvfTdZgVxcFtpzhyeURCaTdlZmarilDULXOUUGDRyoUdJxjWYtDvJNDmuMkGGcHduZzvdkBAGUaAr,Accepted,Alloy as a Refactoring Checker?,Steve A. Schneider
jjqSaqlJZXfkfprKmaigACLWfwIiRbfBIHeJTCFSqOWRuqSWQQKHWwehjvKGnHcZVdxveYDFfwwysuPAHukAIjgpDuNbTmOeLipH,Accepted,Alloy as a Refactoring Checker?,Nicolas Peltier
IeuKHIogIjTazzVIRsUuUqyiAOVCMdWxdecGbtQhbAiNTtbLNJFyRxPxpuipFAKAibSwNgdbVRCoMOYDYhXRfceKPPEiqMTIPwdM,Not Accepted,Alloy as a Refactoring Checker?,Valeria de Castro
GkesiHyoNadqnHjfqrAnLdEkqDkmqrpMmXluaBnBMXHFzSomBgGmHvNJMloPCBBTfAaltUaWANGIOyqsNOUwFxiDickCtmaUYuPJ,Not Accepted,Alloy as a Refactoring Checker?,Tjark Weber
UjpDfnOtyrqcoVeLXMDucIifJaXXQiWHZBjuAgQptMpYuCnGispwklwDYvoLGzrQBgIYEAFpBtLEBoVpOISboejfndAoXOfPgXOA,Not Accepted,Alloy as a Refactoring Checker?,Mark W. Johnson
nBSTgiupYsVgvnkSYtqxmgAhKlvxaddraKYRfnwOJquVpXBfdUEeZDzebnzzexDpLDEQRVigOzxYRbmJvJSkThOgylVAZPuANFGP,Accepted,Digital straightness.,Hojin Lee
BKSKxxbYkMmfCPwYNswBcPbJzujHCQUSwzPEyOKTrrPXokyqMdTUsQPrSmWmUVhGoxBzJAsHvMZxOwLEqPCQzozhWPMYXqkUwNFj,Not Accepted,Digital straightness.,Philip Ushchev
FYaZwmuVuqEdjyPEWqHeEFoesAFIuaUmncjIjajXEzNEhIgPDioxPNdyAtAJkXaaEGgcXtJvFDHUmfdNNNyzUHZRXndyCGAdIXDO,Not Accepted,Digital straightness.,Andres Tello
NBAXAuIhHILOLMBPkTqvUqxPAEBMtrJeimbcmRcsnDhvUMrwIuyNejwAEUIcKpkVaVjTQVEIpIcqHGARJRKlhhYdxUbMJKyJxQxv,Not Accepted,Digital straightness.,Lin Li 0001
rxuYUMTsdFOkvfoCIAnstpOlEjyLYekGrBdZkbUivtcgipfNNlrNZaeCoNxgeNuNGZccidInIneCahTQiktaKpbYAfvMoxjhmpLz,Accepted,A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).,Ayberk Tosun
jRGDiwCwojCWNllJaEsGCDqhmmKoLUaPwPULnrISxlAqSSUyOqXZfFlIoCWQiaNIlwJfQORksITXYvSzRZkjdqecnYwZJgOHFKGk,Not Accepted,A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).,Maria A. Galán
KyzmfJlOrBpQbAAboCpjKSDLvfFKkGOLrwAzZehkHMHPmboYkSJHuJcAkKCdrVGURbnkWqpsurTtlkkCinawgBNbiqzVYOGnuLad,Accepted,A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).,Ronald Wolthoff
wxkJTmPAQndzERjNcfHiwEkyikGHulaXMeDOoTwLRvDpsCjbqusctZZdtwMoLibfYcSNUlIluTiCgApAYvnanSFeBNEEdmFkWsMX,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Jong Jae Lee
cpVdXRpbnUnsnAArunFMtPFBxVFIPxJugozCyUnyIPuGPGIUkChDdOKUuepTjaJiTkyyzbDrJqTZXnxvJLBhPBibjdzsTRNFuNSK,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Brigitte Pientka
DYBUylBwyhBiNtDHVvyjVdeQJAQCBJuBoPAkLgmzpYOfSPbPVUqjWdlMmxYtRJRNEHpZsKoYWaIHluPQemNDLhKLxMxmjQrhxxRp,Accepted,The Amsterdam Toolkit for Language Archaeology.,A. W. Roscoe 0001
GDgiTiVKTWWbTrJlXuohBDcmIQQpoAZYNqQKzUxPDVpXWxEqmaXphzmZMRVvbHzJfrwpRrqLHXVwxfccOttZQHVXDDAVJpnNxiPY,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Carla Piazza
HneSpyGtmBuqXHEexvBScmplsKqbbZMraeTXWSQgqLLZugJxzUlngkEudUbUPljvCpDlGAHLqvuHvxifNrBVallFaOBLHstakoKp,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Wendy Rogers
gVQYFrthjrmbymQsMCJgwzthwVEjmxoAQzlxHdYjbBozZyAVWxXpcLmADFkaKMHQFoSooRzJlYGYDsHLjwbuWgkWcAVunjSUxgBa,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Abeer S. Al-Humaimeedy
XFAHhSQpyuritGQqmsYdAErjaMnTZHzHpfJKClRwnlXyXOsmZWoIRqgesiCojuuKOrYAfkInobOzkMNKcyNbocRZjPFmeAfLzDqm,Accepted,The Amsterdam Toolkit for Language Archaeology.,Nikolay Diakov
kOmLGZPodCyMkIGblGnoJnInWumCYKgdLcISvxNlujflFRoQgwPxTYklKTMScGdRhEuaEDFTLBtDtwlYrEkEJPdqEGQrBVlxwcBY,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Rui Gao
NNqwlyCKkmogIlJWhdxYzXlCQJAhkROMCJzVtHfxixuOQqakqFAIZvNWdFKhFSSHQxpnTZCEUBoNufeFRzxzMkqzjBARgOoEyJNa,Not Accepted,The Amsterdam Toolkit for Language Archaeology.,Chun-Nan Hsu
lmQnAMbwRmZAVUaaTILoaigarkGsprRFguDmvBovhlpJXOSQcdOUBhZCTUncEyECsJuWalKrjkqxkOiAWlPXQwCKkcPhktXpWnbL,Accepted,Non-Uniform Hypercoherences.,Lars Jenner
BRxhtaKPksjZiRxLfCgEakiqQzMZqNFAwcZNRjHLOzHtGbIUTjvnqaaZeJQDwAzHvlWOGlZPTvBXrciMWDcwnjPcEQraOcZybUqA,Not Accepted,Non-Uniform Hypercoherences.,Ling Huang
hwdUxFdCiNrLfioEUInJxayxPFeUyliCEuSuwiwlWCvHezMYgvCrtTHgWYxvmBIAthUcWMszZWnNnYnMSHrEcPWdEEasRqBwzZUH,Not Accepted,Non-Uniform Hypercoherences.,Victor Saquicela
qddQBqOESqWtAhoyGBaHLzajWCTkCuclLTxmQHZOlmBNmLYxpzagidDVyRMYZfnJvryIoPOmZbedgsflWQKiDrhbDJTwniwofMCb,Not Accepted,Non-Uniform Hypercoherences.,Kenji Fukumizu
wecfAmMgOframuOzKUBZRFRxaFVnJagrkNypjnSzvdlazlVoLyGvOseUXMHAOgaSzuGUwYaUpMLKrbanlISGDKdxvjGzRqcaWbvr,Accepted,Non-Uniform Hypercoherences.,Fabio Dell'Agnola
nRruSNpjPXzbCVssDqaMzHFsOpNyQeZAkHUmeLxjNUYlPGjdLzfZkHiThYykOkWsNrlpXzbEIDAZEPRSxjCQENlWCIjnSAOUhZdv,Not Accepted,Non-Uniform Hypercoherences.,Yining Dong
IdcEVbuJfHJgwUQStWUirtFaPXjscCUwljBFOeBSHJXmIOAMRvuGnruFbUquuGAoZdExmPgJHMeYZaVDxHMdQgOqGPAJTGeYtgxN,Not Accepted,An Algebraic Baseline for Automatic Transformations in MDA.,Maximiliano Arias
PJNvXDplrrayBGNSLLfkRlCMQLEYLQqYjNXSFIPEfHfUDfzjTUbVInqZPgTyDWALcZIGHXFXxvcVNZzEappfvzUbAgYCDAtHnZVK,Not Accepted,An Algebraic Baseline for Automatic Transformations in MDA.,Ai Kawamura
CprdlbrUtjnbzAquRozCSiZBmTBRtRBytRVZIXjCpBkFIWWLNvxbAbkJkeEHqmAWfXKyGAzpEdgFJzsjAsHjHEQlZFQaFieKHsLE,Not Accepted,An Algebraic Baseline for Automatic Transformations in MDA.,Bengt Jonsson 0001
zLYVTaJloTWgajzwxtyJypzePLTaybLcuhhHfbyQnvsTtKaKOZEVySxJgtZApsxdDgcAvzEoFCpBeqwFyemiwMsWkmsuiEghJwZo,Not Accepted,Near Distributive Laws.,David M. Ford
XExwkYmKDAwmqmJcFUmMjTEyQdYvjfOOUsEYokXEpNyrPtgRDgyaewHLSaSwRGvsdaPeKdEYZDXNgKbOcNErfAyDQWLEBjhoYyVS,Not Accepted,Near Distributive Laws.,Ingrid Daubechies
sANFVDHoElLADOSKFYiZwhVuybkJvUCNxLHxqDyAzKNjjchBcMsqwDuLteKOpxOxZaUPsZvCEhcoRDDbcFWZSKTxypcyxkOKlqNu,Not Accepted,Near Distributive Laws.,Daniele Strollo
pISagJtIkWceyWScynocRsWkzUPLGEXdpzkHnEqNTqvlWmqzJZzHvmfCpnULUkOcQWLHslozOARIYPMgcxGpnyiqBBXbwdETEYUO,Not Accepted,Near Distributive Laws.,Anton Stefanek
yVZXpAwuiFYuDZZidjxLwTayuQtNfdaGnYkibNCXzArMBPTLGsAcjUPBTvNjXbtiqcMOImblNYtxWLdQwzJwjGtTbUizJuAWrfvz,Accepted,Near Distributive Laws.,Hendrik Rommeswinkel
liwDyZIOnHzlHhNbiRZoDbRULpCVORwzYWBStZGfLuvEMlluKqDonMOEPINyFfGCXkYNdIGDTpfvpFrIaZXFwQdTIgGukVfUTreE,Not Accepted,Near Distributive Laws.,Róbert Busa-Fekete
QSbFdLmOpvINTPKWOzNglvMFAIcPDObtTVzssaxFEbKfgYurPcCxSEcxFuSWDuVEtZGzUxjxlRDWNiRVjsNUqOSncLBVUxnQpoXP,Not Accepted,Near Distributive Laws.,Satoshi Fukuda
ufhFQNkXESEEmpIGEaOuPqbeYbNeTsVcSInDHPWwTsPisZhzrDgQtuSjASoywGLRnxLNgNlAvVtmqyjtNvBVnKIdoexbJXtoLpnD,Accepted,Near Distributive Laws.,Ulises Badillo-Hernandez
DFKRoefQxJNaLoRWQsTsZOgfvptMBJzhmEziryfVxbjVIagegIqtDzBhPfCmAugnGSFjbAnaAtdZzNLFczCDmDCaTbtpKxmwEOFX,Accepted,Formal Checklists for Remote Agent Dependability.,Lorenzo Capra
BKCEiJHTwFrhePbtIPIakHvLQiimQUKAFiFighoRjdGyLTYbBrCaxgLrxkCpdcTESaEOmzdxYyTqllxxLOvORlUxpGIbGGRoVxWT,Not Accepted,Formal Checklists for Remote Agent Dependability.,Nihat Kotluk
JEjNuiMthWprSiZSKSamKXZLBQzDiODncfmGfYDRnUoLcwYMpktqLrpjcKzLgYtSWQuVcyiiCEnzXiUxbFuLfnJHGUgBxqxvpphd,Accepted,Formal Checklists for Remote Agent Dependability.,Balaji Krishnapuram
ySRQVzSsDWQLBtbFwHafSJeJaimynZiGlipaxZfgoiEDBhfdIgobAoqKJOvqBNmqkKuzJblQtliYgTWCyPOdbtTeuSTphGnQAJCy,Accepted,Formal Checklists for Remote Agent Dependability.,L. Mahadevan
fFRIklEVnXSdiBXMPXDXTLnHEKnAwrSuxFTWHolWHFNMDcuZjoEnASWWlxFsNowLCOhEoOBJhhtDpxuHqVOrUXMZOIxHsZbpKRHO,Accepted,Formal Checklists for Remote Agent Dependability.,David Hemer
acimJIfMDUJZCvShsqwsNSqRhYflRhqTQaasusRuaYgcKLucZxwxFdklBAxeNFIwCAYSadAFOHrSnxDFLMLyqCvibHxkxOgZFshp,Not Accepted,Formal Checklists for Remote Agent Dependability.,Rongjing Xiang
DYufGbTtvJAsEaPcdKzDswFfIssrOvNwQlRvGrGVtCDnNrxGfDnFmoVDXmhvalNxcORHjAOhExmnypERQMFwtUxttaNjvgaqneMp,Accepted,Formal Checklists for Remote Agent Dependability.,Simona Orzan
zEWCLYxCHMeORBSSfUjwCcjAEvBMXaoJMHtVuxwiXdHabqKuFrHSKbvIVISLfJxwKmqhVkSNCuANuBOqqwoutrseVDBCgfPLSEYy,Not Accepted,Formal Checklists for Remote Agent Dependability.,Barnabás Póczos
bBUwZchTVOMDFImgMsVfiBdWtdKJtEboeiOOcTIiHTwZJBeoVvYceRDbQycoUSnTAogIKHLBschCrZRveNACnuePcbPSBhAYTYsd,Accepted,Parameterized Theories and Views in Full Maude 2.0.,Robin Hirsch
PPlgAbSGcFAxqQKWPAGXpXEztlYeAwkpZoKIvdebdOMmyxQtXYyajodKzzaOxsEWwgaKqfQnYLgWPVvBLFqNJXuOhWINfvQlZBYE,Not Accepted,Parameterized Theories and Views in Full Maude 2.0.,Tom Lindemann
ssamcqrfozbGADGSVxLOJJRcJsDKRgMbEoiwYYCNmeVwnjwyKmmvodgzwJofzPjjCrTTMbyiGibHRCvjqhYaRpvWGxkXtlwVpilG,Not Accepted,Parameterized Theories and Views in Full Maude 2.0.,Purandar Bhaduri
mCKnFiNCnZteaPHkaTtmdofzhoBMjrQdIhPoUFBdOKqdZmGABRLmtwmfoInLDhxHeoVrWSzwATyyyQQHawiCTEIGZqKqHnEHaKDc,Accepted,Parameterized Theories and Views in Full Maude 2.0.,En Wang
sAOiRLJipVJeAsiBNgkMOIcHJzvOJyNkcqVBSVPgdISAmjnTkbpvMChfMDvCiqwoOUPbZAtBXgrnSaEABZqJCnNpdshUZXSgrbaM,Accepted,Parameterized Theories and Views in Full Maude 2.0.,Dana S. Scott
bOalIjgTKTjyAtSmduCZGYtxwydBaJTzcJDYKUvTGSFnggqnMdJMKeNpPZxyQbtWDEiwHKEiqRRPiGFTNwJEHPdlLDiUrXvvXvVS,Not Accepted,Parameterized Theories and Views in Full Maude 2.0.,Srinivas Palanki
nZRVWLIhNjqNquwIsWTazlFXKyyuGfQxxxiMGzZqbifdXkgsRZUFVPtpmbeUMQrdwlZOmAlzeLcxhwUvcjACszmmnOuoeoQgwAxr,Not Accepted,Parameterized Theories and Views in Full Maude 2.0.,Marciano M. Siniscalchi
AwQaTYFHaoQgSlMDVNEIaLloJEPRizlgDfHbDLsdkdVnDoFvqXaEaYhLpsDNJRYWeKyuJjLQGblRPKBcrSntaCKcWDEeDJdFRJcF,Not Accepted,Parameterized Theories and Views in Full Maude 2.0.,Krishna Dasaratha
LYPcnFlXAjulqIeXLQlxliEbQthIuKZDZXPxlecqUQGYXoGakPDIpcWtyxxtrfwzZMblftwpQFdTlBFFwNEzekvIXExfshnHIUSf,Accepted,Parameterized Theories and Views in Full Maude 2.0.,Joachim M. Buhmann
bIbPSWzbiqdqnualNMiPLnBurkQhSLURTzHojzdHSGcIzNnaPuRDmLLNOsXMrmQGOFhiwwrucZQyhKyioHaWenfpqNwverrRqrdg,Accepted,V for Virtual.,Akimichi Takemura
FpNEbWwIVNimuWuTKBApjAFkAOLOswDghaFJNRrohxHZnuLxHrFcVjlYjBjPCHPfVLzDobruyoZQrjsFyxgXyKwdDgFnKoTLfbBD,Not Accepted,V for Virtual.,Nikola Benes
HguIfbHlUBXMrZTurnriYcvqbpmmTTDzNHArGkKZDxUgpdjYysWYmPzmSZiXFzkdGRWTDTjsykoReSyCFAOSnlFrdlgmboPjTOsp,Accepted,V for Virtual.,Max Welling
uZrzJrXsxjYLiXOwWdlouICLhapJaqcCIuQNsfiHgNgmxXxyfNWBHpokBJpJXKXRuQFzXmPHDSDLJOzfOKkMltLZQKuORSqtacCZ,Not Accepted,V for Virtual.,Kun Wang
jhMDdJBwcYvuwzEjBWzcoDYuPGktyhpLVNpdCRWKVPQuysjkZNumcRsfMrrvUVNFbVQWsFKjADsmvjGmaQxOqELMqgTobWvlWDgA,Accepted,A Proposal for Disequality Constraints in Curry.,Joëlle Despeyroux
XsqgvNWnMagNKtkqIavmKCxrzYIPOSqrSezqAEADCKIvyYNBRJreOcAoquhArigBcoFPkoRQgmqGzQqEEaRoaAOfBmSPQgNUOwLg,Accepted,A Proposal for Disequality Constraints in Curry.,Eurinardo Rodrigues Costa
NcgenAVjfwikIAhGYwqnIafWhkUEUNCBWwimIJdZTAjiZkUiVPHpqgkmTEmIKhknBfyTnijAINawZvUlRRpfBfalfmIjxnHFZqJX,Accepted,A Proposal for Disequality Constraints in Curry.,Paolo Torroni
ZkiVtnaLoZOFCOYMNBRswHUdWpBrcPswnbuyjAaJlPoaZKemZtawVFxlyohotwujUZCigWfZUJciHgjxNmMJNULqHyakaksQSzsE,Accepted,A Proposal for Disequality Constraints in Curry.,Vitaly Feldman
BYAFngzOwhmubxwzHDZorgbaIcNNqFxmalJYRqFzGwVcWXrNZcnuEzpteQYxXXdZVFlyBPCPUInseHuozmmFBPjBnwbBnPrcIFSE,Not Accepted,A Proposal for Disequality Constraints in Curry.,Guangqin Ma
OYzZFHIVlgZBmCdSNXFsFdKlvAblzeXDVsfBsXWDSkpkwuzLyUacswbuNsRpgEHixPUyLHpOgDfKsxeCuxFhXIRRmvNjEalbNugk,Not Accepted,A Proposal for Disequality Constraints in Curry.,Ryan Rifkin
NYLjCIIXLnawDNClblzOXZSkkxRIbbdDgxPLptBMvLzEVabrcGiWFIJxyqFchoRsNCrIwRXNnxaBxYSXIyjYIniIjdDgSokZDIuT,Not Accepted,A Proposal for Disequality Constraints in Curry.,Jiabin Wu
hUzzklkpvKrdXeSwhPeoEulYpSrrVBbFyUbisrNfcynRqmEZWogiDgvKhyzvioJLzSIIHigLmEDIVNfJlJPSoUEwRqchKIThnFbG,Accepted,"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Merve Öner
ooJXbXLCXCAbkyGBlpfmqivYJwkaLpQQVikrMHYPJVRdxVtQLgoFIjGGLPtrikpYVSUfomdYpNeeMHoCWlWcNRVZKiAWWNKMdUcQ,Accepted,"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Toan Q. Nguyen
oVROWpvzzCqkaaSTstfBAGLVttcnMSjwgJYdAgswpHndgKjyyswvwwotZHkeZWznVPcBOXpRqyKYDMUXRzvnbAqTzFbrwXAsUXPV,Not Accepted,"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Matthew Fluet
gBBBdqDuHSWOHIbzbwofpFUjdpXIRVnNIyzseqpUKEuEIRczKPyrJQmdUhIpEKFgdHmakXHcFvoGFbNDeoTdjazLOfovslxgIIrm,Not Accepted,"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Sotiris Moschoyiannis
WHsujLsMoetxLhCqWoGzALGXenkxVUtUoFrRflObnnGoathorGKPPJcHfvyMdyblcMwASsblrotOnAYLnEwXVyJVUIEkubPFRDvk,Accepted,"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Muck van Weerdenburg
dIqYJbCOeaQMDjHJcQlISgZMHPKbSgGZKpDufwXevSicvGDVXcGPboYfPAiCsVXHHfNLUNQwaVOMZNwSsHOGDnADItxCqlZKYHhv,Not Accepted,Abstract Regular Tree Model Checking.,Alex J. Cuadros-Vargas
BdmVfdpyvDbfznxKtXEivxssMuRzWxkTEFntTBeOilemLfkQLGoCvyQvvySNNYlcTkWaPpiTWIEbAuBskuFQwAbufAvsXogxevXE,Not Accepted,Abstract Regular Tree Model Checking.,Rafael C. S. Schouery
RczImMvksAAdIxRqkLRpbwrYKxKBaNmBUHrdoNDGIpKJaXAPcijclpEYVcCbzzmcBIsRJMijTpVuGzeqgXDsqBflcgsVPWcNcmYT,Not Accepted,Abstract Regular Tree Model Checking.,Sofia Abreu Faro
lPKYxFvvadRJlPAxkeBBiahCrwmmwLIMWwsWblLPzMqNfazNxFdcjJIeThPoOjqEtjvhnWdsJnLqJQeUlkvnUdFCsqSaSjvGLYFx,Not Accepted,Abstract Regular Tree Model Checking.,Botond Cseke
FFCcGZMiWhDoCFlGCsJAKoFfDXJtmePlhNvGqfDtobfXtFZPhzkIyRgESJkFpZbbsPFqTeQmrdPvAzupRlcqDtLztcpUcLNBqzkR,Not Accepted,Abstract Regular Tree Model Checking.,Jasper Snoek
qjPSfsbtHALTgxpUJPrXJZWiuWemzwUBmuryLwKjuqBaklbxXtTCziPZLxLyvsgDHtcENLWXedLlrfIExgvlLmdQHOvWKxNdOqUf,Accepted,Abstract Regular Tree Model Checking.,Wenxue Hu
mKqSYIWulxmbevMBPxMiugDYGOVoGEXwkUurwGSoXoAtHjiFdEdpajtWXsltBpYHEuWNBlCXCdIranRkLrZCkZZRyEmiUspqWjRu,Not Accepted,Abstract Regular Tree Model Checking.,Julia Mosin
WtkZLcCliJzklNVsdiBicgwZotzWLjtuKWvANuvkYTzvjpcAeYfOxeEamAnXCYOOhlkRSlVZsHUNFmMPmIhySJVfemAGfDDDesYk,Accepted,Bisimulation for Feller-Dynkin Processes.,Marcelo da Silva Corrêa
ofgaVXLDYPYcAlyhMsiQDQSqinrcECVZAvZKjfVjahbzjDCIOGFgNIEdCyitJQuxinvwKzNfGigpCexdadLYiAwDZMhlPuHpIbzy,Not Accepted,Bisimulation for Feller-Dynkin Processes.,Romain Picot
TQteFBwFTTvXEKrzlGgXyoQDzdeKeHSVsBRFFeSjprvprVnDFdvKuOenJBADKyclPetqCsotcapiadHBBsKmIlnXnyYIJJhkgDSj,Not Accepted,Bisimulation for Feller-Dynkin Processes.,Xavier Leroy
sNWHSRvQLvwkOBvaLOXcrJCVBMfGARMkjzcBhjaNbppQdydDSCjvXNusDgiioRYYdVYyTokPzWXpppGAATUuAQNvWAQZvdezkCAH,Not Accepted,Bisimulation for Feller-Dynkin Processes.,Nicholas G. Polson
iTDlRadphkxznBVYzYwCWCcmKvaXYDpCurFNdfFcilnesqHWPXAUunHnCELmwMGMvvgwwGFMLCxDqaILodjAWzCAxZNWAPPTCUCi,Accepted,Bisimulation for Feller-Dynkin Processes.,Carlos E. da Costa
AAeCtPbtkbESlmXSpnuvSoLdVNfptRpOORfGrmWaEHwiEnUyDtpNFWttVzAwXikBVOokYPopIGaUAuHyEtUBWLXHyXxVvavLKVNG,Not Accepted,Bisimulation for Feller-Dynkin Processes.,Hartmut Ehrig
qrzqSrVYqhcfgjViIwPNEHkOdTFxDJzDYmvsjnflpAkcUebQhMFFDBZeAhpOQZvajXRkedOGwOEZTQfcHPZFtjoMTTGkECFaYgzx,Not Accepted,Bisimulation for Feller-Dynkin Processes.,Predrag Janicic
mlWHuIYprvgwgnxFLoNHPRmHbKwpNVfnglNjSJTGvYvzpwoKnUPzUIvxmEbHdDOgPkRNcSSCYCVOfjUzSxzdJSMVeLmjJDhWmlhH,Accepted,Bisimulation for Feller-Dynkin Processes.,Florian Steinke
jnsOlIXnlfMEEncIsAtJgwetnuNWRiiLAvEHnuuTEoGOplxZcqDHTiwypMTYFBBxwDHZRPvjUyPzsNWuZFwIGwozFCLapyzeycyt,Accepted,Leveraging UML Profiles to Generate Plugins From Visual Model Transformations.,Paul-André Melliès
