paper,main_author
A Selective CPS Transformation.,Lasse R. Nielsen
The metafront System: Extensible Parsing and Transformation.,Claus Brabrand
Symbolic State Exploration.,Fabio Somenzi
OnDemandOBJ: A Laboratory for Strategy Annotations.,María Alpuente
A Note on Hyperspaces and Terminal Coalgebras.,Franck van Breugel
Detecting Lung Abnormalities From X-rays Using an Improved SSL Algorithm.,Andreas Kanavos
The Homotopy Branching Space of a Flow.,Philippe Gaucher
Towards a Rewriting Semantics for a Software Architecture Description Language.,Alexandre Sztajnberg
Alternating-time logic with imperfect recall.,Pierre-Yves Schobbens
A Logical Approach to Security in the Context of Ambient Calculus.,Corrado Priami
Automatic derivation of the irrationality of e.,Michael Beeson
Preface - SC 2003: Workshop on Software Composition Affiliated with ETAPS 2003.,Elke Pulvermüller
Non-deterministic Effects in a Realizability Model.,Niels F. W. Voorneveld
Bitopology and Four-valued Logic.,Achim Jung
Variable Neighborhood Descent Branching applied to the Multi-Way Number Partitioning Problem.,Alexandre Frias Faria
Run-Time Validation of Speculative Optimizations using CVC.,Benjamin Goldberg
Adequacy and Complete Axiomatization for Timed Modal Logic.,Bingtian Xue
A distributed Intrusion Detection and Response System based on mobile autonomous agents using social insects communication paradigm.,Salima Hassas
Event-Based Real-Time Monitoring.,Aloysius K. Mok
Generalized Coiteration Schemata.,Daniela Cancila
Completely Precontinuous Posets.,Wenfeng Zhang
Characterizations of Various Continuities of Posets Via Approximated Elements.,Luoshan Xu
Web-Based Integrated Timetable Information System for Railways and Airlines.,Krzysztof Goczyla
Attacking fair-exchange protocols: parallel models vs trace models.,Fabio Massacci
Generic representation of self-similarity via structure sensitive sampling of noisy imagery.,Kohji Kamejima
Developing a Danish grammar in the GRASP project - A construction-based approach to topology and extraction in Danish.,Anne Neville
A graphical approach to relational reasoning.,Andrea Formisano 0001
Countably Sober Spaces.,Jinbo Yang
On the Compact-regular Coreflection of a Stably Locally Compact Locale.,Martín Hötzel Escardó
"The Expressive Power of Urgent, Lazy and Busy-Waiting Actions in Timed Processes.",Dino Di Cola
"Compositional Asymmetric Cooperations for Process Algebras with Probabilities, Priorities, and Time.",Marco Bernardo 0001
On a Graph Approach to Modal Logics.,Mario R. F. Benevides
Incremental Rebinding with Name Polymorphism.,Davide Ancona
Quasi-continuous Yoneda Complete Quasi-Metric Space.,Kok Min Ng
Adding Graph Transformation Concepts to UML's Constraint Language OCL.,Andy Schürr
Network-Conscious π-calculus - A Model of Pastry.,Matteo Sammartino
Proving Soundness of Extensional Normal-Form Bisimilarities.,Dariusz Biernacki
Hybrid GRASP Heuristics to Solve an Unrelated Parallel Machine Scheduling Problem with Earliness and Tardiness Penalties.,Harlem Mauricio Madrid Villadiego
An Imperative Pure Calculus.,Andrea Capriccioli
A Stream Calculus of Bottomed Sequences for Real Number Computation.,Hideki Tsuiki
The Relationships Between KM-fuzzy Quasi-metric Spaces and the Associated Posets of Formal Balls.,Xiangnan Zhou
A new 3D 12-subiteration thinning algorithm based on P-simple points.,Christophe Lohou
Using Binary Patterns for Counting Falsifying Assignments of Conjunctive Forms.,Guillermo De Ita Luna
Programming Satan's Agents.,Volker Roth 0002
Proving Correctness of a Compiler Using Step-indexed Logical Relations.,Daniel Fridlender
Continuous Prequantale Models of ,Hui Li
Unsafe Floating-point to Unsigned Integer Casting Check for GPU Programs.,Ganesh Gopalakrishnan
A fast data protection technique for mobile agents against malicious hosts.,Darío Álvarez Gutiérrez
Abstract interpretation for proving secrecy properties in security protocols.,Kamel Adi
A Case Study in Inspecting the Cost of Security in Cloud Computing.,Nigel Thomas
Higher Dimensional Categories: Induction on Extensivity.,John Power
A Compressed Suffix Tree Based Implementation With Low Peak Memory Usage.,Daniel Saad Nogueira Nunes
Static Analysis for Stack Inspection.,Gian-Luigi Ferrari 0002
Strong Normalization through Intersection Types and Memory.,Antonio Bucciarelli
Neural Nets via Forward State Transformation and Backward Loss Transformation.,Bart Jacobs 0001
Calculation of Invariants Assertions.,Federico Flaviani
Introduction - Bohm's theorem: applications to Computer Science Theory - BOTH 2001.,Jean-Jacques Lévy
From Partial Orders with Projections to Domains.,Ralph Kummetz
The complexity of scheduling TV commercials.,Colm Ó'Dúnlaing
Presentation.,Jimmie Lawson
Mathematical Two-compartment Model of Human Cholesterol Transport in Application to High Blood Cholesterol Diagnosis and Treatment.,Artur Wrona
Bisimulation Maps in Presheaf Categories.,Harsh Beohar
Two Problems on Interval Counting.,Fabiano de S. Oliveira
An Abstract Module Concept for Graph Transformation Systems.,Marta Simeoni
Dynamic Fault Trees with Rejuvenation: Numerical Analysis and Stochastic Bounds.,Jean-Michel Fourneau
On Block Structures in Quantum Computation.,Bart Jacobs 0001
Bounded Model Checking of Traffic Light Control System.,Bin Yu
An Interpretation of CCS into Ludics.,Stefano Del Vecchio
Security Issues in Component-based Design.,Andrea Bracciali
"Open-independent, Open-locating-dominating Sets in Complementary Prism Graphs.",Erika M. M. Coelho
Towards Secure Mobile Multiagent Based Electronic Marketplace Systems.,Dieter Hutter
Syntactic Type Soundness for the Region Calculus.,Peter Thiemann 0001
From SOS Specifications to Structured Coalgebras: How to Make Bisimulation a Congruence.,Andrea Corradini 0001
Energy-Aware Profiling for Cloud Computing Environments.,Django Armstrong
A Framework to Generate Synthetic Multi-label Datasets.,Everton Alvares Cherman
Numerically-aided Deductive Safety Proof for a Powertrain Control System.,André Platzer
Correcting Gene Trees by Leaf Insertions: Complexity and Approximation.,Riccardo Dondi
Portable Resource Control in Java: Application to Mobile Agent Security.,Alex Villazón
"Chomsky-Schu""tzenberger Type Characterizations of Poly-Slender and Parikh Slender Context-Free Languages.",Carlos Martín-Vide
Classical Realizability in the CPS Target Language.,Jonas Frey
A Polynomial-time Approximation Scheme for the MAXSPACE Advertisement Problem.,Lehilton L. C. Pedrosa
Quasi-Nelson Algebras.,Matthew Spinks
Defining Actions in Concurrent Declarative Programming.,Rachid Echahed
Petri Nets with Discrete Phase Type Timing: A Bridge Between Stochastic and Functional Analysis.,Andrea Bobbio
Coalgebras for Fuzzy Transition Systems.,Hengyang Wu
Comparing Control Constructs by Double-barrelled {CPS} Transforms.,Hayo Thielecke
XT: a bundle of program transformation tools.,Eelco Visser
Process Algebra and Information Flow.,Peter Y. A. Ryan
Reductions and Saturation Reductions of (Abstract) Knowledge Bases.,Jing Zhao
Non-deterministic Semantics in Polynomial Format.,Mariana Matulovic
Behavioral and Coinductive Rewriting.,Grigore Rosu
An Effect-Theoretic Account of Lebesgue Integration.,Bart Jacobs 0001
A Symbolic Model for Timed Concurrent Constraint Programming.,Carlos Olarte
An Augmented Reality Prototype for supporting IoT-based Educational Activities for Energy-efficient School Buildings.,Christos Triantafyllis
Case-based Reasoning for Web Service Discovery and Selection.,Alan De Renzis
On proving syntactic properties of CPS programs.,Belmina Dzafic
A Parameterized Floating-Point Formalizaton in HOL Light.,Alexey Solovyev
On Dialogue Games and Graph Games.,Clément Jacq
Partial and Complete Processes in Multiparty Sessions.,Ines Margaria
"Semantic Domains, Injective Spaces and Monads.",Bob Flagg
Diacritical Companions.,Dariusz Biernacki
Algebras of the Extended Probabilistic Powerdomain Monad.,Jean Goubault-Larrecq
Migrating Traditional Web Applications to CMS-based Web Applications.,Esperanza Marcos
Theory exploration versus theorem proving.,Bruno Buchberger
An Optimal Inverse Laplace Transform Method Without Positive and Negative Overshoot - An Integral Based Interpretation.,Illés Horváth
Defining Standard Prolog in Rewriting Logic.,Christoph Beierle
Backbone Coloring of Graphs with Galaxy Backbones.,Alexandre A. Cezar
Putting Operational Techniques to the Test: A Syntactic Theory for Behavioral Verilog.,Amr Sabry
An Adaptive Algorithm for Rule Learning: Case Study and Preliminary Results.,João José Neto
Applicative Bisimilarities for Call-by-Name and Call-by-Value λμ-Calculus.,Dariusz Biernacki
A Coalgebraic Semantics of Subtyping.,Erik Poll
A Note on Distances between Probabilistic and Quantum distributions.,Bart Jacobs 0001
"Proving Concurrent Constraint Programming Correct, Revisited.",Carlos Olarte
Formal Verification in the Design of Gestural Interaction.,Gavin J. Doherty
AVERIST: An Algorithmic Verifier for Stability.,Miriam Garcia Soto
Formal Meta-level Analysis Framework for Quantum Programming Languages.,Amy P. Felty
Modality via Iterated Enrichment.,Yoshihiko Kakutani
Sound and Complete Equational Reasoning over Comodels.,Dirk Pattinson
Finitary Higher Inductive Types in the Groupoid Model.,Hugo Moeneclaey
Formal Contexts for Algebraic Domains.,Lankun Guo
"On Corelations, Cokernels, and Coequations.",Uwe Wolter
The Effects of Effects on Constructivism.,Liron Cohen 0001
Unbounded Recursion and Non-size-increasing Functions.,Stefano Mazzanti
Visual Impairment Simulator Based on the Hadamard Product.,Claudia N. Sánchez
"Lambada, Haskell as a Better Java.",Erik Meijer 0001
Realizability Models for Type Theories.,Bernhard Reus
"Survivability Evaluation of Gas, Water and Electricity Infrastructures.",Alberto Avritzer
Software Architecture for Document Anonymization.,Daniel Calegari
Consistent transformations for software architecture styles of distributed systems.,Dan Hirsch
Is Hyper-extensionality Preservable Under Deletions of Graph Elements?,Alberto Casagrande
Flexibility and Interoperability in CORBA Security.,Rudolf Schreiner
Efficient Substitution in Hoare Logic Expressions.,Roberto Virga
Even-power of Cycles With Many Vertices are Type 1 Total Colorable.,Alesom Zorzi
On Models of Higher-Order Separation Logic.,Ales Bizjak
Metric semantics for synchronous and asynchronous communication: a continuation-based approach.,Eneia Todoran
Modularity and Dyads.,Edmund Robinson
On Concurrent Games with Payoff.,Glynn Winskel
The 2D Subarray Polytope.,Ivo Koch
Nominal Lambda Calculus: An Internal Language for FM-Cartesian Closed Categories.,Frank Nebel
A Distributed Pi-Calculus with Local Areas of Communication.,Ian Stark
On Bisimilarity in Lambda Calculi with Continuous Probabilistic Choice.,Francesco Gavazzo
Validation of Automatic Vehicle Location Data in Public Transport Systems.,Daniël Reijsbergen
Strong fairness and Recursive Communicating Processes.,Susan Older
Towards a Quantum Domain Theory: Order-enrichment and Fixpoints in W*-algebras.,Mathys Rennela
A Framework for the Analysis of Access Control Policies with Emergency Management.,Maribel Fernández
Energy-efficient Checkpointing in High-throughput Cycle-stealing Distributed Systems.,Andrew Stephen McGough
Strategies as Concurrent Processes.,Glynn Winskel
Comparative Analysis of Performance and Quality of Prediction Between ESS and ESS-IM.,Germán Bianchini
Approximate Symbolic Model Checking using Overlapping Projections.,David L. Dill
On the Complexity of Gap-[2]-vertex-labellings of Subcubic Bipartite Graphs.,C. N. Campos
Bibliography on Realizability.,Lars Birkedal
User--system interaction within Theorema.,Felix Kossak
Bisimilar and Logically Equivalent Programs in PDL.,Mario R. F. Benevides
Combinator Parsers - From Toys to Tools.,S. Doaitse Swierstra
Anti-Ramsey Threshold of Cycles for Sparse Graphs.,Bruno Pasqualotto Cavalar
Proper Multi-Type Display Calculi for Rough Algebras.,Alessandra Palmigiano
A Geometric View of Partial Order Reduction.,Eric Goubault
Abstract Interpretation Based Verification of Logic Programs.,Giorgio Levi
Unfolding of Parametric Boolean Networks.,David Safránek
Proof assistance for refinement in type theory.,Nikos Mylonakis
Into the Square: On the Complexity of Some Quadratic-time Solvable Problems.,Michel Habib
Test Scenario Generation from Natural Language Requirements Descriptions based on Petri-Nets.,Edgar Sarmiento
Reasoning About Recursive Processes: Expansion is not Always Fair.,Stephen D. Brookes
A Case Study in Capacity Planning for PEPA Models with the PEPA Eclipse Plug-in.,Allan Clark
Towards Compositional Graph Theory.,Apiwat Chantawibul
A Formalisation of Nominal α-equivalence with A and AC Function Symbols.,Daniele Nantes-Sobrinho
Performance of a Second Order Electrostatic Particle-in-Cell Algorithm on Modern Many-Core Architectures.,Dominic A. S. Brown
Metric Dimension: from Graphs to Oriented Graphs.,Fionn Mc Inerney
The Incremental Satisfiability Problem for a Two Conjunctive Normal Form.,Guillermo De Ita Luna
Exploiting Partial Symmetries for Markov Chain Aggregation.,Claude Dutheillet
On Computing the Path Number of a Graph.,Fábio Botler
Kripke-type Semantics for CG',Miguel Pérez-Gaspar
Alpha-Structural Induction and Recursion for the Lambda Calculus in Constructive Type Theory.,Alvaro Tasistro
Hausdorff compactifications of topological function spaces via the theory of continuous lattices.,Martín Hötzel Escardó
"CINNI - A Generic Calculus of Explicit Substitutions and its Application to lambda-, varsigma- and pi- Calculi.",Mark-Oliver Stehr
On the Verification of Cryptographic Protocols - A Tale of Two Committees.,Dieter Gollmann
Fully Symbolic Model Checking of Timed Systems using Difference Decision Diagrams.,Henrik Hulgaard
Coinductive Predicates and Final Sequences in a Fibration.,Bart Jacobs 0001
The Construction of Set-Truncated Higher Inductive Types.,Herman Geuvers
Parametric Facial Animation for Affective Interaction Workflow for Avatar Retargeting.,Gloria Mercedes Díaz
A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming.,Moez A. AbdelGawad
Polytypic Programming in Maude.,Francisco Durán 0001
Cartesian Integral Categories and Contextual Integral Categories.,J. Robin B. Cockett
A Categorical Characterization of Relative Entropy on Standard Borel Spaces.,Nicolas Gagné
Under-approximation of Reachability in Multivalued Asynchronous Networks.,Loïc Paulevé
Enabling Fluid Analysis for Queueing Petri Nets via Model Transformation.,Christoph Müller
Conditioning in Probabilistic Programming.,Annabelle McIver
A Dependent Type Theory with Abstractable Names.,Andrew M. Pitts
Logic of Negation-Complete Interactive Proofs (Formal Theory of Epistemic Deciders).,Simon Kramer 0001
Formal Biochemical Space with Semantics in Kappa and BNGL.,David Safránek
J-Calc: A Typed Lambda Calculus for Intuitionistic Justification Logic.,Giuseppe Primiero
The Duality Theory of General Z-continuous Posets.,Qingguo Li
Model-based Dynamic Control of Speculative Forays in Parallel Computation.,Kalyan S. Perumalla
Performance Evaluation of Replication Policies in Microservice Based Architectures.,Daniele Manini
Giry and the Machine.,Fredrik Dahlqvist
Abstract Local Reasoning for Concurrent Libraries: Mind the Gap.,Adam Wright
Distributed Probabilistic and Quantum Strategies.,Glynn Winskel
On Edge-magic Labelings of Forests.,Carla Negri Lintzmayer
Facet-generating Procedures for the Maximum-impact Coloring Polytope.,Javier Marenco
The MFPS XV Security Session.,Catherine Meadows 0001
Rewriting Logic as a Framework for Generic Verification Tools.,Martin Leucker
Condition/Decision Duality and the Internal Logic of Extensive Restriction Categories.,Robin Kaarsgaard
Labelled Port Graph - A Formal Structure for Models and Computations.,Bruno Pinaud
Forecasting Passenger Loads in Transportation Networks.,Simon Theissing
A Comprehensive Web-based Platform For Domain-Specific Biological Models.,Ales Pejznoch
Deriving a Graph Rewriting System from a Complete Finite Prefix of an Unfolding.,Rom Langerak
Skalpel: A Type Error Slicer for Standard ML.,Fairouz Kamareddine
Bicategorical Semantics for Nondeterministic Computation.,Jamie Vicary
On the Computational Complexity of Information Hiding.,Andres Rojas Paredes
A Monad for Randomized Algorithms.,Tyler Barker
Process Realizability.,Samson Abramsky
Formalization of Universal Algebra in Agda.,Alejandro Gadea
Occurrence Counting Analysis for the pi-Calculus.,Jérôme Feret
"Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads.",Hiroshi Watanabe 0002
Reversible Monadic Computing.,Chris Heunen
Pre-grammars and Inhabitation for a Subset of Rank 2 Intersection Types.,Sabine Broda
Partial Traces on Additive Categories.,Naohiko Hoshino
On Paraconsistent Extensions of C,Claudia Zepeda
Evaluating the Model-Based Testing Approach in the Context of Mobile Applications.,André Takeshi Endo
Computing the Determinant of the Distance Matrix of a Bicyclic Graph.,Celso M. da Silva Jr.
Robustness of f- and g-generated Fuzzy (Co)Implications: The Yager's (Co)Implication Case Study.,Benjamín R. C. Bedregal
Coalgebraic structure from weak limit preserving functors.,H. Peter Gumm
On Strong Normalization in Proof-Graphs for Propositional Logic.,Edward Hermann Haeusler
Formalizing Constructive Projective Geometry in Agda.,Guillermo Calderón
Conditional Monte Carlo With Intermediate Estimations for Simulation of Markovian Systems.,Gerardo Rubino
Writing Constructive Proofs Yielding Efficient Extracted Programs.,Aleksey Nogin
Direct Models for the Computational Lambda Calculus.,Carsten Führmann
Hierarchy of asynchronous automata.,Rémi Morin
Formalisation in Constructive Type Theory of Stoughton's Substitution for the Lambda Calculus.,Alvaro Tasistro
Proof-search and proof nets in Mixed Linear Logic.,Didier Galmiche
"CTML - A Context Transport Mark-up Language for Formalization and Verification of Legal, Medical and Bureaucratic and Safety procedures and Protocols.",Graziella Tonfoni
Multiobjective Optimization in a Quantum Adiabatic Computer.,Benjamín Barán
Infinitely Running Concurrent Processes with Loops from a Geometric Viewpoint.,Lisbeth Fajstrup
Static Analysis of Embedded Real-Time Concurrent Software with Dynamic Priorities.,Antoine Miné
Representation of FS-domains Based on Closure Spaces.,Lingjuan Yao
Monadic Encapsulation of Effects: a Revised Approach.,Eugenio Moggi
Test Data Generation for Cyclic Executives with CBMC and Frama-C: A Case Study.,Guillaume Langelier
"Solve[order/topology == quasi-metric/x, x].",Bart Windels
Pixel Geometry.,Stephen G. Matthews 0002
A Superposition Operator for the Refinement of Algebraic Models.,Claus Pahl
Employing external reasoners in proof planning.,Erica Melis
Proof-theoretic notions for software maintenance.,Reinhard Kahle
GPU Parallel Visibility Algorithm for a Set of Segments Using Merge Path.,Kevin Zúñiga Gárate
Emotion Recognition from Physiological Signal Analysis: A Review.,Maria Egger
Towards Integrated Cognitive and Interface Analysis.,Giorgio P. Faconti
"Some Remarks on Synchronization, Games and Planar Automata.",Christian Nolasco
A graphical approach to monad compositions.,Agustín Valverde
Sigma Coloring on Powers of Paths and Some Families of Snarks.,Luis Gustavo da Soledade Gonzaga
Defining Stage Argumentation Semantics in Terms of an Abducible Semantics.,Claudia Zepeda
A Family of Graded Epistemic Logics.,Alexandre Madeira
Monads for Behaviour.,Jeremy Gibbons
Concurrent Symbolic Verification of Liveness Properties for Interleaved Models.,Felice Balarin
Theorem-Proving Analysis of Digital Control Logic Interacting with Continuous Dynamics.,Geoffrey C. Hulette
Coalgebra morphisms subsume open maps.,Slawomir Lasota 0001
Decidability of Plain and Hereditary History-Preserving Bisimilarity for BPP.,Sibylle B. Fröschle
First-order Semantics for Higher-order Processes.,Michael Baldamus
Modal Logic for Rewriting Theories.,Dirk Pattinson
HyLaGI: Symbolic Implementation of a Hybrid Constraint Language HydLa.,Fumihiko Kono
JIT-Based Cost Analysis for Dynamic Program Transformations.,John Magnus Morton
Secrecy in Security Protocols as Non Interference.,Fabio Martinelli
Dedication.,Benjamin C. Pierce
FPT Algorithms to Enumerate and Count Acyclic and Totally Cyclic Orientations.,Farley Soares Oliveira
On The Expressiveness of Timed Concurrent Constraint Programming.,Simone Tini
Defining Effectiveness Using Finite Sets A Study on Computability.,Alex de V. Garcia
Stochastic Transcription Elongation via Rule Based Modelling.,Masahiro Hamano
"Operational Properties of Lily, a Polymorphic Linear Lambda Calculus with Recursion.",Andrew M. Pitts
The control component of open mechanized reasoning systems.,Alessandro Armando
The Meet-continuity of L-semilattices.,Huodi Chen
Impact of Scalability on the Performance of Secured Cognitive Radio Networks.,Chuku Ejike
Memory Consumption Analysis for a Functional and Imperative Language.,Emmanuel Chailloux
Biochemical Space: A Framework for Systemic Annotation of Biological Models.,David Safránek
Prototyping of hybrid systems - from HyCharts to Hybrid Data-Flow Graphs.,Christoph Grimm 0001
A Note on Finitely Derived Information Systems.,Lankun Guo
A Calculus for Automatic Verification of Petri Nets Based on Resolution and Dynamic Logics.,Bruno Lopes 0001
Formal Attributes Traceability in Modular Language Development Frameworks.,Albert Shaqiri
Observationally-induced Algebras in Domain Theory.,Ingo Battenfeld
FJQuantum - A Quantum Object Oriented Language.,André Rauber Du Bois
Semantics-Driven Language Design: Statically Type-safe Virtual Types in Object-oriented Languages.,Joseph Vanderwaart
"Local Dcpos, Local Cpos and Local Completions.",Michael W. Mislove
On the Canonical Representation of Order 3 Discrete Phase Type Distributions.,Illés Horváth
On Graph Calculi for Multi-modal Logics.,Mario R. F. Benevides
A Denotational Semantics for Low-Level Probabilistic Programs with Nondeterminism.,Di Wang 0017
Data Field Haskell.,Björn Lisper
On a Categorical Framework for Coalgebraic Modal Logic.,Achim Jung
Haskell Server Pages - Functional Programming and the Battle for the Middle Tier.,Danny van Velzen
Completeness in PVS of a Nominal Unification Algorithm.,Ana Cristina Rocha Oliveira
Uniform Topological Spaces Based on BF-ideals in Negative Non-involutive Residuated Lattices.,Chunhui Liu
Incompleteness of Behavioral Logics.,Grigore Rosu
Model checking of causal knowledge formulas.,Stanislaw Ambroszkiewicz
Power Simulation and its Relation to Traces and Failures Refinement.,Paul H. B. Gardiner
On Graphs for Intuitionistic Modal Logics.,Paulo A. S. Veloso
Pattern Guards and Transformational Patterns.,Martin Erwig
A coalgebraic introduction to CSP.,Uwe Wolter
Programs as Data Structures in λSF-Calculus.,Barry Jay
Building up hierarchical mathematical domains using functors in Theorema.,Wolfgang Windsteiger
Embedding Untimed into Timed Process Algebra; the Case for Explicit Termination.,Jos C. M. Baeten
Automata-Theoretic Semantics of Idealized Algol with Passive Expressions.,Uday S. Reddy
Numerical Validation of Compensated Summation Algorithms with Stochastic Arithmetic.,Fabienne Jézéquel
Dirichlet is Natural.,Ilias Garnier
On Distinguishing Sets of Structures by First-Order Sentences of Minimal Quantifier Rank.,Ana Teresa C. Martins
Epistemic Uncertainty Propagation in Power Models.,Kishor S. Trivedi
Deriving Logical Relations from Interpretations of Predicate Logic.,Claudio Hermida
Spanning Trees of Dense Directed Graphs.,Richard Mycroft
"Denotational Semantics of Shape: Past, Present and Future.",C. Barry Jay
Týr: A Dependent Type System for Spatial Memory Safety in LLVM.,Rodrigo Machado
Towards Incremental Mutation Testing.,Christian Colombo 0001
Category-theoretic Structure for Independence and Conditional Independence.,Alex Simpson
Exploration-exploitation Trade-off in a Treasure Hunting Game.,Dimitri Volchenkov
A Presheaf Model of Parametric Type Theory.,Guilhem Moulin
Categorical Models of the Differential λ-Calculus Revisited.,J. Robin B. Cockett
Classical Control and Quantum Circuits in Enriched Category Theory.,Mathys Rennela
Rational Operational Models.,Jurriaan Rot
Layout Randomization and Nondeterminism.,Gordon D. Plotkin
An Algebra-Coalgebra Framework for System Specification.,Corina Cîrstea
Characterising E-projectives via Co-monads.,Weng Kin Ho
Complete Elgot Monads and Coalgebraic Resumptions.,Christoph Rauch
Domain Theory its Ramifications and Interactions.,Klaus Keimel
Large Immersions in Graphs with Independence Number 3 and 4.,Daniel A. Quiroz
Using Abstract Interpretation for the Safe Verification of Security Protocols.,Dominique Bolignano
On Necessary and Sufficient Conditions for Proto-cell Stationary Growth.,Erwan Bigan
Deciding and Axiomatizing ST Bisimulation for a Process Algebra with Recursion and Action Refinement.,Mario Bravetti
"The Identifying Code, the Locating-dominating, the Open Locating-dominating and the Locating Total-dominating Problems Under Some Graph Operations.",Annegret Wagler
Reversible Effects as Inverse Arrows.,Chris Heunen
"An Unsupervised Approach for Combining Scores of Outlier Detection Techniques, Based on Similarity Measures.",José Ramón Pasillas-Díaz
Coalgebraic Minimization of Automata by Initiality and Finality.,Jurriaan Rot
VPHL: A Verified Partial-Correctness Logic for Probabilistic Programs.,Robert Rand 0001
On the Computational Complexity of the Helly Number in the ,Daniel F. D. Posner
Videoconference System Based on WebRTC With Access to the PSTN.,Alfonso Sandoval Rosas
A Branch-and-Price Algorithm for the Ring-Tree Facility Location Problem.,Alessandro Hill
Risk Assessment Methodology For EMV Financial Transaction Systems.,Aad van Moorsel
An Approach to Generating Test Data for EFSM Paths Considering Condition Coverage.,Gongzheng Lu
Lattices of Irreducibly-derived Closed Sets.,Qi Li
Maude versus Haskell: an Experimental Comparison in Security Protocol Analysis.,David A. Basin
Software Watermarking: A Semantics-based Approach.,Michele Pasqua
A Core Calculus of Classes and Objects.,Amit Patel 0001
An Algebraic Approach for Inferring and Using Symmetries in Rule-based Models.,Jérôme Feret
Categorical Models for Fairness: Completion vs Delay.,Thomas T. Hildebrandt
Complete Positivity and Natural Representation of Quantum Computations.,Mathys Rennela
On the Largest Cartesian Closed Category of Stable Domains.,Guohua Wu
Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.,Michael Baldamus
Coalgebras and Modal Logic.,Martin Rößiger
Hull and Geodetic Numbers for Some Classes of Oriented Graphs.,Júlio Araújo 0001
"Subclasses of Circular-Arc Bigraphs: Helly, Normal and Proper.",André Luiz Pires Guedes
Total Domination in Regular Graphs.,Carlos Hoppen
Clones with Nullary Operations.,Mike Behrisch
"The Power of Writing, a Pebble Hierarchy and a Narrative for the Teaching of Automata Theory.",Carolina Mejía
Linial's Conjecture for Arc-spine Digraphs.,Cândida Nunes da Silva
Unguarded Recursion on Coinductive Resumptions.,Christoph Rauch
Failure Analysis Modelling in an Infrastructure as a Service (Iaas) Environment.,Babagana Modu
First Steps Towards a Formalization of Forcing.,Emmanuel Gunther
On the Iterated Edge-Biclique Operator.,Leandro Montero
A Stone-type Duality Theorem for Separation Logic Via its Underlying Bunched Logics.,David J. Pym
Epistemic Logics with Structured Knowledge.,Alexandre Madeira
A Cartesian Closed Category of Domains with Almost Algebraic Bases.,Hui Kou
Agent based mathematical reasoning.,Christoph Benzmüller
Representing and Comparing Metabolic Pathways as Petri Nets with MPath2PN and CoMeta.,Marta Simeoni
Double-spend Attack Models with Time Advantange for Bitcoin.,Camilo Rocha
An Efficient CoMP-based Handover Scheme for Evolving Wireless Networks.,Demetres D. Kouvatsos
"Clusters, Concepts, and Pseudometrics.",Michael D. Rice
An Introduction to Algebraic Effects and Handlers. Invited tutorial paper.,Matija Pretnar
Cryptographic Security of Reactive Systems.,Birgit Pfitzmann
Some Results on Poset Models Consisting of Compact Saturated Subsets.,Dongsheng Zhao
Identifying All Preorders on the Subdistribution Monad.,Tetsuya Sato 0001
Real-Time Verification Techniques for Untimed Systems.,C. R. Ramakrishnan 0001
The simply typed rewriting calculus.,Claude Kirchner
Universal Approach to ,Dongsheng Zhao
Stochastic Pruning and Its Application for Fast Estimation of the Expected Total Output of Complex Systems.,Michael T. Todinov
Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.,Carlos Hoppen
Fast Winning Strategies for the Maker-Breaker Domination Game.,Sandi Klavzar
"Puzzles for Learning Model Checking, Model Checking for Programming Puzzles, Puzzles for Testing Model Checkers.",Kwang Yi
Dualizing Clones as Models of Lawvere Theories.,Sebastian Kerkhoff
"Negative Modalities, Consistency and Determinedness.",Adriano Dodó
Multi-focused Proofs with Different Polarity Assignments.,Elaine Pimentel
Goals and Resource Constraints in CARMA.,Anastasis Georgoulas
Fast Face Detection in Violent Video Scenes.,Jorge Julien Rivera Tito
The evaluation strategy for head normal form with and without on-demand flags.,Kazuhiro Ogata 0001
Natural Number Objects in Dialectica Categories.,Charles Morgan
Coinductive Models of Finite Computing Agents.,Dina Q. Goldin
Variations on Realizability: Simple examples realizing axioms of choice.,Martin Hyland
Recognizing Graph Search Trees.,Carolin Denkert
"Monads, Effects and Transformations.",Andrew Kennedy
Induced Topologies on the Poset of Finitely Generated Saturated Sets.,Wenfeng Zhang
Focused Linear Logic and the λ-calculus.,Nicolas Guenot
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Aris S. Lalos
The Polarized λ-calculus.,José Espírito Santo
Alternation-Free Weighted Mu-Calculus: Decidability and Completeness.,Bingtian Xue
s,Chongxia Lu
Verification of the legOS Scheduler using Uppaal.,Anna Ingólfsdóttir
A Digital Version of the Kakutani Fixed Point Theorem for Convex-valued Multifunctions.,Michael B. Smyth
Towards Multi-Level Semantics for Multi-Agent Systems.,Alison R. Panisson
Quasicontinuous Domains and the Smyth Powerdomain.,Klaus Keimel
Practical Extraction of Evidence Terms From Common-knowledge Reasoning.,Natalia Novak
Linearization of Automatic Arrays and Weave Specifications.,David Sprunger
A Connection Between Concurrency and Language Theory.,Zoltán Ésik
Evaluation of Advanced Data Centre Power Management Strategies.,Björn F. Postema
A,André Ebling Brondani
