paper,co_author
Representing and Comparing Metabolic Pathways as Petri Nets with MPath2PN and CoMeta.,Paolo Baldan
Double-spend Attack Models with Time Advantange for Bitcoin.,Carlos Pinzón
An Efficient CoMP-based Handover Scheme for Evolving Wireless Networks.,Rana R. Ahmed
"Clusters, Concepts, and Pseudometrics.",Michael Siff
Cryptographic Security of Reactive Systems.,Matthias Schunter
Cryptographic Security of Reactive Systems.,Michael Waidner
Some Results on Poset Models Consisting of Compact Saturated Subsets.,Gaolin Li
Some Results on Poset Models Consisting of Compact Saturated Subsets.,Qingyu He
Some Results on Poset Models Consisting of Compact Saturated Subsets.,Xiaoyong Xi
Real-Time Verification Techniques for Untimed Systems.,Scott A. Smolka
Real-Time Verification Techniques for Untimed Systems.,Xiaoqun Du
The simply typed rewriting calculus.,Horatiu Cirstea
Universal Approach to ,Gaolin Li
Universal Approach to ,Weng Kin Ho
Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.,Cristiane M. Sato
Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.,Guilherme Oliveira Mota
Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.,Roberto F. Parente
Fast Winning Strategies for the Maker-Breaker Domination Game.,Valentin Gledel
Fast Winning Strategies for the Maker-Breaker Domination Game.,Vesna Irsic
"Puzzles for Learning Model Checking, Model Checking for Programming Puzzles, Puzzles for Testing Model Checkers.",Nikolay V. Shilov 0002
"Negative Modalities, Consistency and Determinedness.",João Marcos 0001
Multi-focused Proofs with Different Polarity Assignments.,João Neto
Multi-focused Proofs with Different Polarity Assignments.,Vivek Nigam
Goals and Resource Constraints in CARMA.,Jane Hillston
Goals and Resource Constraints in CARMA.,Paul Piho
Fast Face Detection in Violent Video Scenes.,Juan C. Gutiérrez-Cáceres
Fast Face Detection in Violent Video Scenes.,Karla Mariel Fernández Fabián
Fast Face Detection in Violent Video Scenes.,Pamela C. Laguna Laura
Fast Face Detection in Violent Video Scenes.,Vicente Enrique Machaca Arceda
The evaluation strategy for head normal form with and without on-demand flags.,Masaki Nakamura 0001
Natural Number Objects in Dialectica Categories.,Samuel G. Da Silva
Natural Number Objects in Dialectica Categories.,Valeria de Paiva
Coinductive Models of Finite Computing Agents.,Peter Wegner
Recognizing Graph Search Trees.,Ekkehard Köhler
Recognizing Graph Search Trees.,Jesse Beisegel
Recognizing Graph Search Trees.,Martin Strehler 0001
Recognizing Graph Search Trees.,Matjaz Krnc
Recognizing Graph Search Trees.,Nevena Pivac
Recognizing Graph Search Trees.,Robert Scheffler 0001
"Monads, Effects and Transformations.",Nick Benton
Induced Topologies on the Poset of Finitely Generated Saturated Sets.,Xiaoquan Xu
Focused Linear Logic and the λ-calculus.,Taus Brock-Nannestad
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Christos Tselios
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Dimitrios Amaxilatis
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Dimitris Bitzas
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Ioannis Chatzigiannakis
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Javier Montesa
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Konstantinos Moustakas
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,Stavros Nousias
Alternation-Free Weighted Mu-Calculus: Decidability and Completeness.,Kim G. Larsen
Alternation-Free Weighted Mu-Calculus: Decidability and Completeness.,Radu Mardare
s,Qingguo Li
Verification of the legOS Scheduler using Uppaal.,Karen Haervig
Verification of the legOS Scheduler using Uppaal.,Lone Halkjaer
A Digital Version of the Kakutani Fixed Point Theorem for Convex-valued Multifunctions.,Rueiher Tsaur
Towards Multi-Level Semantics for Multi-Agent Systems.,Antônio Carlos da Rocha Costa
Towards Multi-Level Semantics for Multi-Agent Systems.,Rafael H. Bordini
Quasicontinuous Domains and the Smyth Powerdomain.,Reinhold Heckmann
Evaluation of Advanced Data Centre Power Management Strategies.,Boudewijn R. Haverkort
A,Carla Silva Oliveira
A,Francisca Andrea Macedo França
A,Leonardo Silva de Lima
A Categorical Foundation for Structured Reversible Flowchart Languages.,Robin Kaarsgaard
Logical Relations and Parametricity - A Reynolds Programme for Category Theory and Programming Languages.,Edmund P. Robinson
Logical Relations and Parametricity - A Reynolds Programme for Category Theory and Programming Languages.,Uday S. Reddy
Improving Termination of MDG-Based Abstract State Enumeration via Term Schematization.,Sophie Renault
Time-inhomogeneous Population Models of a Cycle-Stealing Distributed System.,Jeremy T. Bradley
Time-inhomogeneous Population Models of a Cycle-Stealing Distributed System.,Matthew Forshaw
Time-inhomogeneous Population Models of a Cycle-Stealing Distributed System.,Nigel Thomas
Assertion based Inductive Verification Methods for Logic Programs.,Marco Comini
Assertion based Inductive Verification Methods for Logic Programs.,Roberta Gori
Dioids for Computational Effects.,Ezequiel Postan
Dioids for Computational Effects.,Mauro Jaskelioff
Specifying the PLAN Network Programming Langauge.,Jonathan T. Moore
Specifying the PLAN Network Programming Langauge.,Michael W. Hicks
Specifying the PLAN Network Programming Langauge.,Pankaj Kakkar
A Formal Framework for Hybrid Event B.,Jing Liu 0012
A Duality Between Ω-categories and Algebraic Ω-categories.,Wei Yao
Confluence in Probabilistic Rewriting.,Guido Martínez
On Continuous Nondeterminism and State Minimality.,Jirí Adámek
On Continuous Nondeterminism and State Minimality.,Robert S. R. Myers
On Continuous Nondeterminism and State Minimality.,Stefan Milius
Normalization of N-Graphs via Sub-N-Graphs.,Laís Andrade
Normalization of N-Graphs via Sub-N-Graphs.,Ruan Carvalho
Normalization of N-Graphs via Sub-N-Graphs.,Ruy J. G. B. de Queiroz
Weak Domain Models of ,Dongsheng Zhao
Weak Domain Models of ,Guohua Wu
Dynamic Spaces in Concurrent Constraint Programming.,Elaine Pimentel
Dynamic Spaces in Concurrent Constraint Programming.,Vivek Nigam
Approximation Algorithms for Sorting Permutations by Length-Weighted Short Rearrangements.,Carla Negri Lintzmayer
Approximation Algorithms for Sorting Permutations by Length-Weighted Short Rearrangements.,Guilherme Henrique Santos Miranda
Approximation Algorithms for Sorting Permutations by Length-Weighted Short Rearrangements.,Zanoni Dias
Reliable Composite Web Services Execution: Towards a Dynamic Recovery Decision.,Rafael Angarita
Reliable Composite Web Services Execution: Towards a Dynamic Recovery Decision.,Yudith Cardinale
Tuple Domination on Graphs with the Consecutive-zeros Property.,Maria Patricia Dobson
Tuple Domination on Graphs with the Consecutive-zeros Property.,Valeria A. Leoni
Fibrational Modal Type Theory.,Valeria de Paiva
Statistical Correction of the Result of Weather Forecast by Applying the Model Output Calibration.,Vanessa Lago Machado
Statistical Correction of the Result of Weather Forecast by Applying the Model Output Calibration.,Willingthon Pavan
"An Ontology-based Approach for Sharing, Integrating, and Retrieving Architectural Knowledge.",María Luciana Roldán
"An Ontology-based Approach for Sharing, Integrating, and Retrieving Architectural Knowledge.",Silvio Gonnet
The Leader Election Protocol of IEEE 1394 in Maude.,Isabel Pita
The Leader Election Protocol of IEEE 1394 in Maude.,Narciso Martí-Oliet
Obtaining Optimal Thresholds for Processors with Speed-Scaling.,Ronny J. Polansky
Obtaining Optimal Thresholds for Processors with Speed-Scaling.,Samyukta Sethuraman
Syndetic Modelling: Computer Science Meets Cognitive Psychology.,David J. Duke
Exploiting Linearity in Sharing Analysis of Object-oriented Programs.,Gianluca Amato
Exploiting Linearity in Sharing Analysis of Object-oriented Programs.,Maria Chiara Meo
Exploiting Parallelism in Coalgebraic Logic Programming.,Jónathan Heras
Exploiting Parallelism in Coalgebraic Logic Programming.,Martin Schmidt 0002
Model-Theoretic Conservative Extension for Definitional Theories.,Tjark Weber
Bound Analysis for Whiley Programs.,Mark Utting
Bound Analysis for Whiley Programs.,Min-Hsien Weng
Distributivity for a monad and a comonad.,John Power
Initial Algebras and Final Coalgebras Consisting of Nondeterministic Finite Trace Strategies.,Nathan J. Bowler
Initial Algebras and Final Coalgebras Consisting of Nondeterministic Finite Trace Strategies.,Paul Blain Levy
Controlling File Access with Types.,Rakan Alsowail
Verification of Spatial and Temporal Modalities in Biochemical Systems.,Davide Chiarugi
Verification of Spatial and Temporal Modalities in Biochemical Systems.,Diana Hermith
Verification of Spatial and Temporal Modalities in Biochemical Systems.,Moreno Falaschi
Hierarchical Hybrid Logic.,Luís Soares Barbosa
Hierarchical Hybrid Logic.,Manuel A. Martins 0001
Hierarchical Hybrid Logic.,Renato Neves
Machine-checked Proof of the Church-Rosser Theorem for the Lambda Calculus Using the Barendregt Variable Convention in Constructive Type Theory.,Nora Szasz
Machine-checked Proof of the Church-Rosser Theorem for the Lambda Calculus Using the Barendregt Variable Convention in Constructive Type Theory.,Álvaro Tasistro
On Three-Valued Acceptance Conditions of Abstract Dialectical Frameworks.,Samy Sá
On the Real-state Processing of Regular Operations and The Sakoda-Sipser Problem.,J. Andres Montoya
An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.,Gloria Giraldo
An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.,L. F. Rincón
An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.,Raúl Mazo
Representations of Algebraic Domains and Algebraic L-domains by Information Systems.,Qingguo Li
Representations of Algebraic Domains and Algebraic L-domains by Information Systems.,Xiangnan Zhou
"If, not when.",Valeria de Paiva
Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.,Ohad Kammar
Hybrid and Subexponential Linear Logics.,Elaine Pimentel
Hybrid and Subexponential Linear Logics.,Joëlle Despeyroux
The Chromatic Index of Proper Circular-arc Graphs of Odd Maximum Degree which are Chordal.,João Pedro W. Bernardi
The Chromatic Index of Proper Circular-arc Graphs of Odd Maximum Degree which are Chordal.,Leandro M. Zatesko
The Chromatic Index of Proper Circular-arc Graphs of Odd Maximum Degree which are Chordal.,Murilo V. G. da Silva
On SI,Xiaoquan Xu
Formalized Meta-Theory of Sequent Calculi for Substructural Logics.,Kaustuv Chaudhuri
Formalized Meta-Theory of Sequent Calculi for Substructural Logics.,Leonardo Lima 0001
"Borel Kernels and their Approximation, Categorically.",Fredrik Dahlqvist
"Borel Kernels and their Approximation, Categorically.",Ilias Garnier
"Borel Kernels and their Approximation, Categorically.",Vincent Danos
"Algebras, Graphs and Thetas.",David E. Roberson
"Algebras, Graphs and Thetas.",Gabriel Coutinho
"Algebras, Graphs and Thetas.",Marcel Kenji de Carli Silva
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,Rosario Pugliese
Intuitionistic Hypothetical Logic of Proofs.,Gabriela Steren
Minimization of Gini Impurity: NP-completeness and Approximation Algorithm via Connections with the k-means Problem.,Lucas Murtinho
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Inês Lynce
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Pedro L. Varela
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Pedro T. Monteiro 0001
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Vasco M. Manquinho
On Caterpillars of Game Chromatic Number 4.,Celina M. H. de Figueiredo
On Caterpillars of Game Chromatic Number 4.,Simone Dantas
On Caterpillars of Game Chromatic Number 4.,Sylvain Gravier
Towards Resolution-based Reasoning for Connected Logics.,Oliver Kutz
Finding Optimal Timetables for Edinburgh Bus Routes.,Ludovica Luisa Vissat
Finding Optimal Timetables for Edinburgh Bus Routes.,Stephen Gilmore
Transformation of a PID Controller for Numerical Accuracy.,Matthieu Martel
Transformation of a PID Controller for Numerical Accuracy.,Nasrine Damouche
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Islame F. C. Fernandes
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Marco César Goldbarg
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Sílvia M. D. M. Maia
PostHat and All That: Automating Abstract Interpretation.,Akash Lal
PostHat and All That: Automating Abstract Interpretation.,Junghee Lim
PostHat and All That: Automating Abstract Interpretation.,Thomas W. Reps
Semi-automated Tool Recommender for Software Development Processes.,Jocelyn Simmonds
Semi-automated Tool Recommender for Software Development Processes.,Marina Pilar
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,Rodrigo Geraldo Ribeiro
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,Samuel da Silva Feitosa
Understanding Communication Patterns in HPCG.,Stephen A. Jarvis
Understanding Communication Patterns in HPCG.,Steven A. Wright 0001
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,Maribel Fernández
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,Mauricio Ayala-Rincón
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,Washington de Carvalho Segundo
On coalgebra of real numbers.,Vaughan R. Pratt
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,Matthew Might
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,Shuying Liang
The Decision Problem for a Three-sorted Fragment of Set Theory with Restricted Quantification and Finite Enumerations.,Marianna Nicolosi Asmundo
Colouring the Normalized Laplacian.,Gabriel Coutinho
Colouring the Normalized Laplacian.,Rafael Grandsire
Domain-complete and LCS-complete Spaces.,Matthew de Brecht
Domain-complete and LCS-complete Spaces.,Xiaodong Jia 0002
Domain-complete and LCS-complete Spaces.,Zhenchao Lyu
Reachability Analysis via Orthogonal Sets of Patterns.,Kim Quyên Lý
Abstract Domains for Type Juggling.,Vincenzo Arceri
A Game Semantics of Concurrent Separation Logic.,Paul-André Melliès
Complete Axiomatization for the Total Variation Distance of Markov Chains.,Giovanni Bacci 0001
Complete Axiomatization for the Total Variation Distance of Markov Chains.,Kim G. Larsen
Complete Axiomatization for the Total Variation Distance of Markov Chains.,Radu Mardare
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,G. C. Noukela
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,Jean-Michel Fourneau
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,Johanne Cohen
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,Nihal Pekergin
Formal Verification of Health Assessment Tools: a Case Study.,Jonas Santos Bezerra
Formal Verification of Health Assessment Tools: a Case Study.,Leila Ribeiro 0001
Formal Verification of Health Assessment Tools: a Case Study.,Érika F. Cota
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,Eduardo C. Xavier
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,Flávio Keidi Miyazawa
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,Phablo F. S. Moura
Dialogue Systems for Intelligent Human Computer Interactions.,Deepika Singh
Dialogue Systems for Intelligent Human Computer Interactions.,Erinc Merdivan
Dialogue Systems for Intelligent Human Computer Interactions.,Sten Hanke
Bimonoidal Structure of Probability Monads.,Tobias Fritz
A Symbolic Decision Procedure for Symbolic Alternating Finite Automata.,Loris D'Antoni
A Symbolic Decision Procedure for Symbolic Alternating Finite Automata.,Zachary Kincaid
Identifying Codes in the Complementary Prism of Cycles.,Erika M. M. Coelho
Identifying Codes in the Complementary Prism of Cycles.,Hebert Coelho
Identifying Codes in the Complementary Prism of Cycles.,Lucia Draque Penso
Identifying Codes in the Complementary Prism of Cycles.,Márcia R. Cappelle
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Priscila Petito
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Rafael B. Teixeira
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Simone Dantas
"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.",Rodrigo Marinho
"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.",Simone Dantas
The Geodesic Classification Problem on Graphs.,Martine Labbé
The Geodesic Classification Problem on Graphs.,Paulo Henrique Macêdo de Araújo
The Geodesic Classification Problem on Graphs.,Ricardo C. Corrêa
Coalgebraic Update Lenses.,Tarmo Uustalu
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Luciana Foss
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Simone André da Costa Cavalheiro
Iterated Covariant Powerset is not a Monad.,Julian Salamanca
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Graham Horton
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Marcus Thiel
Proof Certificates for Equality Reasoning.,Zakaria Chihani
On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Kévin Perrot
On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Sylvain Sené
Abstract Similarity Analysis.,Vanessa Vidali
Efficient Image Stitching through Mobile Offloading.,Katinka Wolter
Efficient Image Stitching through Mobile Offloading.,Qiushi Wang
Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Luís Felipe I. Cunha
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Marisa Gutierrez
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Martin Milanic
Dimension Reduction of Large Sparse AND-NOT Network Models.,Boris Aguilar
Dimension Reduction of Large Sparse AND-NOT Network Models.,Reinhard C. Laubenbacher
Meet Precontinuous Posets.,Xiaoquan Xu
A Practical Semi-External Memory Method for Approximate Pattern Matching.,Mauricio Ayala-Rincón
Formalizing Abstract Computability: Turing Categories in Coq.,Philip J. Scott
Formalizing Abstract Computability: Turing Categories in Coq.,Polina Vinogradova
Fuzzy Set Abstraction.,Josef Svenningsson
On the Minimum Eccentricity Isometric Cycle Problem.,Fabien de Montgolfier
On the Minimum Eccentricity Isometric Cycle Problem.,Léo Planche
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Tina Janne Schmidt
Open Maps in Concrete Categories and Branching Bisimulation for Prefix Orders.,Pieter J. L. Cuijpers
Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.,Andrés Arrigoni
Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.,Daniel Calegari
A Model to Guide Dynamic Adaptation Planning in Self-Adaptive Systems.,Hugo Arboleda
Yoneda Completion via a DCPO Completion of its Poset of Formal Balls.,Weng Kin Ho
Modeling and Verification of RBC Handover Protocol.,Kai Yang
Modeling and Verification of RBC Handover Protocol.,Zhenhua Duan
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Alberto Molinari
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Angelo Montanari
Operating Policies for Energy Efficient Dynamic Server Allocation.,Nigel Thomas
Operating Policies for Energy Efficient Dynamic Server Allocation.,Thai Ha Nguyen
Finiteness Spaces and Generalized Power Series.,Philip J. Scott
Finiteness Spaces and Generalized Power Series.,Pierre-Alain Jacqmin
Finiteness Spaces and Generalized Power Series.,Richard Blute
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Edward Hermann Haeusler
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Jefferson de Barros Santos
Generalized Probabilistic Satisfiability.,Carlos Caleiro
Generalized Probabilistic Satisfiability.,Filipe Casal
Canonical HybridLF: Extending Hybrid with Dependent Types.,Roy L. Crole
Security Testing Methodology for Vulnerabilities Detection of XSS in Web Services and WS-Security.,M. I. P. Salas
A Branch and Price Algorithm for List Coloring Problem.,Graciela L. Nasini
A Branch and Price Algorithm for List Coloring Problem.,Mauro Lucci
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Gerasimos Arvanitis
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Konstantinos Moustakas
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Otilia Kocsis
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,Daniele Frigioni
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,Mattia D'Emidio
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,Juraj Niznan
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,Lubos Brim
Total Maps of Turing Categories.,Pavel Hrubes
Total Maps of Turing Categories.,Pieter J. W. Hofstra
From Reversible Programs to Univalent Universes and Back.,Chao-Hong Chen
From Reversible Programs to Univalent Universes and Back.,Jacques Carette
From Reversible Programs to Univalent Universes and Back.,Vikraman Choudhury
Method to Identify Corrections of Defects on Product Line Models.,Daniel Diaz 0001
Method to Identify Corrections of Defects on Product Line Models.,Gloria Lucía Giraldo G.
Method to Identify Corrections of Defects on Product Line Models.,L. F. Rincón
Method to Identify Corrections of Defects on Product Line Models.,Raúl Mazo
Isotropy of Algebraic Theories.,Philip J. Scott
Isotropy of Algebraic Theories.,Pieter J. W. Hofstra
Composition Colored Petri Nets for the Refinement of Reaction-based Models.,Diana-Elena Gratie
Towards the Design of Complex Evolving Networks with High Robustness and Resilience.,Zhenghui Sha
Facilitating Authentic Reasoning About Complex Systems in Middle School Science Education.,David A. Joyner
Facilitating Authentic Reasoning About Complex Systems in Middle School Science Education.,David M. Majerich
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,Colleen M. Seifert
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,Panos Y. Papalambros
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,Shanna Daly
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,Wayne Baker
Choosing Aggregation Functions for Modeling System of Systems Performance.,Dimitri Mavris
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Navindran Davendralingam
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Zhemei Fang
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Jennifer Ford
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,John M. Colombi
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Ryan Colburn
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Yosef Morris
Automatic Discovery and Optimization of Parts for Image Classification.,Andrew Zisserman
Automatic Discovery and Optimization of Parts for Image Classification.,Pedro F. Felzenszwalb
Automatic Discovery and Optimization of Parts for Image Classification.,Sobhan Naderi Parizi
A Unified Perspective on Multi-Domain and Multi-Task Learning.,Yongxin Yang
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Robin Piedeleu
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Tao Gu
Patch Locale of a Spectral Locale in Univalent Type Theory.,Martín Hötzel Escardó
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,John A. Bogovic
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,Viren Jain
Segmental Recurrent Neural Networks.,Lingpeng Kong
Segmental Recurrent Neural Networks.,Noah A. Smith
Learning Factored Representations in a Deep Mixture of Experts.,Ilya Sutskever
Learning Factored Representations in a Deep Mixture of Experts.,Marc'Aurelio Ranzato
"Extended Addressing Machines for PCF, with Explicit Substitutions.",Giulio Manzonetto
"Extended Addressing Machines for PCF, with Explicit Substitutions.",Nicolas Munnich
Text Normalization for Low-Resource Languages of Africa.,Evan Crew
Text Normalization for Low-Resource Languages of Africa.,Sandy Ritchie
Auxiliary Image Regularization for Deep CNNs with Noisy Labels.,Samaneh Azadi
Auxiliary Image Regularization for Deep CNNs with Noisy Labels.,Stefanie Jegelka
Auxiliary Image Regularization for Deep CNNs with Noisy Labels.,Trevor Darrell
Efficient Visual Coding: From Retina To V2.,Honghao Shan
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,Felix Hill
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,Jason Weston
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,Sumit Chopra
Sentiment Classification in Swahili Language Using Multilingual BERT.,Medard E. Mswahili
Sentiment Classification in Swahili Language Using Multilingual BERT.,Young-Seob Jeong
When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints.,Serge J. Belongie
When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints.,Theofanis Karaletsos
"Partial frames, their free frames and their congruence frames.",John Frith
A Test of Relative Similarity For Model Selection in Generative Models.,Eugene Belilovsky
A Test of Relative Similarity For Model Selection in Generative Models.,Ioannis Antonoglou
A Test of Relative Similarity For Model Selection in Generative Models.,Matthew B. Blaschko
A Test of Relative Similarity For Model Selection in Generative Models.,Wacha Bounliphone
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Jianchao Yang
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Thomas Paine
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Thomas S. Huang
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Zhe Lin 0001
Neural GPUs Learn Algorithms.,Lukasz Kaiser
Actor-Mimic: Deep Multitask and Transfer Reinforcement Learning.,Lei Jimmy Ba
Actor-Mimic: Deep Multitask and Transfer Reinforcement Learning.,Ruslan Salakhutdinov
Data Representation and Compression Using Linear-Programming Approximations.,John C. Mitchell
Data Representation and Compression Using Linear-Programming Approximations.,Trevor J. Hastie
Data Layout from a Type-Theoretic Perspective (extended version).,Henry DeYoung
Adversarial Manipulation of Deep Representations.,Fartash Faghri
Adversarial Manipulation of Deep Representations.,Sara Sabour
Adversarial Manipulation of Deep Representations.,Yanshuai Cao
Variational Gaussian Process.,Dustin Tran
Variational Gaussian Process.,Rajesh Ranganath
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,David Mortensen
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,Graham Neubig
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,Kathleen Siminyu
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,Michael R. Marlo
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,Xinjian Li
Design and Implementation of English To Yoruba Verb Phrase Machine Translation System.,Safiriyu Eludiora
Further studies on open well-filtered spaces.,Dongsheng Zhao
Further studies on open well-filtered spaces.,Xiaoyong Xi
Guarded Kleene Algebra with Tests: Automata Learning.,Matteo Sammartino
Guarded Kleene Algebra with Tests: Automata Learning.,Stefan Zetzsche
Fixpoint constructions in focused orthogonality models of linear logic.,Marcelo Fiore
Fixpoint constructions in focused orthogonality models of linear logic.,Zeinab Galal
A note on the category of c-spaces.,Xiaolin Xie
A note on the category of c-spaces.,Zhenchao Lyu
An Amharic News Text classification Dataset.,Nebil Mohammed
The sheaf representation of residuated lattices.,Huarong Zhang
Parsing as a lifting problem and the Chomsky-Schützenberger representation theorem.,Paul-André Melliès
Saturating automata for game semantics.,Andrzej S. Murawski
A Hofmann-Mislove theorem for ,Qingguo Li
A Hofmann-Mislove theorem for ,Xiangnan Zhou
Propositional Logics for the Lawvere Quantale.,Gordon D. Plotkin
Propositional Logics for the Lawvere Quantale.,Prakash Panangaden
Propositional Logics for the Lawvere Quantale.,Radu Mardare
A topological counterpart of well-founded trees in dependent type theory.,Pietro Sabelli
Continuous R-valuations.,Xiaodong Jia 0002
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Ahsan Wahab
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Alessia Battisti
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Allahsera Tapo
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,André Müller
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Ankur Bapna
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Annette Rios
