paper,volume
Erratum to: 'Mirroring' the Ethics of Biobanking: What Should We Learn from the Analysis of Consent Documents?,20
Solving the Single-Vehicle Self-Driving Car Trolley Problem Using Risk Theory and Vehicle Dynamics.,26
Risk and Responsibility: A Complex and Evolving Relationship.,18
Reversible Experiments: Putting Geological Disposal to the Test.,22
Educating the Humanitarian Engineer.,15
"Research in Emergency and Critical Care Settings: Debates, Obstacles and Solutions.",22
Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.,28
"Marc Coeckelbergh, AI Ethics, Mit Press, 2021.",27
What happens in the Lab: Applying Midstream Modulation to Enhance Critical Reflection in the Laboratory.,17
Just a Cog in the Machine? The Individual Responsibility of Researchers in Nanotechnology is a Duty to Collectivize.,22
The Ethics of Gene Editing from an Islamic Perspective: A Focus on the Recent Gene Editing of the Chinese Twins.,26
"Fostering a Culture of Land - Commentary on ""Agrarian Philosophy and Ecological Ethics"".",14
Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.,28
Ethics: An Indispensable Dimension in the University Rankings.,23
Business Ethics for Mobile Network Operators.,24
Classification and Moral Evaluation of Uncertainties in Engineering Modeling.,17
Coding Ethical Decision-Making in Research.,23
Suggestions to Improve the Comprehensibility of Current Definitions of Scientific Authorship for International Authors.,26
No One Likes a Snitch.,21
Ethical Implications of User Perceptions of Wearable Devices.,24
The Ethics of Neuroscience and the Neuroscience of Ethics: A Phenomenological-Existential Approach.,18
Can a Robot Be a Good Colleague?,26
The Effectiveness of Ethics Education: A Quasi-Experimental Field Study.,19
On Using Ethical Theories to Teach Engineering Ethics.,14
Machine Ethics: Do Androids Dream of Being Good People?,29
Determinants of Citation in Epidemiological Studies on Phthalates: A Citation Analysis.,26
Aesthetics and Ethics in Engineering: Insights from Polanyi.,17
A Comparison of the Effects of Ethics Training on International and US Students.,22
Security and Privacy: Why Privacy Matters.,19
The Human Right to Water: The Importance of Domestic and Productive Water Rights.,20
"Adil Shamoo and David Resnik: The Responsible Conduct of Research - Oxford University Press, Oxford, 2009, 2nd edition. ISBN: 9780195368246.",17
An Ethical (Descriptive) Framework for Judgment of Actions and Decisions in the Construction Industry and Engineering-Part I.,24
Who Discovered the Binary System and Arithmetic? Did Leibniz Plagiarize Caramuel?,24
Polish Research Ethics Committees in the European Union System of Assessing Medical Experiments.,15
Taiwanese Researchers' Perceptions of Questionable Authorship Practices: An Exploratory Study.,26
"""Dual Use"" and ""Intentionality"": Seeking to Prevent the Manifestation of Deliberately Harmful Objectives.",16
Social Responsibility in French Engineering Education: A Historical and Sociological Analysis.,19
Engineering Codes of Ethics and the Duty to Set a Moral Precedent.,22
"Patents, Innovation, and Privatization - Commentary on: ""Data Management in Academic Settings: An Intellectual Property Perspective"".",16
Civil Engineering at the Crossroads in the Twenty-First Century.,18
Practices for Research Integrity Promotion in Research Performing Organisations and Research Funding Organisations: A Scoping Review.,27
UNESCO's Activities in Ethics.,16
Evolution of Students' Varied Conceptualizations About Socially Responsible Engineering: A Four Year Longitudinal Study.,25
Trust in Science: CRISPR-Cas9 and the Ban on Human Germline Editing.,24
Should Engineering Ethics be Taught?,17
The Legitimate Name of a Fungal Plant Pathogen and the Ethics of Publication in the Era of Traceability.,23
On the Suppression of Vaccination Dissent.,21
Affected Genome Editing Crops: The Consequences of Genome-Edited Babies in China.,26
Editors' Overview: Forbidding Science?,15
Managing Dual Use Technology: It Takes Two to Tango.,16
European Public Deliberation on Brain Machine Interface Technology: Five Convergence Seminars.,19
Social Simulation Models at the Ethical Crossroads.,25
Moving Life Science Ethics Debates Beyond National Borders: Some Empirical Observations.,20
Ethics Teaching in Higher Education for Principled Reasoning: A Gateway for Reconciling Scientific Practice with Ethical Deliberation.,23
Socially Assistive Robots in Aged Care: Ethical Orientations Beyond the Care-Romantic and Technology-Deterministic Gaze.,27
Ethical Issues with Simulating the Bridge Problem in VR.,26
"Ethics in Actor Networks, or: What Latour Could Learn from Darwin and Dewey.",20
'Do-It-Yourself' Healthcare? Quality of Health and Healthcare Through Wearable Sensors.,24
Development and Preliminary Validation of a New Measure of Values in Scientific Work.,24
The Challenges of Medical Ethics in China: Are Gene-Edited Babies Enough?,26
Teaching Engineering Ethics by Conceptual Design: The Somatic Marker Hypothesis.,15
ABET Criterion 3.f: How Much Curriculum Content is Enough?,18
Breaking the Cyber-Security Dilemma: Aligning Security Needs and Removing Vulnerabilities.,20
The Ethics of Big Data: Current and Foreseeable Issues in Biomedical Contexts.,22
Promoting Virtue or Punishing Fraud: Mapping Contrasts in the Language of 'Scientific Integrity'.,23
The Importance of Formative Assessment in Science and Engineering Ethics Education: Some Evidence and Practical Advice.,20
Designing for Care.,29
"Virtues in Participatory Design: Cooperation, Curiosity, Creativity, Empowerment and Reflexivity.",19
A Framework for Ethical Research and Innovation.,27
What Values in Design? The Challenge of Incorporating Moral Values into Design.,17
Authorship and Publication Practices in the Social Sciences: Historical Reflections on Current Practices.,17
Stakeholders' Experiences of Research Integrity Support in Universities: A Qualitative Study in Three European Countries.,28
Enabling Ethical Code Embeddedness in Construction Organizations: A Review of Process Assessment Approach.,22
Piercing the Veil: Ethical Issues in Ethnographic Research.,15
Chinese Academic Assessment and Incentive System.,22
A Different Trolley Problem: The Limits of Environmental Justice and the Promise of Complex Moral Assessments for Transportation Infrastructure.,22
"Introduction: Science, Technology and Human Rights: Lessons Learned from the Right to Water and Sanitation.",20
Exploratory Investigation of Personal Influences on Educators' Engagement in Engineering Ethics and Societal Impacts Instruction.,26
"Joseph Rotblat, the Bomb and Anomalies from His Archive.",19
"Text-Based Plagiarism in Scientific Publishing: Issues, Developments and Education.",19
Emotional Engineers: Toward Morally Responsible Design.,18
Teaching Ethics to Engineers: A Socratic Experience.,22
"In Evaluating Technological Risks, When and Why Should We Consult Our Emotions?",26
Measuring Sensitivity to Conflicts of Interest: A Preliminary Test of Method.,19
"""Technical"" Contributors and Authorship Distribution in Health Science.",29
"A Review of the Scientific Misconduct Inquiry Process, Ankara Chamber of Medicine, Turkey.",23
"Using Surplus Embryos and Research Embryos in Stem Cell Research: Ethical Viewpoints of Buddhist, Hindu and Catholic Leaders in Malaysia on the Permissibility of Research.",24
Setting Up Spaces for Collaboration in Industry Between Researchers from the Natural and Social Sciences.,20
'Standing on the Shoulders of Giants': Recontextualization in Writing from Sources.,21
The Ethics of Geoengineering: A Literature Review.,26
Identity Theft in the Academic World Leads to Junk Science.,24
The Walkshop Approach to Science and Technology Ethics.,21
The Dilemma of Dual Use Biological Research: Polish Perspective.,16
Correction and use of biomedical literature affected by scientific misconduct.,13
Hospital Ethics Committees in Poland.,21
Different types - Different rights - Distinguishing between different perspectives on ownership of biological material.,13
"Potential for Bias in the Context of Neuroethics - Commentary on ""Neuroscience, Neuropolitics and Neuroethics: The Complex Case of Crime, Deception and fMRI"".",18
The Survival Imperative.,25
Textual Appropriation in Engineering Master's Theses: A Preliminary Study.,17
Anticipatory Governance in Biobanking: Security and Risk Management in Digital Health.,27
Effects of Alternative Outcome Scenarios and Structured Outcome Evaluation on Case-Based Ethics Instruction.,19
"In Response to the Editorial Entitled ""On the Use of the Concept of ""Fairness"" in Ethics"".",19
From Paper to Practice; Indexing Systems and Ethical Standards.,24
Technological Answerability and the Severance Problem: Staying Connected by Demanding Answers.,27
Correction to: Does Proof of Concept Trump All? RRI Dilemmas in Research Practices.,27
Applying Value Sensitive Design (VSD) to Wind Turbines and Wind Parks: An Exploration.,21
Reducing Ethical Hazards in Knowledge Production.,22
Why We Should Create Artificial Offspring: Meaning and the Collective Afterlife.,24
Erratum to: The Need for Social Ethics in Interdisciplinary Environmental Science Graduate Programs: Results from a Nation-Wide Survey in the United States.,23
"Correcting the Brain? The Convergence of Neuroscience, Neurotechnology, Psychiatry, and Artificial Intelligence.",26
Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,27
A Unique Historical Case to Understand the Present Sustainable Development.,24
The Social Nature of Engineering and its Implications for Risk Taking.,16
Perceptions of Ethical Problems with Scientific Journal Peer Review: An Exploratory Study.,14
Ethical Ambiguity in Science.,22
The Responsible Subject in the Global Age.,16
Writers Blocked: On the Wrongs of Research Co-authorship and Some Possible Strategies for Improvement.,21
New Issues for New Methods: Ethical and Editorial Challenges for an Experimental Philosophy.,23
"The Emergence and Evolution of the Expression ""Conflict of Interests"" in ",14
Measures of Ethics and Social Responsibility Among Undergraduate Engineering Students: Findings from a Longitudinal Study.,30
A Comparative Analysis of the Definitions of Autonomous Weapons Systems.,28
"Questionable, Objectionable or Criminal? Public Opinion on Data Fraud and Selective Reporting in Science.",24
What Do We Have to Lose? Offloading Through Moral Technologies: Moral Struggle and Progress.,26
"Programmers, Professors, and Parasites: Credit and Co-Authorship in Computer Science.",15
Adding to the Mix: Integrating ELSI into a National Nanoscale Science and Technology Center.,17
Reporting Race and Ethnicity in Genetics Research: Do Journal Recommendations or Resources Matter?,21
Mind the Gap! How the Digital Turn Upsets Intellectual Property.,25
Is Biomedical Research Protected from Predatory Reviewers?,25
The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,29
A Study on Journal Self-Citations and Intra-Citing within the Subject Category of Multidisciplinary Sciences.,15
Compliance with National Ethics Requirements for Human-Subject Research in Non-biomedical Sciences in Brazil: A Changing Culture?,25
Preparing to Understand and Use Science in the Real World: Interdisciplinary Study Concentrations at the Technical University of Darmstadt.,19
Ethics and Phishing Experiments.,24
Publishing as an Indicator of Scientific Research Quality and Ethics: The Case of Law Journals from Moldova.,26
"Corruption: Engineers are Victims, Perpetrators or Both?",21
Creating 'Local Publics': Responsibility and Involvement in Decision-Making on Technologies with Local Impacts.,26
Why a Virtual Assistant for Moral Enhancement When We Could have a Socrates?,27
Interventions for Organizational Climate and Culture in Academia: A Scoping Review.,27
Are Pseudonyms Ethical in (Science) Publishing? Neuroskeptic as a Case Study.,23
Sympathy and Emotions in Academic Research Society.,22
Avoiding Twisted Pixels: Ethical Guidelines for the Appropriate Use and Manipulation of Scientific Digital Images.,16
A National Collaboration Process: Finnish Engineering Education for the Benefit of People and Environment.,19
"Protecting Human Health and Security in Digital Europe: How to Deal with the ""Privacy Paradox""?",20
Examining the Role of Carbon Capture and Storage Through an Ethical Lens.,20
Security-by-Experiment: Lessons from Responsible Deployment in Cyberspace.,22
"Classical Liberalism, Discrimination, and the Problem of Autonomous Cars.",26
Technological Delegation: Responsibility for the Unintended.,15
"Education for Life Scientists on the Dual-Use Implications of Their Research - Commentary on ""Implementing Biosecurity Education: Approaches, Resources and Programmes"".",19
On Blacklisting in Science.,14
Principles of Public Reason in the UNFCCC: Rethinking the Equity Framework.,23
Assessing the Preparedness of Research Integrity Officers (RIOs) to Appropriately Handle Possible Research Misconduct Cases.,18
When is it Safe to Edit the Human Germline?,27
Beyond Positivist Ecology: Toward an Integrated Ecological Ethics.,14
The University and the Responsible Conduct of Research.,17
Research Misconduct in the Fields of Ethics and Philosophy: Researchers' Perceptions in Spain.,27
A course treating ethical issues in physics.,13
Investigating the Effectiveness of Response Strategies for Vulnerabilities to Corruption in the Chinese Public Construction Sector.,21
"Multiple Authorship in Scientific Manuscripts: Ethical Challenges, Ghost and Guest/Gift Authorship, and the Cultural/Disciplinary Perspective.",22
Technology Games: Using Wittgenstein for Understanding and Evaluating Technology.,24
Standardisation in the Field of Nanotechnology: Some Issues of Legitimacy.,18
Development of a Tissue Engineered Heart Valve for Pediatrics: A Case Study in Bioengineering Ethics.,14
"Publics in the Making: Mediating Different Methods of Engagement and the Publics These Construct - Commentary on: ""Technologies of Democracy: Experiments and Demonstrations"".",17
The Food Warden: An Exploration of Issues in Distributing Responsibilities for Safe-by-Design Synthetic Biology Applications.,24
The Problem is Not Monsters: The FRANKENCON Panel on Science and Ethics.,27
Katrina: Macro-Ethical Issues for Engineers.,16
Paul Sollie and Marcus Düwell (eds): Evaluating New Technologies. Methodological Problems for the Ethical Assessment of Technology Developments.,16
"A Pragmatic Approach to Ethical Decision-Making in Engineering Practice: Characteristics, Evaluation Criteria, and Implications for Instruction and Assessment.",23
A Retrospective Analysis of the Trend of Retracted Publications in the Field of Biomedical and Life Sciences.,17
"Human Rights and the Challenges of Science and Technology - Commentary on Meier et al. ""Translating the Human Right to Water and Sanitation into Public Policy Reform"" and Hall et al. ""The Human Right to Water: The Importance of Domestic and Productive Water Rights"".",20
From Treasure to Trash: The Lingering Value of Technological Artifacts.,26
The Least Interesting Unit: A New Concept for Enhancing One's Academic Career Opportunities.,22
Should We All be Scientists? Re-thinking Laboratory Research as a Calling.,24
Continuing Medical Education: A Cross Sectional Study on a Developing Country's Perspective.,24
Conflict of Interest and the CREATE-X Trial in the New England Journal of Medicine.,24
Issues in Data Management.,16
Research and Practice of AI Ethics: A Case Study Approach Juxtaposing Academic Discourse with Organisational Reality.,27
Stakeholder Views of Nanosilver Linings: Macroethics Education and Automated Text Analysis Through Participatory Governance Role Play in a Workshop Format.,23
Can Technological Artefacts Be Moral Agents?,17
"Medical Ethics, Bioethics and Research Ethics Education Perspectives in South East Europe in Graduate Medical Education.",20
Risk and Responsibility in a Manufactured World.,16
Private Interests Count Too.,15
Values in University-Industry Collaborations: The Case of Academics Working at Universities of Technology.,25
Erratum to: Converging Technologies: A Critical Analysis of Cognitive Enhancement for Public Policy Application.,22
"'Diverse Epistemologies', Truth and Archaeology: In Defence of Realism.",17
Invitation to Speak at a Conference: The Tempting Technique Adopted by Predatory Conferences' Organizers.,25
"Mandatory and Self-citation; Types, Reasons, Their Benefits and Disadvantages.",21
Climate Change as a Three-Part Ethical Problem: A Response to Jamieson and Gardiner.,20
A Survey of Student Opinions on Ethical Design Standards in Taiwan.,21
"A Comparative Empirical Study on Mobile ICT Services, Social Responsibility and the Protection of Children.",17
An Engineering Dilemma: Sustainability in the Eyes of Future Technology Professionals.,19
Use of the Labour-Intensive Method in the Repair of a Rural Road Serving an Indigenous Community in Jocotán (Guatemala).,18
The Quest for Clarity in Research Integrity: A Conceptual Schema.,25
Fast Review Process in Established Journals is Not a Flaw.,25
"Neuroscience, Neuropolitics and Neuroethics: The Complex Case of Crime, Deception and fMRI.",18
Assessing Freshman Engineering Students' Understanding of Ethical Behavior.,23
"What Patients, Students and Doctors Think About Permission to Publish Patient Photographs in Academic Journals: A Cross-Sectional Survey in Croatia.",26
How can Ethics be Considered as a Criterion for Universities Ranking?,23
"Moral Rules, Moral Ideals, and Use-Inspired Research.",13
Correction to: Expanding Nallur's Landscape of Machine Implemented Ethics.,26
Science as a Matter of Honour: How Accused Scientists Deal with Scientific Fraud in Japan.,24
Nuclear Power is Neither Right Nor Wrong: The Case for a Tertium Datur in the Ethics of Technology.,20
Uterine Transplant: A Risk to Life or a Chance for Life?,25
"Lab Work Goes Social, and Vice Versa: Strategising Public Engagement Processes - Commentary on: ""What Happens in the Lab Does Not Stay in the Lab: Applying Midstream Modulation to Enhance Critical Reflection in the Laboratory"".",17
Iranian Academia: Evolution after Revolution and Plagiarism as a Disorder.,17
An African Relational Approach to Healthcare and Big Data Challenges.,27
The University and the Responsible Conduct of Research: Who is Responsible for What?,17
The Ethics of Research in Emergency Medicine.,13
"Virtue Ethics, Positive Psychology, and a New Model of Science and Engineering Ethics Education.",21
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,29
Ethics in 15 min per Week.,17
Creating Inquiry Between Technology Developers and Civil Society Actors: Learning from Experiences Around Nanotechnology.,22
Guilt Without Fault: Accidental Agency in the Era of Autonomous Vehicles.,28
Editorial Overview - Public Science and Technology Scholars: Engaging Whom?,17
The Frequency of Reporting Ethical Issues in Human Subject Articles Published in Iranian Medical Journals: 2009-2013.,25
The Moral Consideration of Artificial Entities: A Literature Review.,27
Using and Developing Role Plays in Teaching Aimed at Preparing for Social Responsibility.,19
"Data Trimming, Nuclear Emissions, and Climate Change.",15
Standards of Scientific Conduct: Are There Any?,20
"Safeguards in a World of Ambient Intelligence; David Wright, Serge Gutwirth, Michael Friedewald, Elena Vildjiounaite, Yves Punic (eds).",15
Plagiarism in Publications Using the Unpublished Raw Data of Archived Research.,23
Potential Issues in Mandating a Disclosure of Institutional Investigation in Retraction Notices.,30
"Correction to: Medical Students' Acquaintance with Core Concepts, Institutions and Guidelines on Good Scientific Practice: A Pre- and Post-questionnaire Survey.",27
Creative Anticipatory Ethical Reasoning with Scenario Analysis and Design Fiction.,26
3D Bioprinting Technology: Scientific Aspects and Ethical Issues.,24
A Moral (Normative) Framework for the Judgment of Actions and Decisions in the Construction Industry and Engineering: Part II.,23
The Irrelevance of the Risk-Uncertainty Distinction.,23
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,29
Contentious Problems in Bioscience and Biotechnology: A Pilot Study of an Approach to Ethics Education.,19
Penetrating the Omerta of Predatory Publishing: The Romanian Connection.,21
"Big Data, Big Waste? A Reflection on the Environmental Sustainability of Big Data Initiatives.",26
Corruption and Internal Fraud in the Turkish Construction Industry.,19
Scientific Research and Human Rights: A Response to Kitcher on the Limitations of Inquiry.,20
Educational Encounters of the Third Kind.,23
Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,29
Islamic Bioethical Deliberation on the Issue of Newborns with Disorders of Sex Development.,21
Responsible Learning About Risks Arising from Emerging Biotechnologies.,27
The Case of Vipul Bhrigu and the Federal Definition of Research Misconduct.,20
Recruitment Processes in Academia: Does the Emperor Have Any Clothes?,22
"Technology, Recommendation and Design: On Being a 'Paternalistic' Philosopher.",19
Philosophical Aspects of Dual Use Technologies.,16
The Ethics of Virtual Reality Technology: Social Hazards and Public Policy Recommendations.,24
Reflexive Principlism as an Effective Approach for Developing Ethical Reasoning in Engineering.,22
Data Fabrication and Falsification and Empiricist Philosophy of Science.,20
"Are Moral Emotions Key to Informed Risk Decisions? A Commentary on Sabine Roeser, Risk, Technology, and Moral Emotions.",26
Co-creating Research Integrity Education Guidelines for Research Institutions.,29
Science is a Gateway for Democracy.,20
"Notices and Policies for Retractions, Expressions of Concern, Errata and Corrigenda: Their Importance, Content, and Context.",23
Polemics on Ethical Aspects in the Compost Business.,22
The Role of Non-Epistemic Values in Engineering Models.,19
Defining Information Security.,25
"""Broader Impacts"" or ""Responsible Research and Innovation""?",20
"Explicit Training in Human Values and Social Attitudes of Future Engineers in Spain - Commentary on ""Preparing to Understand and Use Science in the Real World: Interdisciplinary Study Concentrations at the Technical University of Darmstadt"".",19
"Incarceration, Restitution, and Lifetime Debarment: Legal Consequences of Scientific Misconduct in the Eric Poehlman Case - Commentary on: ""Scientific Forensics: How the Office of Research Integrity can Assist Institutional Investigations of Research Misconduct During Oversight Review"".",16
"The Acid Test for Biological Science: STAP Cells, Trust, and Replication.",22
Emergency Research without Consent under Polish Law.,13
Towards Including End-Users in the Design of Prosthetic Hands: Ethical Analysis of a Survey of Australians with Upper-Limb Difference.,26
"Holding the Project Accountable: Research Governance, Ethics, and Democracy.",23
Academic Information Security Researchers: Hackers or Specialists?,24
Internet and Advertisement.,22
Professionalism Among Chinese Engineers: An Empirical Study.,26
"In AI We Trust: Ethics, Artificial Intelligence, and Reliability.",26
An Ethical Exploration of Increased Average Number of Authors Per Publication.,28
Euthanasia: Global Scenario and Its Status in India.,24
Self-Tracking: Reflections from the BodyTrack Project.,24
A Critique of Positive Responsibility in Computing.,14
"Engineering Ethics: Looking Back, Looking Forward.",19
Design and Development of a Course in Professionalism and Ethics for CDIO Curriculum in China.,21
Reverence and Ethics in Science.,19
Perceptions of Pharmacy Graduate Students Toward Research Ethics Education: A Cross-Sectional Study from a Developing Country.,28
Danaher's Ethical Behaviourism: An Adequate Guide to Assessing the Moral Status of a Robot?,26
The Convergence of Virtual Reality and Social Networks: Threats to Privacy and Autonomy.,22
Best Practices in Communicating Best Practices - Commentary on: 'Developing and Communicating Responsible Data Management Policies to Trainees and Colleagues'.,16
"Moral Responsibility, Technology, and Experiences of the Tragic: From Kierkegaard to Offshore Engineering.",18
Critical Theory as an Approach to the Ethics of Information Security.,20
Consented Autopsy and the Middle-East.,23
"Research Ethical Norms, Guidance and the Internet.",27
Building Code Challenging the Ethics Behind Adobe Architecture in North Cyprus.,21
Achieving a 'Good AI Society': Comparing the Aims and Progress of the EU and the US.,27
Application of a Sensemaking Approach to Ethics Training in the Physical Sciences and Engineering.,14
"Rescuing Informed Consent: How the new ""Key Information"" and ""Reasonable Person"" Provisions in the Revised U.S. Common Rule open the door to long Overdue Informed Consent Disclosure Improvements and why we need to walk Through that door.",26
Context-Relative Norms Determine the Appropriate Type of Consent in Clinical Biobanks: Towards a Potential Solution for the Discrepancy between the General Data Protection Regulation and the European Data Protection Board on Requirements for Consent.,26
The Value of 'Traditionality': The Epistemological and Ethical Significance of Non-western Alternatives in Science.,27
"Science, Democracy, and the Right to Research.",15
The Ethics of Digital Well-Being: A Thematic Review.,26
Promoting Human Subjects Training for Place-Based Communities and Cultural Groups in Environmental Research: Curriculum Approaches for Graduate Student/Faculty Training.,21
A Rhetorical Analysis of Apologies for Scientific Misconduct: Do They Really Mean It?,16
"Knowledge, Attitudes and Behavioral Intentions of Agricultural Professionals Toward Genetically Modified (GM) Foods: A Case Study in Southwest Iran.",19
"Introduction to the Symposium on Sabine Roeser's Risk, Technology, and Moral Emotions.",26
Technological Enthusiasm: Morally Commendable or Reprehensible?,26
"Parallel, Embedded or Just Part of the Team: Ethicists Cooperating Within a European Security Research Project.",17
Dignity and Dissent in Humans and Non-humans.,26
Machine Learning Against Terrorism: How Big Data Collection and Analysis Influences the Privacy-Security Dilemma.,26
Ethical Considerations when Employing Fake Identities in Online Social Networks for Research.,20
Organ Procurement and Social Networks: The End of Confidentiality?,21
"Sharing Data is a Shared Responsibility - Commentary on: ""The Essential Nature of Sharing in Science"".",16
Ethics and Values in Design: A Structured Review and Theoretical Critique.,27
The Leiden Manifesto and Research Assessment.,25
AI as an Epistemic Technology.,29
Mad Scientist: The Unique Case of a Published Delusion.,19
On Enrolling More Female Students in Science and Engineering.,14
America COMPETES at 5 years: An Analysis of Research-Intensive Universities' RCR Training Plans.,24
Online Responsibility: Bad Samaritanism and the Influence of Internet Mediation.,18
Indexing by Bibliographic Databases of Journals Published in the Developing World.,24
P-Hacking: A Wake-Up Call for the Scientific Community.,24
Editorial: Shaping Ethical Futures in Brain-Based and Artificial Intelligence Research.,26
Parity and the Resolution of Value Conflicts in Design.,28
Responsible Conduct by Life Scientists in an Age of Terrorism.,15
Balancing Ethical Principles in Emergency Medicine Research.,13
Maker Cultures and the Prospects for Technological Action.,24
Challenges in Collecting Big Data in A Clinical Environment with Vulnerable Population: Lessons Learned from A Study Using A Multi-modal Sensors Platform.,25
Stretching the Traditional Notion of Experiment in Computing: Explorative Experiments.,22
Environmental Decision Making on Acid Mine Drainage Issues in South Africa: An Argument for the Precautionary Principle.,24
Social Media in Disaster Risk Reduction and Crisis Management.,20
Toleration and the Design of Norms.,21
"What If? The Farther Shores of Neuroethics - Commentary on ""Neuroscience May Supersede Ethics and Law"".",18
To Recycle or Not to Recycle? An Intergenerational Approach to Nuclear Fuel Cycles.,14
Predicting the Long-Term Effects of Human-Robot Interaction: A Reflection on Responsibility in Medical Robotics.,19
Genetically Engineered Oil Seed Crops and Novel Terrestrial Nutrients: Ethical Considerations.,25
Perceptions of Work-Related Stress and Ethical Misconduct Amongst Non-tenured Researchers in Italy.,26
"Artificial Intelligence, Responsibility Attribution, and a Relational Justification of Explainability.",26
Non-safety Assessments of Genome-Edited Organisms: Should They be Included in Regulation?,26
"Sabine Roeser, Rafaela Hillerbrand, Per Sandin, Martin Peterson (eds): Handbook of Risk Theory: Epistemology, Decision Theory, Ethics, and Social Implications of Risk - Springer, 2012, XIX, 1187 pp, 85 illus., 40 in color; 2 volumes.",19
"Introduction of Interdisciplinary Teaching: Two Case Studies - Commentary on ""Teaching Science, Technology, and Society to Engineering Students: A Sixteen Year Journey"".",19
Engineering Student's Ethical Awareness and Behavior: A New Motivational Model.,23
Achieving Equity with Predictive Policing Algorithms: A Social Safety Net Perspective.,27
Research without Consent: Exception from and Waiver of Informed Consent in Resuscitation Research.,13
Developing a Scientific Virtue-Based Approach to Science Ethics Training.,23
Responsibility Practices and Unmanned Military Technologies.,20
Ethical Considerations for Volunteer Recruitment of Visual Prosthesis Trials.,19
Artificial Intelligence Crime: An Interdisciplinary Analysis of Foreseeable Threats and Solutions.,26
The Karoo Fracking Debate: A Christian Contribution to the World Communities of Faith.,21
The Essential Need for Research Misconduct Allegation Audits.,22
Professional Decision-Making in Research (PDR): The Validity of a New Measure.,22
Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,29
Towards Improving the Ethics of Ecological Research.,21
The (lack of) Impact of Retraction on Citation Networks.,21
Domesticating the Drone: The Demilitarisation of Unmanned Aircraft for Civil Markets.,21
Publication Ethics in Biomedical Journals from Countries in Central and Eastern Europe.,20
Blind Myself: Simple Steps for Editors and Software Providers to Take Against Affiliation Bias.,26
The Disciplines of Engineering and History: Some Common Ground.,20
Compliance Disengagement in Research: Development and Validation of a New Measure.,22
The Legacy of the Hwang Case: Research Misconduct in Biosciences.,15
Artificial Moral Agents: A Survey of the Current Status.,26
An Applied Mereology of the City: Unifying Science and Philosophy for Urban Planning.,22
Perception of Organizational Ethical Climate by University Staff and Students in Medicine and Humanities: A Cross Sectional Study.,26
Grant Review Feedback: Appropriateness and Usefulness.,27
Instrumental Robots.,26
Limits of Neural Computation in Humans and Machines.,26
Material Scarcity: A Reason for Responsibility in Technology Development and Product Design.,19
Why Science cannot be Value-Free.,16
Teaching Ethics to Engineers: Ethical Decision Making Parallels the Engineering Design Process.,17
Clarivate Analytics: Continued Omnia vanitas Impact Factor Culture.,24
Analysis of Citations to Biomedical Articles Affected by Scientific Misconduct.,16
The Ethics of Cloud Computing.,23
The Ethical Dilemma of Embryonic Stem Cell Research.,19
But is it Unique to Nanotechnology? - Reframing Nanoethics.,14
The Role of Culture and Acculturation in Researchers' Perceptions of Rules in Science.,24
"Touching at a Distance: Digital Intimacies, Haptic Platforms, and the Ethics of Consent.",27
The Implications of Using Internet Search Engines in Structured Scientific Reviews.,25
A Matter of Accuracy. Nanobiochips in Diagnostics and in Research: Ethical Issues as Value Trade-Offs.,21
Questioning 'Participation': A Critical Appraisal of its Conceptualization in a Flemish Participatory Technology Assessment.,17
Calculating Impact Factor: How Bibliographical Classification of Journal Items Affects the Impact Factor of Large and Small Journals.,14
A New Method for a Virtue-Based Responsible Conduct of Research Curriculum: Pilot Test Results.,25
A Conflict of Interest Disclosure Policy for ,14
The Role of Engineering Ethics on Concrete Fire Safety.,24
"Victor Frankenstein's Institutional Review Board Proposal, 1790.",21
A Rawlsian Approach to Distribute Responsibilities in Networks.,16
Playing God and the Intrinsic Value of Life: Moral Problems for Synthetic Biology?,19
Avoiding Empty Rhetoric: Engaging Publics in Debates About Nanotechnologies.,15
‚Mirroring' the Ethics of Biobanking: What Analysis of Consent Documents Can Tell Us?,20
Designing a Good Life: A Matrix for the Technological Mediation of Morality.,18
"Teledildonics and New Ways of ""Being in Touch"": A Phenomenological Analysis of the Use of Haptic Devices for Intimate Relations.",23
Cyber Attacks and Terrorism: A Twenty-First Century Conundrum.,25
Data Management in Academic Settings: An Intellectual Property Perspective.,16
A Systems Approach to Understanding and Improving Research Integrity.,25
Digital Technologies for Schizophrenia Management: A Descriptive Review.,27
Synthetic Biology and the Translational Imperative.,25
"A Politics of Objectivity: Biomedicine's Attempts to Grapple with ""non-financial"" Conflicts of Interest.",27
Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,28
Toward an Horizon in Design Ethics.,16
