paper,cites
An Algebraic Approach to Shadowed Sets.,Effects of Target Trajectory Bandwidth on Manual Control Behavior in Pursuit and Preview Tracking.
An Algebraic Approach to Shadowed Sets.,The Ubuntu Robot: Towards a Relational Conceptual Framework for Intercultural Robotics.
An Algebraic Approach to Shadowed Sets.,Inferring Static Non-monotone Size-aware Types Through Testing.
An Algebraic Approach to Shadowed Sets.,Predicate and Relation Lifting for Parametric Algebraic Specifications.
An Account of Implementing Applicative Term Rewriting.,Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.
An Account of Implementing Applicative Term Rewriting.,Rewriting logic as a logic of special relations.
An Account of Implementing Applicative Term Rewriting.,Errata: Heat exchanger network cleaning scheduling: From optimal control to mixed-integer decision making.
Alias verification for Fortran code optimization.,Bayesian Quadrature for Ratios.
Semi-Automated Component-Based Development of Formally Verified Software.,"Advanced Arithmetic for the Digital Computer, Design of Arithmetic Units."
Semi-Automated Component-Based Development of Formally Verified Software.,Shadow links.
Semi-Automated Component-Based Development of Formally Verified Software.,Quasi-Nelson Algebras.
A Coalgebraic View of Infinite Trees and Iteration.,Editorial Announcement.
A Coalgebraic View of Infinite Trees and Iteration.,Approximate Model Selection for Large Scale LSSVM.
A Coalgebraic View of Infinite Trees and Iteration.,A Behavioural Pseudometric based on lambda-Bisimilarity.
A Coalgebraic View of Infinite Trees and Iteration.,A Formal Framework for Web Services Coordination.
Foundations for Designing Secure Architectures.,A Compiler for Mapping a Rule-Based Event-Triggered Program to a Hardware Engine.
Foundations for Designing Secure Architectures.,Guest Editorial: Agent and System Transparency.
A Taxonomy of Infinite State Processes.,Predictive Discretization during Model Selection.
A Taxonomy of Infinite State Processes.,Coalgebraic Update Lenses.
A Taxonomy of Infinite State Processes.,Krylov Subspace Descent for Deep Learning.
A Scalable Evidence Based Self-Managing Framework for Trust Management.,Convex Stochastic Bounds and Stochastic Optimisation on Graphs.
Projections for Infinitary Rewriting.,Relational Learning with One Network: An Asymptotic Analysis.
Projections for Infinitary Rewriting.,Strong Normalization through Intersection Types and Memory.
Projections for Infinitary Rewriting.,A theory of the saving rate of the rich.
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,Proof-theoretic notions for software maintenance.
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,Towards Secure Mobile Multiagent Based Electronic Marketplace Systems.
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,Regularity Results for FIFO Channels.
SAT-based Induction for Temporal Safety Properties.,Individual Differences in Trust in Autonomous Robots: Implications for Transparency.
Ambient Petri nets.,Dynamic Fault Trees with Rejuvenation: Numerical Analysis and Stochastic Bounds.
Ambient Petri nets.,Reconstruction from Anisotropic Random Measurements.
The Recursion Scheme from the Cofree Recursive Comonad.,Exploiting Parallelism in Coalgebraic Logic Programming.
The Recursion Scheme from the Cofree Recursive Comonad.,Performance Models For Master/Slave Parallel Programs.
The Recursion Scheme from the Cofree Recursive Comonad.,Rewriting Logic as a Framework for Generic Verification Tools.
Typing the Behavior of Objects and Component Using Session Types.,Distributional consequences of surging housing rents.
Symbolic Input-Output Conformance Checking for Model-Based Mutation Testing.,Non-deterministic Effects in a Realizability Model.
Electronic Purse Applet Certification: extended abstract.,Discriminative Topic Segmentation of Text and Speech.
Electronic Purse Applet Certification: extended abstract.,Stackelberg-game-based modeling and optimization for supply chain design and operations: A mixed integer bilevel programming framework.
Electronic Purse Applet Certification: extended abstract.,ZEUS: A Distributed Timed Model-Checker Based on KRONOS.
Electronic Purse Applet Certification: extended abstract.,Solving Equations by Graph Transformation.
A Priviledge Management Scheme for Mobile Agent Systems.,Dynamic Factorization Tests: Applications to Multi-modal Data Association.
A Priviledge Management Scheme for Mobile Agent Systems.,Grasp Prediction Toward Naturalistic Exoskeleton Glove Control.
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Universal Approach to 
On the Decidability of Fragments of the Asynchronous pi-Calculus.,Modeling Group Communication Protocols Using Multiset Term Rewriting.
On the Decidability of Fragments of the Asynchronous pi-Calculus.,Estimating Diffusion Probability Changes for AsIC-SIS Model.
Bounded Model Checking with Parametric Data Structures.,Learning Nearest-Neighbor Quantizers from Labeled Data by Information Loss Minimization.
Bounded Model Checking with Parametric Data Structures.,Local Module Checking for CTL Specifications.
Bounded Model Checking with Parametric Data Structures.,Pullback rewriting and applications.
Bounded Model Checking with Parametric Data Structures.,Organ donation with vouchers.
Bridging the Web Accessibility Divide.,Thermodynamic analysis of formulations to discriminate multiple roots of cubic equations of state in process models.
Measuring and Reducing Clutter in Euler Diagrams.,Dynamic response to process disturbances - A comparison between TMB/SMB models in transient regime.
Measuring and Reducing Clutter in Euler Diagrams.,Learning of Bi-ω Languages from Factors.
Formal Model Merging Applied to Class Diagram Integration.,Improving the Usability of a Graph Transformation Language.
Reasoning About Imperative Quantum Programs.,Nonlinear Dimensionality Reduction as Information Retrieval.
Reasoning About Imperative Quantum Programs.,Rational Operational Models.
Reasoning About Imperative Quantum Programs.,TILC: The Interactive Lambda-Calculus Tracer.
Fair Pi.,Real-Time Systems Development with MASS.
Fair Pi.,Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.
Visual Specification of Metrics for Domain Specific Visual Languages.,How Many Argument Digits are Needed to Produce n Result Digits?
Visual Specification of Metrics for Domain Specific Visual Languages.,Fault diagnosis based on variable-weighted separability-oriented subclass discriminant analysis.
Visual Specification of Metrics for Domain Specific Visual Languages.,SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.
Visual Specification of Metrics for Domain Specific Visual Languages.,Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.
Applications = Components + GLoo.,On Graph Calculi for Multi-modal Logics.
Applications = Components + GLoo.,A coalgebraic introduction to CSP.
Applications = Components + GLoo.,An Effect-Theoretic Account of Lebesgue Integration.
Applications = Components + GLoo.,Component-Based Specification of Collaborative Objects.
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,NaN
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,A
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,Using CafeOBJ to Mechanise Refactoring Proofs and Application.
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,Deadlock Behaviour in Split and ST Bisimulation Semantics.
"Notes on Coalgebras, Cofibrations and Concurrency.",A Priviledge Management Scheme for Mobile Agent Systems.
"Notes on Coalgebras, Cofibrations and Concurrency.",Learning a Parametric Embedding by Preserving Local Structure.
"Notes on Coalgebras, Cofibrations and Concurrency.",Programming Satan's Agents.
"Notes on Coalgebras, Cofibrations and Concurrency.","If, not when."
An Overview of QML With a Concrete Implementation in Haskell.,Variational Gaussian Process.
An Overview of QML With a Concrete Implementation in Haskell.,Causal and Non-Causal Feature Selection for Ridge Regression.
Deconstructing Reo.,Efficient Algorithms for the Maximum Subarray Problem by Distance Matrix Multiplication.
Efficient Reduction Techniques for Systems with Many Components.,Human Threshold Model for Perceiving Changes in System Dynamics.
Efficient Reduction Techniques for Systems with Many Components.,A Quantum Game Semantics for the Measurement Calculus.
The Implication Problem of Functional Dependencies in Complex-value Databases.,Optimal estimation of physical properties of the products of an atmospheric distillation column using support vector regression.
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,"Self-Quotation in a Typed, Intensional Lambda-Calculus."
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Elements for a Formal Model of Intentional Systems.
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,"The Expressive Power of Urgent, Lazy and Busy-Waiting Actions in Timed Processes."
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,ZEUS: A Distributed Timed Model-Checker Based on KRONOS.
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,Induced Topologies on the Poset of Finitely Generated Saturated Sets.
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,The control component of open mechanized reasoning systems.
Meta-metric Evaluation of E-Commerce-related Metrics.,Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.
Meta-metric Evaluation of E-Commerce-related Metrics.,Stochastic Pruning and Its Application for Fast Estimation of the Expected Total Output of Complex Systems.
A Testing Equivalence for Reactive Probabilistic Processes.,A Characterization of Monotonicity with Collective Quantifiers.
A Testing Equivalence for Reactive Probabilistic Processes.,The continuous functionals of finite types over the reals.
Local Reasoning About Tree Update.,When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints.
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Abductive Network Action Inference for Targeted Therapy Discovery.
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Adapting The Directed Grid Theorem into an FPT Algorithm.
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Formulation of the excess absorption in infrared spectra by numerical decomposition for effective process monitoring.
Simple canonical representation of rational numbers.,Improved Regret Guarantees for Online Smooth Convex Optimization with Bandit Feedback.
Simple canonical representation of rational numbers.,The quest for digital health: From diseases to patients.
Component Substitutability via Equivalencies of Component-Interaction Automata.,Programming Examples Needing Polymorphic Recursion.
Component Substitutability via Equivalencies of Component-Interaction Automata.,Regularization Paths with Guarantees for Convex Semidefinite Optimization.
Component Substitutability via Equivalencies of Component-Interaction Automata.,Real-Time Maude: A Tool for Simulating and Analyzing Real-Time and Hybrid Systems.
Component Substitutability via Equivalencies of Component-Interaction Automata.,Reprint of: Expansion development planning of thermocracking-based bitumen upgrading plant under uncertainty.
The Sequent Calculus of Skew Monoidal Categories.,A Coalgebraic View of Infinite Trees and Iteration.
The Sequent Calculus of Skew Monoidal Categories.,Component-Based Specification of Collaborative Objects.
Bigraphical Semantics of Higher-Order Mobile Embedded Resources with Local Names.,Learning Exercise Policies for American Options.
Bigraphical Semantics of Higher-Order Mobile Embedded Resources with Local Names.,Labelled Transitions for Mobile Ambients (As Synthesized via a Graphical Encoding).
Strategies for Source-to-Source Constant Progagation.,Steps in Modular Specifications for Concurrent Modules (Invited Tutorial Paper).
Strategies for Source-to-Source Constant Progagation.,Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.
Strategies for Source-to-Source Constant Progagation.,Modifying Esterel Concepts to Model Hybrid Systems.
A Case Study in Periodic Timetabling.,TSAT++: an Open Platform for Satisfiability Modulo Theories.
A Case Study in Periodic Timetabling.,Real-Time Verification Techniques for Untimed Systems.
A Case Study in Periodic Timetabling.,Online Learning: Beyond Regret.
A Case Study in Periodic Timetabling.,A distributed Intrusion Detection and Response System based on mobile autonomous agents using social insects communication paradigm.
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Correspondence Assertions for Process Synchronization in Concurrent Communications.
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Probabilistic Guarded Commands Mechanized in 
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Formal Contexts for Algebraic Domains.
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Termination Criteria for DPO Transformations with Injective Matches.
"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra.",Spatial Locality-Aware Sparse Coding and Dictionary Learning.
"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra.",Sentiment Classification in Swahili Language Using Multilingual BERT.
"Reflection in general logics, rewriting logic, and Maude.",Visualization Databases for the Analysis of Large Complex Datasets.
"Reflection in general logics, rewriting logic, and Maude.",Model Checking: A Complexity-Theoretic Perspective (invited talk).
Action Control by Term Rewriting.,Exact and Approximate Sampling by Systematic Stochastic Search.
Typed behavioural equivalences for processes in the presence of subtyping.,"A Bayesian View of Challenges in Feature Selection: Feature Aggregation, Multiple Targets, Redundancy and Interaction."
Typed behavioural equivalences for processes in the presence of subtyping.,On the Iterated Edge-Biclique Operator.
Typed behavioural equivalences for processes in the presence of subtyping.,Adaptive Bandits: Towards the best history-dependent strategy.
Typed behavioural equivalences for processes in the presence of subtyping.,"General Refinement, Part Two: Flexible Refinement."
A Single Proof of Classical Behaviour in da Costa's C,"The Power of Writing, a Pebble Hierarchy and a Narrative for the Teaching of Automata Theory."
Interactive Programming of Reactive Systems.,Multi-focused Proofs with Different Polarity Assignments.
Interactive Programming of Reactive Systems.,Failure Analysis Modelling in an Infrastructure as a Service (Iaas) Environment.
Interactive Programming of Reactive Systems.,CO
Model Checking Biological Oscillators.,Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.
Model Checking Biological Oscillators.,On Bisubmodular Maximization.
Model Checking Biological Oscillators.,"Reflection in Membership Equational Logic, Many-Sorted Equational Logic, Horn Logic with Equality, and Rewriting Logic."
Convex power constructions for continuous d-cones.,A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.
Convex power constructions for continuous d-cones.,Fast search for Dirichlet process mixture models.
Convex power constructions for continuous d-cones.,Life cycle aggregated sustainability index for the prioritization of industrial systems under data uncertainties.
Convex power constructions for continuous d-cones.,Multi-object tracking with representations of the symmetric group.
Fresh O'Caml: Nominal Abstract Syntax for the Masses.,The Axiom System ISigma
Believing the Integrity of a System: (Invited Talk).,Coalgebraic Reasoning about Classes in Object-Oriented Languages.
Believing the Integrity of a System: (Invited Talk).,Abstract interpretation for proving secrecy properties in security protocols.
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Lessons from a Bibliography Program's Reimplementation.
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Gap Between Theory and Practice: Noise Sensitive Word Alignment in Machine Translation.
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Effectivity and Density in Domains: A Survey.
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Exploiting Linearity in Sharing Analysis of Object-oriented Programs.
Heuristics for Faster Error Detection With Automated Black Box Testing.,A measure based pricing framework for data products.
Heuristics for Faster Error Detection With Automated Black Box Testing.,Classifying and Formally Verifying Integer Constant Folding.
Heuristics for Faster Error Detection With Automated Black Box Testing.,Infinitary Howe's Method.
Heuristics for Faster Error Detection With Automated Black Box Testing.,Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.
On Tuza's Conjecture for Triangulations and Graphs with Small Treewidth.,"Local Dcpos, Local Cpos and Local Completions."
Towards an awareness-based semantics for security protocol analysis.,Specifying Coalgebras with Modal Logic.
Towards an awareness-based semantics for security protocol analysis.,Sustainable planning in sugar-bioethanol supply chain under deep uncertainty: A case study of South African sugarcane industry.
Towards an awareness-based semantics for security protocol analysis.,Faithfulness in Chain Graphs: The Gaussian Case.
Towards an awareness-based semantics for security protocol analysis.,Towards Incremental Mutation Testing.
JHAVÉ - More Visualizers (and Visualizations) Needed.,Active Boosted Learning (ActBoost).
JHAVÉ - More Visualizers (and Visualizations) Needed.,Conceptual Tools to Inform Course Design and Teaching for Ethical Engineering Engagement for Diverse Student Populations.
JHAVÉ - More Visualizers (and Visualizations) Needed.,Supervised Dimension Reduction Using Bayesian Mixture Modeling.
JHAVÉ - More Visualizers (and Visualizations) Needed.,On a Categorical Framework for Coalgebraic Modal Logic.
Reducing Symmetries to Generate Easier SAT Instances.,Equitable Total Chromatic Number of 
Reducing Symmetries to Generate Easier SAT Instances.,Closure of Tree Automata Languages under Innermost Rewriting.
A Cappable Almost Everywhere Dominating Computably Enumerable Degree.,Run-Time Checking of Dynamic Properties.
A Cappable Almost Everywhere Dominating Computably Enumerable Degree.,Abstract Local Reasoning for Concurrent Libraries: Mind the Gap.
A Cappable Almost Everywhere Dominating Computably Enumerable Degree.,MASTERS: A General Sequence-based MultiAgent System for Protein TERtiary Structure Prediction.
"Applying a Stochastic Model to a Dynamic, QoS Enabled Web Services Hosting Environment.",A logic for modular descriptions of asynchronous and synchronized concurrent systems.
"Applying a Stochastic Model to a Dynamic, QoS Enabled Web Services Hosting Environment.",Memory-Effcient Orthogonal Least Squares Kernel Density Estimation using Enhanced Empirical Cumulative Distribution Functions.
"Applying a Stochastic Model to a Dynamic, QoS Enabled Web Services Hosting Environment.",Measuring preferences over the temporal resolution of consumption uncertainty.
On Equators in Asynchronous Name-passing Calculi without Matching.,Fast Variational Mode-Seeking.
On Equators in Asynchronous Name-passing Calculi without Matching.,Fully Bayesian aggregation.
On Equators in Asynchronous Name-passing Calculi without Matching.,Crystallization of calcium carbonate and magnesium hydroxide in the heat exchangers of once-through Multistage Flash (MSF-OT) desalination process.
Specifying Graph-like Diagrams with DIAGEN.,Markov Logic Mixtures of Gaussian Processes: Towards Machines Reading Regression Data.
Specifying Graph-like Diagrams with DIAGEN.,Privacy in Real-Time Systems.
Monadic Second Order Logic And Its Fragments.,Concentration-Based Guarantees for Low-Rank Matrix Reconstruction.
Monadic Second Order Logic And Its Fragments.,Asymptotic Behavior and Performance Constraints of Replication Policies.
On Functional Dependencies in Advanced Data Models.,A Test of Relative Similarity For Model Selection in Generative Models.
On Functional Dependencies in Advanced Data Models.,Integrated optimization model for CCS hubs and pipeline network design.
On Functional Dependencies in Advanced Data Models.,Multi-object tracking with representations of the symmetric group.
On Functional Dependencies in Advanced Data Models.,The constructive maximal point space.
CVM - A Verified Framework for Microkernel Programmers.,Stochastic programming approach for the optimal tactical planning of the downstream oil supply chain.
Handling Relations over Finite Domains in the Rule-Based System ELAN.,Coalgebras for Binary Methods.
Using CafeOBJ to Mechanise Refactoring Proofs and Application.,A fast algorithm for learning large scale preference relations.
Using CafeOBJ to Mechanise Refactoring Proofs and Application.,Global Catastrophic Risk and the Drivers of Scientist Attitudes Towards Policy.
Modelling Parallel Quantum Computing Using Transactional Memory.,Visualizing Similarity Data with a Mixture of Maps.
Modelling Parallel Quantum Computing Using Transactional Memory.,Formalization of Universal Algebra in Agda.
Modelling Parallel Quantum Computing Using Transactional Memory.,Observationally-induced Algebras in Domain Theory.
Modelling Parallel Quantum Computing Using Transactional Memory.,Estimation Consistency of the Group Lasso and its Applications.
Proof Checking Technology for Satisfiability Modulo Theories.,Colouring the Normalized Laplacian.
Proof Checking Technology for Satisfiability Modulo Theories.,A general theory of risk apportionment.
Proof Checking Technology for Satisfiability Modulo Theories.,Foundations for Designing Secure Architectures.
Proof Checking Technology for Satisfiability Modulo Theories.,Locality preserving discriminative canonical variate analysis for fault diagnosis.
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Perceptions of Research Integrity Climate in Hungarian Universities: Results from A Survey among Academic Researchers.
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Error Analysis and Verification of an IEEE 802.11 OFDM Modem using Theorem Proving.
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Mapping OMRS to rewriting logic.
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Minimum Conditional Entropy Clustering: A Discriminative Framework for Clustering.
Angelic Nondeterminism and Unifying Theories of Programming.,Stochastic Bandit Based on Empirical Moments.
Angelic Nondeterminism and Unifying Theories of Programming.,Lanczos Approximations for the Speedup of Kernel Partial Least Squares Regression.
Angelic Nondeterminism and Unifying Theories of Programming.,Hierarchy of asynchronous automata.
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Development of an optimal state transition graph for trajectory optimisation of dynamic systems by application of Dijkstra's algorithm.
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Resource Access Control in Systems of Mobile Agents.
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Coalgebras for Binary Methods.
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Object Closure Conversion.
Improving the Security of Downloadable Java Applications With Static Analysis.,Concentration-Based Guarantees for Low-Rank Matrix Reconstruction.
Improving the Security of Downloadable Java Applications With Static Analysis.,Deductive Argumentation by Enhanced Sequent Calculi and Dynamic Derivations.
Improving the Security of Downloadable Java Applications With Static Analysis.,Residual Splash for Optimally Parallelizing Belief Propagation.
Improving the Security of Downloadable Java Applications With Static Analysis.,Writing Constructive Proofs Yielding Efficient Extracted Programs.
Combining OCL and Programming Languages for UML Model Processing.,The Incremental Satisfiability Problem for a Two Conjunctive Normal Form.
Translating Mobile Ambients into P Systems.,Generalized Optimal Reverse Prediction.
Translating Mobile Ambients into P Systems.,Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.
Translating Mobile Ambients into P Systems.,Categorical Models for Fairness: Completion vs Delay.
Predicate and Relation Lifting for Parametric Algebraic Specifications.,Collaborative Development of Interactive Language Processing Tools.
A Concrete Categorical Semantics of Lambda-S.,Reactive Concurrent Programming Revisited.
A Concrete Categorical Semantics of Lambda-S.,Minimax Algorithm for Learning Rotations.
A Concrete Categorical Semantics of Lambda-S.,An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.
A Concrete Categorical Semantics of Lambda-S.,"Unification of closed-loop scheduling and control: State-space formulations, terminal constraints, and nominal theoretical properties."
A Tutorial on Specifying Data Structures in Maude.,Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.
A Tutorial on Specifying Data Structures in Maude.,Completeness Classes of Equilogical Spaces.
A Tutorial on Specifying Data Structures in Maude.,Large-scale DAE-constrained optimization applied to a modified spouted bed reactor for ethylene production from methane.
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Deterministic debt cycles in open economies with flow collateral constraints.
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Confinement Properties for Multi-Threaded Programs.
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Nonnegative Garrote Component Selection in Functional ANOVA models.
Foreword.,A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.
Foreword.,Visualization of Spatial Data Structures on Different Levels of Abstraction.
Foreword.,A Distributed Pi-Calculus with Local Areas of Communication.
Distributed timed automata.,Attacking a Feedback Controller.
Distributed timed automata.,Inspecting Sample Reusability for Active Learning.
Monads and Adjunctions for Global Exceptions.,Dynamic survival bias in optimal stopping problems.
Monads and Adjunctions for Global Exceptions.,An Analysis for Causal Properties of Membrane Interactions.
Liveness Checking as Safety Checking for Infinite State Spaces.,Deadlock Behaviour in Split and ST Bisimulation Semantics.
Liveness Checking as Safety Checking for Infinite State Spaces.,On the Relative Complexity of Labelled Modal Tableaux.
Liveness Checking as Safety Checking for Infinite State Spaces.,Topology Control in Cooperative Ad Hoc Wireless Networks.
SGCCS: A Graphical Language for Real-time Coordination.,SampleSearch: A Scheme that Searches for Consistent Samples.
SGCCS: A Graphical Language for Real-time Coordination.,Innermost Termination of Rewrite Systems by Labeling.
SGCCS: A Graphical Language for Real-time Coordination.,On Nonparametric Guidance for Learning Autoencoder Representations.
SGCCS: A Graphical Language for Real-time Coordination.,Integrated scheduling of vessel dispatching and port operations in the closed-loop shipping system for transporting petrochemicals.
Runtime Verification of Concurrent Haskell Programs.,Reversible Monadic Computing.
Comparing models of higher type computation.,On the Iterated Edge-Biclique Operator.
Comparing models of higher type computation.,Markov Logic Mixtures of Gaussian Processes: Towards Machines Reading Regression Data.
Comparing models of higher type computation.,Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.
Comparing models of higher type computation.,Consistent rights on property spaces.
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Winning The Transfer Learning Track of Yahoo!'s Learning To Rank Challenge with YetiRank.
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Formalizing Constructive Projective Geometry in Agda.
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Memory Consumption Analysis for a Functional and Imperative Language.
SOL: A Verifiable Synchronous Language for Reactive Systems.,Best Agglomerative Ranked Subset for Feature Selection.
SOL: A Verifiable Synchronous Language for Reactive Systems.,Modeling and control of battery systems. Part II: A model predictive controller for optimal charging.
SOL: A Verifiable Synchronous Language for Reactive Systems.,The Impact of Profit Uncertainty on Miner Decisions in Blockchain Systems.
Implementing X.,Hybrid GRASP Heuristics to Solve an Unrelated Parallel Machine Scheduling Problem with Earliness and Tardiness Penalties.
Implementing X.,T-homotopy and Refinement of Observation (I): Introduction.
Implementing X.,Flexible Martingale Priors for Deep Hierarchies.
Debugging and Testing Optimizers through Comparison Checking.,On the Decidability of Fragments of the Asynchronous pi-Calculus.
Debugging and Testing Optimizers through Comparison Checking.,Online optimization for a plunger lift process in shale gas wells.
Debugging and Testing Optimizers through Comparison Checking.,Maximum Entropy Density Estimation with Incomplete Presence-Only Data.
A Graphical Fusion Calculus.,Quantitative Assessment of a Peer-to-peer Cooperative Infrastructure Using Stochastic Well-Formed Nets.
Rule-based Programs Describing Internet Security Protocols.,"Model Theoretic Syntax, Parsing: An Application to Temporal Logic."
Rule-based Programs Describing Internet Security Protocols.,Projections for Infinitary Rewriting.
Formal Analysis of Oscillatory Behaviors in Biological Regulatory Networks: An Alternative Approach.,Implications of uncertainty for optimal policies.
A Multi-Adjoint Approach to Similarity-Based Unification.,Reprint of: Big data approach to batch process monitoring: Simultaneous fault detection and diagnosis using nonlinear support vector machine-based feature selection.
Reactive Concurrent Programming Revisited.,The Theory of Contexts for First Order and Higher Order Abstract Syntax.
Causality Versus True-Concurrency.,State-of-the-Art Robotic Devices for Wrist Rehabilitation: Design and Control Aspects.
Causality Versus True-Concurrency.,The Descriptive Complexity of Decision Problems through Logics with Relational Fixed-Point and Capturing Results.
Computational Effects and Operations: An Overview.,Formation lithology classification using scalable gradient boosted decision trees.
Computational Effects and Operations: An Overview.,Validation of Automatic Vehicle Location Data in Public Transport Systems.
Computational Effects and Operations: An Overview.,Goals and Resource Constraints in CARMA.
Computational Effects and Operations: An Overview.,Model Driven Development of Security Aspects.
Moving from Weakly Endochronous Systems to Delay-Insensitive Circuits.,Algebraic Information Theory For Binary Channels.
Moving from Weakly Endochronous Systems to Delay-Insensitive Circuits.,Biomolecular Agents as Multi-behavioural Concurrent Objects.
Moving from Weakly Endochronous Systems to Delay-Insensitive Circuits.,Comparison of different kraft lignin-based vanillin production processes.
PMG: Multi-core Metabolite Identification.,A Framework to Generate Synthetic Multi-label Datasets.
PMG: Multi-core Metabolite Identification.,Predicting Incompatibility of Transformations in Model-driven Development.
PMG: Multi-core Metabolite Identification.,Essentials of Term Graph Rewriting.
PMG: Multi-core Metabolite Identification.,Higher-Order Proof Construction Based on First-Order Narrowing.
Coordinating Aspects and Objects.,On Continuous Nondeterminism and State Minimality.
Coordinating Aspects and Objects.,Beware of the DAG!
Coordinating Aspects and Objects.,The Construction of Set-Truncated Higher Inductive Types.
T-homotopy and Refinement of Observation (I): Introduction.,A Bayesian Analysis of the Radioactive Releases of Fukushima.
T-homotopy and Refinement of Observation (I): Introduction.,Parallelizable Sampling of Markov Random Fields.
T-homotopy and Refinement of Observation (I): Introduction.,Solution methods for vehicle-based inventory routing problems.
Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.,Dynamic prediction of interface level using spatial temporal markov random field.
Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.,"On the relation between universality, characteristic kernels and RKHS embedding of measures."
Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.,Correction to: The Moral Consideration of Artificial Entities: A Literature Review.
Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.,A List-machine Benchmark for Mechanized Metatheory: (Extended Abstract).
Parametrized quotation and self-reference.,Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.
Parametrized quotation and self-reference.,Simulations of an ASA flow crystallizer with a coupled stochastic-deterministic approach.
Parametrized quotation and self-reference.,Aggregation of opinions and risk measures.
Parametrized quotation and self-reference.,A survey of location calculi.
A Hierarchical Framework for Component-based Real-time Systems.,Test Data Generation for Cyclic Executives with CBMC and Frama-C: A Case Study.
